country,outcome,Admin1,Admin2,svy_prev,n_svy
Ghana,women_folate,Eastern,Denkyembour,0.5714285714285714,7
Ghana,women_folate,Western,Effia Kwesimintsim,0,2
Ghana,women_folate,Western,Ellembelle,0,4
Ghana,women_folate,Volta,Ho Municipal,0.75,4
Ghana,women_folate,Western,Jomoro,0,2
Ghana,women_folate,Bono East,Kintampo North,1,6
Ghana,women_folate,Eastern,Kwahu Afram Plains North,0.6337402668172061,12
Ghana,women_folate,Western,Mpohor,0.3333333333333333,3
Ghana,women_folate,Western,Prestea-Huni Valley,0,8
Ghana,women_folate,Bono East,Sene West,0.7142857142857142,7
Ghana,women_folate,Volta,South Tongu,0.75,4
Ghana,women_folate,Bono East,Techiman,0.625,8
Ghana,women_b12,Eastern,Abuakwa South,0.25,4
Ghana,women_b12,Volta,Afadzato South,0.09999999999999999,10
Ghana,women_b12,Volta,Akatsi South,0,4
Ghana,women_b12,Eastern,Akwapem North,0,11
Ghana,women_b12,Eastern,Atiwa East,0.11111111111111112,9
Ghana,women_b12,Eastern,Denkyembour,0,7
Ghana,women_b12,Western,Effia Kwesimintsim,0,2
Ghana,women_b12,Western,Ellembelle,0,4
Ghana,women_b12,Volta,Ho Municipal,0.25,4
Ghana,women_b12,Western,Jomoro,0,2
Ghana,women_b12,Bono East,Kintampo North,0.16666666666666666,6
Ghana,women_b12,Eastern,Kwahu Afram Plains North,0,12
Ghana,women_b12,Western,Mpohor,0.3333333333333333,3
Ghana,women_b12,Western,Prestea-Huni Valley,0,8
Ghana,women_b12,Bono East,Sene West,0,7
Ghana,women_b12,Volta,South Tongu,0,4
Ghana,women_b12,Bono East,Techiman,0.25,8
Sierra Leone,child_vitA,Southern,Bo,0.22877926444175553,40
Sierra Leone,child_vitA,Northern,Bombali,0.1276590817402272,26
Sierra Leone,child_vitA,Southern,Bonthe,0.11152632955215142,34
Sierra Leone,child_vitA,Northern,Kambia,0.06965615999893861,26
Sierra Leone,child_vitA,Northern,Koinadugu,0.14925955059738671,31
Sierra Leone,child_vitA,Southern,Moyamba,0.030528516082224667,14
Sierra Leone,child_vitA,Northern,Port Loko,0.19171148088991,47
Sierra Leone,child_vitA,Southern,Pujehun,0.03745416066227021,34
Sierra Leone,child_vitA,Northern,Tonkolili,0.08532981080214944,40
Sierra Leone,women_vitA,Southern,Bo,0.013256223376616283,58
Sierra Leone,women_vitA,Northern,Bombali,0.015166569249371622,27
Sierra Leone,women_vitA,Southern,Bonthe,0,40
Sierra Leone,women_vitA,Northern,Kambia,0,26
Sierra Leone,women_vitA,Northern,Koinadugu,0,39
Sierra Leone,women_vitA,Southern,Moyamba,0,23
Sierra Leone,women_vitA,Northern,Port Loko,0.013404778390816174,80
Sierra Leone,women_vitA,Southern,Pujehun,0.02627606345804086,64
Sierra Leone,women_vitA,Northern,Tonkolili,0.05167587224728247,56
Sierra Leone,child_iron,Southern,Bo,0.018450718039690193,40
Sierra Leone,child_iron,Northern,Bombali,0.04254530784363511,26
Sierra Leone,child_iron,Southern,Bonthe,0.018587721592025236,34
Sierra Leone,child_iron,Northern,Kambia,0.059695996098881245,26
Sierra Leone,child_iron,Northern,Koinadugu,0.1442799001327526,31
Sierra Leone,child_iron,Southern,Moyamba,0.11450686117449148,14
Sierra Leone,child_iron,Northern,Port Loko,0.02590726171461393,47
Sierra Leone,child_iron,Southern,Pujehun,0,34
Sierra Leone,child_iron,Northern,Tonkolili,0.027299595583852237,40
Sierra Leone,women_iron,Southern,Bo,0.21219477209294704,58
Sierra Leone,women_iron,Northern,Bombali,0.18877106260513343,27
Sierra Leone,women_iron,Southern,Bonthe,0.12304870366283303,40
Sierra Leone,women_iron,Northern,Kambia,0.04221933828026548,26
Sierra Leone,women_iron,Northern,Koinadugu,0.3045253182209727,39
Sierra Leone,women_iron,Southern,Moyamba,0.11303906509992204,23
Sierra Leone,women_iron,Northern,Port Loko,0.17325854470629734,80
Sierra Leone,women_iron,Southern,Pujehun,0.1621615237074559,64
Sierra Leone,women_iron,Northern,Tonkolili,0.13134599291127172,56
Sierra Leone,women_folate,Southern,Bo,0.8363627945478669,60
Sierra Leone,women_folate,Northern,Bombali,0.760727103336935,29
Sierra Leone,women_folate,Southern,Bonthe,0.9799744740803404,41
Sierra Leone,women_folate,Northern,Kambia,0.8715416089791304,27
Sierra Leone,women_folate,Northern,Koinadugu,0.6957756442057105,38
Sierra Leone,women_folate,Southern,Moyamba,0.8832182954579447,34
Sierra Leone,women_folate,Northern,Port Loko,0.7802748891316429,76
Sierra Leone,women_folate,Southern,Pujehun,0.9259023437147608,41
Sierra Leone,women_folate,Northern,Tonkolili,0.6904376804902689,60
Sierra Leone,women_b12,Southern,Bo,0.012913845729337755,60
Sierra Leone,women_b12,Northern,Bombali,0,29
Sierra Leone,women_b12,Southern,Bonthe,0,41
Sierra Leone,women_b12,Northern,Kambia,0,27
Sierra Leone,women_b12,Northern,Koinadugu,0,38
Sierra Leone,women_b12,Southern,Moyamba,0,34
Sierra Leone,women_b12,Northern,Port Loko,0,76
Sierra Leone,women_b12,Southern,Pujehun,0,41
Sierra Leone,women_b12,Northern,Tonkolili,0.013152767827483154,60
Malawi,child_vitA,Karonga,Karonga Town,0.09090909090909091,11
Malawi,child_vitA,Lilongwe,Lilongwe City,0.2,10
