country,outcome,Admin1,Admin2,svy_prev,n_svy
Gambia,child_vitA,Banjul,Banjul,0.07471193092123284,97
Gambia,child_vitA,North Bank,Central Baddibu,0.3571428571428571,14
Gambia,child_vitA,Western,Foni Bintang Karanai,0,17
Gambia,child_vitA,Western,Foni Brefet,0,12
Gambia,child_vitA,Upper River,Fulladu East,0.24633696960276544,124
Gambia,child_vitA,North Bank,Jokadu,0.14285714285714288,14
Gambia,child_vitA,Banjul,Kanifing,0.12937945972429077,72
Gambia,child_vitA,Upper River,Kantora,0.5625,16
Gambia,child_vitA,Western,Kombo Central,0.17423184355970267,27
Gambia,child_vitA,Western,Kombo East,0.1,20
Gambia,child_vitA,Western,Kombo Saint Mary,0.12838761788768127,56
Gambia,child_vitA,Western,Kombo South,0.05263157894736842,19
Gambia,child_vitA,North Bank,Lower Baddibu,0,9
Gambia,child_vitA,North Bank,Lower Nuimi,0,13
Gambia,child_vitA,Upper River,Sandu,0.25,16
Gambia,child_vitA,North Bank,Upper Baddibu,0.08873102064592955,34
Gambia,child_vitA,North Bank,Upper Nuimi,0.22222222222222224,9
Gambia,child_vitA,Upper River,Wuli,0.1111111111111111,9
Gambia,women_vitA,Banjul,Banjul,0,232
Gambia,women_vitA,North Bank,Central Baddibu,0.06060606060606061,33
Gambia,women_vitA,Western,Foni Bintang Karanai,0,20
Gambia,women_vitA,Western,Foni Brefet,0.05882352941176471,17
Gambia,women_vitA,Upper River,Fulladu East,0.025196820445441238,153
Gambia,women_vitA,North Bank,Jokadu,0,12
Gambia,women_vitA,Banjul,Kanifing,0.01322702636478957,139
Gambia,women_vitA,Upper River,Kantora,0.1764705882352941,17
Gambia,women_vitA,Western,Kombo Central,0,42
Gambia,women_vitA,Western,Kombo East,0,28
Gambia,women_vitA,Western,Kombo Saint Mary,0.013203069882629632,95
Gambia,women_vitA,Western,Kombo South,0,29
Gambia,women_vitA,North Bank,Lower Baddibu,0,23
Gambia,women_vitA,North Bank,Lower Nuimi,0,29
Gambia,women_vitA,Upper River,Sandu,0,15
Gambia,women_vitA,North Bank,Upper Baddibu,0.030561624570691986,38
Gambia,women_vitA,North Bank,Upper Nuimi,0,17
Gambia,women_vitA,Upper River,Wuli,0.0909090909090909,11
Gambia,child_iron,Banjul,Banjul,0.4735937386684563,96
Gambia,child_iron,North Bank,Central Baddibu,0.6428571428571428,14
Gambia,child_iron,Western,Foni Bintang Karanai,0.47058823529411764,17
Gambia,child_iron,Western,Foni Brefet,0.6363636363636364,11
Gambia,child_iron,Upper River,Fulladu East,0.6083208562145317,124
Gambia,child_iron,North Bank,Jokadu,0.7857142857142858,14
Gambia,child_iron,Banjul,Kanifing,0.47361199352160166,72
Gambia,child_iron,Upper River,Kantora,0.8666666666666667,15
Gambia,child_iron,Western,Kombo Central,0.3300182481518789,26
Gambia,child_iron,Western,Kombo East,0.6000000000000001,20
Gambia,child_iron,Western,Kombo Saint Mary,0.6347092567755424,56
Gambia,child_iron,Western,Kombo South,0.47368421052631576,19
Gambia,child_iron,North Bank,Lower Baddibu,0.6666666666666667,9
Gambia,child_iron,North Bank,Lower Nuimi,0.5746551456484323,13
