country,outcome,Admin1,Admin2
Gambia,child_vitA,Maccarthy Island,Fulladu West
Gambia,child_vitA,Lower River,Jarra East
Gambia,child_vitA,Lower River,Jarra West
Gambia,child_vitA,Lower River,Kiang Central
Gambia,child_vitA,Lower River,Kiang East
Gambia,child_vitA,Maccarthy Island,Lower Saloum
Gambia,child_vitA,Maccarthy Island,Niamina Dankunku
Gambia,child_vitA,Maccarthy Island,Niamina East
Gambia,child_vitA,Maccarthy Island,Niani
Gambia,child_vitA,Maccarthy Island,Nianija
Gambia,child_vitA,Maccarthy Island,Sami
Gambia,child_vitA,Maccarthy Island,Upper Saloum
Gambia,women_vitA,Maccarthy Island,Fulladu West
Gambia,women_vitA,Lower River,Jarra East
Gambia,women_vitA,Lower River,Jarra West
Gambia,women_vitA,Lower River,Kiang Central
Gambia,women_vitA,Lower River,Kiang East
Gambia,women_vitA,Maccarthy Island,Lower Saloum
Gambia,women_vitA,Maccarthy Island,Niamina Dankunku
Gambia,women_vitA,Maccarthy Island,Niamina East
Gambia,women_vitA,Maccarthy Island,Niani
Gambia,women_vitA,Maccarthy Island,Nianija
Gambia,women_vitA,Maccarthy Island,Sami
Gambia,women_vitA,Maccarthy Island,Upper Saloum
Gambia,child_iron,Maccarthy Island,Fulladu West
Gambia,child_iron,Lower River,Jarra East
Gambia,child_iron,Lower River,Jarra West
Gambia,child_iron,Lower River,Kiang Central
Gambia,child_iron,Lower River,Kiang East
Gambia,child_iron,Maccarthy Island,Lower Saloum
Gambia,child_iron,Maccarthy Island,Niamina Dankunku
Gambia,child_iron,Maccarthy Island,Niamina East
Gambia,child_iron,Maccarthy Island,Niani
Gambia,child_iron,Maccarthy Island,Nianija
Gambia,child_iron,Maccarthy Island,Sami
Gambia,child_iron,Maccarthy Island,Upper Saloum
Gambia,women_iron,Maccarthy Island,Fulladu West
Gambia,women_iron,Lower River,Jarra East
Gambia,women_iron,Lower River,Jarra West
Gambia,women_iron,Lower River,Kiang Central
Gambia,women_iron,Lower River,Kiang East
Gambia,women_iron,Maccarthy Island,Lower Saloum
Gambia,women_iron,Maccarthy Island,Niamina Dankunku
Gambia,women_iron,Maccarthy Island,Niamina East
Gambia,women_iron,Maccarthy Island,Niani
Gambia,women_iron,Maccarthy Island,Nianija
Gambia,women_iron,Maccarthy Island,Sami
Gambia,women_iron,Maccarthy Island,Upper Saloum
Ghana,child_vitA,Eastern,Abuakwa South
Ghana,child_vitA,Volta,Afadzato South
Ghana,child_vitA,Volta,Akatsi South
Ghana,child_vitA,Eastern,Akwapem North
Ghana,child_vitA,Eastern,Atiwa East
Ghana,child_vitA,Eastern,Denkyembour
Ghana,child_vitA,Western,Effia Kwesimintsim
Ghana,child_vitA,Western,Ellembelle
Ghana,child_vitA,Volta,Ho Municipal
Ghana,child_vitA,Western,Jomoro
Ghana,child_vitA,Bono East,Kintampo North
Ghana,child_vitA,Eastern,Kwahu Afram Plains North
Ghana,child_vitA,Western,Mpohor
Ghana,child_vitA,Western,Prestea-Huni Valley
Ghana,child_vitA,Bono East,Sene West
Ghana,child_vitA,Volta,South Tongu
Ghana,child_vitA,Bono East,Techiman
Ghana,women_vitA,Eastern,Abuakwa South
Ghana,women_vitA,Volta,Afadzato South
Ghana,women_vitA,Volta,Akatsi South
Ghana,women_vitA,Eastern,Akwapem North
Ghana,women_vitA,Eastern,Atiwa East
Ghana,women_vitA,Eastern,Denkyembour
Ghana,women_vitA,Western,Effia Kwesimintsim
Ghana,women_vitA,Western,Ellembelle
Ghana,women_vitA,Volta,Ho Municipal
Ghana,women_vitA,Western,Jomoro
Ghana,women_vitA,Bono East,Kintampo North
Ghana,women_vitA,Eastern,Kwahu Afram Plains North
Ghana,women_vitA,Western,Mpohor
Ghana,women_vitA,Western,Prestea-Huni Valley
Ghana,women_vitA,Bono East,Sene West
Ghana,women_vitA,Volta,South Tongu
Ghana,women_vitA,Bono East,Techiman
Ghana,child_iron,Eastern,Abuakwa South
Ghana,child_iron,Volta,Afadzato South
Ghana,child_iron,Volta,Akatsi South
Ghana,child_iron,Eastern,Akwapem North
Ghana,child_iron,Eastern,Atiwa East
Ghana,child_iron,Eastern,Denkyembour
Ghana,child_iron,Western,Effia Kwesimintsim
Ghana,child_iron,Western,Ellembelle
Ghana,child_iron,Volta,Ho Municipal
Ghana,child_iron,Western,Jomoro
Ghana,child_iron,Bono East,Kintampo North
Ghana,child_iron,Eastern,Kwahu Afram Plains North
Ghana,child_iron,Western,Mpohor
Ghana,child_iron,Western,Prestea-Huni Valley
Ghana,child_iron,Bono East,Sene West
Ghana,child_iron,Volta,South Tongu
Ghana,child_iron,Bono East,Techiman
Ghana,women_iron,Eastern,Abuakwa South
Ghana,women_iron,Volta,Afadzato South
Ghana,women_iron,Volta,Akatsi South
Ghana,women_iron,Eastern,Akwapem North
Ghana,women_iron,Eastern,Atiwa East
Ghana,women_iron,Eastern,Denkyembour
Ghana,women_iron,Western,Effia Kwesimintsim
Ghana,women_iron,Western,Ellembelle
Ghana,women_iron,Volta,Ho Municipal
Ghana,women_iron,Western,Jomoro
Ghana,women_iron,Bono East,Kintampo North
Ghana,women_iron,Eastern,Kwahu Afram Plains North
Ghana,women_iron,Western,Mpohor
Ghana,women_iron,Western,Prestea-Huni Valley
Ghana,women_iron,Bono East,Sene West
Ghana,women_iron,Volta,South Tongu
Ghana,women_iron,Bono East,Techiman
Ghana,women_folate,Eastern,Abuakwa South
Ghana,women_folate,Volta,Afadzato South
Ghana,women_folate,Volta,Akatsi South
Ghana,women_folate,Eastern,Akwapem North
Ghana,women_folate,Eastern,Atiwa East
Ghana,women_folate,Eastern,Denkyembour
Ghana,women_folate,Western,Effia Kwesimintsim
Ghana,women_folate,Western,Ellembelle
Ghana,women_folate,Volta,Ho Municipal
Ghana,women_folate,Western,Jomoro
Ghana,women_folate,Bono East,Kintampo North
Ghana,women_folate,Eastern,Kwahu Afram Plains North
Ghana,women_folate,Western,Mpohor
Ghana,women_folate,Western,Prestea-Huni Valley
Ghana,women_folate,Bono East,Sene West
Ghana,women_folate,Volta,South Tongu
Ghana,women_folate,Bono East,Techiman
Ghana,women_b12,Eastern,Abuakwa South
Ghana,women_b12,Volta,Afadzato South
Ghana,women_b12,Volta,Akatsi South
Ghana,women_b12,Eastern,Akwapem North
