country,outcome,Admin1,Admin2,fold
Gambia,child_vitA,Banjul,Banjul,Banjul
Gambia,child_vitA,North Bank,Central Baddibu,North Bank
Gambia,child_vitA,Western,Foni Bintang Karanai,Western
Gambia,child_vitA,Western,Foni Brefet,Western
Gambia,child_vitA,Upper River,Fulladu East,Upper River
Gambia,child_vitA,Maccarthy Island,Fulladu West,Maccarthy Island
Gambia,child_vitA,Lower River,Jarra East,Lower River
Gambia,child_vitA,Lower River,Jarra West,Lower River
Gambia,child_vitA,North Bank,Jokadu,North Bank
Gambia,child_vitA,Banjul,Kanifing,Banjul
Gambia,child_vitA,Upper River,Kantora,Upper River
Gambia,child_vitA,Lower River,Kiang Central,Lower River
Gambia,child_vitA,Lower River,Kiang East,Lower River
Gambia,child_vitA,Western,Kombo Central,Western
Gambia,child_vitA,Western,Kombo East,Western
Gambia,child_vitA,Western,Kombo Saint Mary,Western
Gambia,child_vitA,Western,Kombo South,Western
Gambia,child_vitA,North Bank,Lower Baddibu,North Bank
Gambia,child_vitA,North Bank,Lower Nuimi,North Bank
Gambia,child_vitA,Maccarthy Island,Lower Saloum,Maccarthy Island
Gambia,child_vitA,Maccarthy Island,Niamina Dankunku,Maccarthy Island
Gambia,child_vitA,Maccarthy Island,Niamina East,Maccarthy Island
Gambia,child_vitA,Maccarthy Island,Niani,Maccarthy Island
Gambia,child_vitA,Maccarthy Island,Nianija,Maccarthy Island
Gambia,child_vitA,Maccarthy Island,Sami,Maccarthy Island
Gambia,child_vitA,Upper River,Sandu,Upper River
Gambia,child_vitA,North Bank,Upper Baddibu,North Bank
Gambia,child_vitA,North Bank,Upper Nuimi,North Bank
Gambia,child_vitA,Maccarthy Island,Upper Saloum,Maccarthy Island
Gambia,child_vitA,Upper River,Wuli,Upper River
Gambia,women_vitA,Banjul,Banjul,Banjul
Gambia,women_vitA,North Bank,Central Baddibu,North Bank
Gambia,women_vitA,Western,Foni Bintang Karanai,Western
Gambia,women_vitA,Western,Foni Brefet,Western
Gambia,women_vitA,Upper River,Fulladu East,Upper River
Gambia,women_vitA,Maccarthy Island,Fulladu West,Maccarthy Island
Gambia,women_vitA,Lower River,Jarra East,Lower River
Gambia,women_vitA,Lower River,Jarra West,Lower River
Gambia,women_vitA,North Bank,Jokadu,North Bank
Gambia,women_vitA,Banjul,Kanifing,Banjul
Gambia,women_vitA,Upper River,Kantora,Upper River
Gambia,women_vitA,Lower River,Kiang Central,Lower River
Gambia,women_vitA,Lower River,Kiang East,Lower River
Gambia,women_vitA,Western,Kombo Central,Western
Gambia,women_vitA,Western,Kombo East,Western
Gambia,women_vitA,Western,Kombo Saint Mary,Western
Gambia,women_vitA,Western,Kombo South,Western
Gambia,women_vitA,North Bank,Lower Baddibu,North Bank
Gambia,women_vitA,North Bank,Lower Nuimi,North Bank
Gambia,women_vitA,Maccarthy Island,Lower Saloum,Maccarthy Island
Gambia,women_vitA,Maccarthy Island,Niamina Dankunku,Maccarthy Island
Gambia,women_vitA,Maccarthy Island,Niamina East,Maccarthy Island
Gambia,women_vitA,Maccarthy Island,Niani,Maccarthy Island
Gambia,women_vitA,Maccarthy Island,Nianija,Maccarthy Island
Gambia,women_vitA,Maccarthy Island,Sami,Maccarthy Island
Gambia,women_vitA,Upper River,Sandu,Upper River
Gambia,women_vitA,North Bank,Upper Baddibu,North Bank
Gambia,women_vitA,North Bank,Upper Nuimi,North Bank
Gambia,women_vitA,Maccarthy Island,Upper Saloum,Maccarthy Island
Gambia,women_vitA,Upper River,Wuli,Upper River
Gambia,child_iron,Banjul,Banjul,Banjul
Gambia,child_iron,North Bank,Central Baddibu,North Bank
Gambia,child_iron,Western,Foni Bintang Karanai,Western
Gambia,child_iron,Western,Foni Brefet,Western
Gambia,child_iron,Upper River,Fulladu East,Upper River
Gambia,child_iron,Maccarthy Island,Fulladu West,Maccarthy Island
Gambia,child_iron,Lower River,Jarra East,Lower River
Gambia,child_iron,Lower River,Jarra West,Lower River
Gambia,child_iron,North Bank,Jokadu,North Bank
Gambia,child_iron,Banjul,Kanifing,Banjul
Gambia,child_iron,Upper River,Kantora,Upper River
Gambia,child_iron,Lower River,Kiang Central,Lower River
Gambia,child_iron,Lower River,Kiang East,Lower River
Gambia,child_iron,Western,Kombo Central,Western
Gambia,child_iron,Western,Kombo East,Western
Gambia,child_iron,Western,Kombo Saint Mary,Western
Gambia,child_iron,Western,Kombo South,Western
Gambia,child_iron,North Bank,Lower Baddibu,North Bank
Gambia,child_iron,North Bank,Lower Nuimi,North Bank
Gambia,child_iron,Maccarthy Island,Lower Saloum,Maccarthy Island
Gambia,child_iron,Maccarthy Island,Niamina Dankunku,Maccarthy Island
Gambia,child_iron,Maccarthy Island,Niamina East,Maccarthy Island
Gambia,child_iron,Maccarthy Island,Niani,Maccarthy Island
Gambia,child_iron,Maccarthy Island,Nianija,Maccarthy Island
Gambia,child_iron,Maccarthy Island,Sami,Maccarthy Island
Gambia,child_iron,Upper River,Sandu,Upper River
Gambia,child_iron,North Bank,Upper Baddibu,North Bank
Gambia,child_iron,North Bank,Upper Nuimi,North Bank
Gambia,child_iron,Maccarthy Island,Upper Saloum,Maccarthy Island
Gambia,child_iron,Upper River,Wuli,Upper River
Gambia,women_iron,Banjul,Banjul,Banjul
Gambia,women_iron,North Bank,Central Baddibu,North Bank
Gambia,women_iron,Western,Foni Bintang Karanai,Western
Gambia,women_iron,Western,Foni Brefet,Western
Gambia,women_iron,Upper River,Fulladu East,Upper River
Gambia,women_iron,Maccarthy Island,Fulladu West,Maccarthy Island
Gambia,women_iron,Lower River,Jarra East,Lower River
Gambia,women_iron,Lower River,Jarra West,Lower River
Gambia,women_iron,North Bank,Jokadu,North Bank
Gambia,women_iron,Banjul,Kanifing,Banjul
Gambia,women_iron,Upper River,Kantora,Upper River
Gambia,women_iron,Lower River,Kiang Central,Lower River
Gambia,women_iron,Lower River,Kiang East,Lower River
Gambia,women_iron,Western,Kombo Central,Western
Gambia,women_iron,Western,Kombo East,Western
Gambia,women_iron,Western,Kombo Saint Mary,Western
Gambia,women_iron,Western,Kombo South,Western
Gambia,women_iron,North Bank,Lower Baddibu,North Bank
Gambia,women_iron,North Bank,Lower Nuimi,North Bank
Gambia,women_iron,Maccarthy Island,Lower Saloum,Maccarthy Island
Gambia,women_iron,Maccarthy Island,Niamina Dankunku,Maccarthy Island
Gambia,women_iron,Maccarthy Island,Niamina East,Maccarthy Island
Gambia,women_iron,Maccarthy Island,Niani,Maccarthy Island
Gambia,women_iron,Maccarthy Island,Nianija,Maccarthy Island
Gambia,women_iron,Maccarthy Island,Sami,Maccarthy Island
Gambia,women_iron,Upper River,Sandu,Upper River
Gambia,women_iron,North Bank,Upper Baddibu,North Bank
Gambia,women_iron,North Bank,Upper Nuimi,North Bank
Gambia,women_iron,Maccarthy Island,Upper Saloum,Maccarthy Island
Gambia,women_iron,Upper River,Wuli,Upper River
Ghana,child_vitA,Greater Accra,Ablekuma Central,Greater Accra
Ghana,child_vitA,Greater Accra,Ablekuma North,Greater Accra
Ghana,child_vitA,Eastern,Abuakwa South,Eastern
Ghana,child_vitA,Ashanti,Adansi Asokwa,Ashanti
Ghana,child_vitA,Volta,Afadzato South,Volta
Ghana,child_vitA,Central,Agona West,Central
Ghana,child_vitA,Volta,Akatsi South,Volta
Ghana,child_vitA,Eastern,Akwapem North,Eastern
Ghana,child_vitA,Ashanti,Asante-Akim South,Ashanti
Ghana,child_vitA,Greater Accra,Ashaiman,Greater Accra
Ghana,child_vitA,Central,Asikuma-Odoben-Brakwa,Central
Ghana,child_vitA,Ashanti,Asokore-Mampong,Ashanti
Ghana,child_vitA,Ashanti,Asokwa,Ashanti
Ghana,child_vitA,Ahafo,Asunafo North,Ahafo
Ghana,child_vitA,Eastern,Atiwa East,Eastern
Ghana,child_vitA,Ashanti,Atwima-Mponua,Ashanti
Ghana,child_vitA,Ashanti,Atwima-Nwabiagya South,Ashanti
Ghana,child_vitA,Central,Awutu Senya West,Central
Ghana,child_vitA,Greater Accra,Ayawaso West,Greater Accra
Ghana,child_vitA,Upper East,Bawku West,Upper East
Ghana,child_vitA,Ashanti,Bekwai,Ashanti
Ghana,child_vitA,Upper East,Binduri,Upper East
Ghana,child_vitA,Savannah,Bole,Savannah
Ghana,child_vitA,Upper East,Builsa South,Upper East
Ghana,child_vitA,Savannah,Central Gonja,Savannah
Ghana,child_vitA,North East,Chereponi,North East
Ghana,child_vitA,Eastern,Denkyembour,Eastern
Ghana,child_vitA,Bono,Dormaa West,Bono
Ghana,child_vitA,Western,Effia Kwesimintsim,Western
Ghana,child_vitA,Western,Ellembelle,Western
Ghana,child_vitA,Greater Accra,Ga East,Greater Accra
Ghana,child_vitA,Northern,Gushegu,Northern
Ghana,child_vitA,Volta,Ho Municipal,Volta
Ghana,child_vitA,Upper West,Jirapa,Upper West
Ghana,child_vitA,Western,Jomoro,Western
Ghana,child_vitA,Upper East,Kasena Nankana East,Upper East
Ghana,child_vitA,Bono East,Kintampo North,Bono East
Ghana,child_vitA,Northern,Kpandai,Northern
Ghana,child_vitA,Ashanti,Kumasi,Ashanti
Ghana,child_vitA,Ashanti,Kwadaso,Ashanti
Ghana,child_vitA,Eastern,Kwahu Afram Plains North,Eastern
Ghana,child_vitA,Greater Accra,La-Dade-Kotopon,Greater Accra
Ghana,child_vitA,Upper West,Lambussie-Karni,Upper West
Ghana,child_vitA,Central,Mfantseman,Central
Ghana,child_vitA,Western,Mpohor,Western
Ghana,child_vitA,Northern,Nanumba South,Northern
Ghana,child_vitA,Oti,Nkwanta South,Oti
Ghana,child_vitA,Savannah,North East Gonja,Savannah
Ghana,child_vitA,Ashanti,Obuasi,Ashanti
Ghana,child_vitA,Western,Prestea-Huni Valley,Western
Ghana,child_vitA,Northern,Sagnerigu,Northern
Ghana,child_vitA,Northern,Savelugu,Northern
Ghana,child_vitA,Savannah,Sawla-Tuna-Kalba,Savannah
Ghana,child_vitA,Western North,Sefwi-Akontombra,Western North
Ghana,child_vitA,Ashanti,Sekyere Kumawu,Ashanti
Ghana,child_vitA,Ashanti,Sekyere South,Ashanti
Ghana,child_vitA,Bono East,Sene West,Bono East
Ghana,child_vitA,Upper West,Sissala East,Upper West
Ghana,child_vitA,Volta,South Tongu,Volta
Ghana,child_vitA,Bono,Sunyani West,Bono
Ghana,child_vitA,Upper East,Talensi,Upper East
Ghana,child_vitA,Northern,Tamale,Northern
Ghana,child_vitA,Ahafo,Tano North,Ahafo
