learner,nll,brier,auc,time_sec
bart_small,0.6133058777139345,0.21172597794118883,0.5640288571792585,261.27999999999884
ranger_low_mtry,0.6136962431449584,0.21214876715949688,0.5820045669708047,89.97999999999956
lasso,0.6153830801795646,0.2132790889416869,0.5877610572635417,96.39999999999782
gaussianprocess,0.6169096348766429,0.2137285067647552,0.5845091731430756,385.4399999999987
bart_100,0.6175766163633973,0.2140683378724233,0.5898754863431892,212.26000000000204
ranger_main,0.6194770071822351,0.21403654844926057,0.586472309064359,120.40999999999985
earth,0.6226972031336852,0.21601692651699766,0.5839487146819291,234.1800000000003
mean,0.6285249496105461,0.2180293308813266,0.5866781167615669,0.8899999999994179
xgb_deep,0.6304395636262851,0.21762223623252136,0.586365730078305,375.40999999999985
xgb_conservative,0.6345899186718734,0.21925366044019393,0.5778626870644962,210.0600000000013
