framework,learner,cv_risk_val,nnls_weight,rank
sl3,ranger_mtry_log,0.5045880824692487,0,1
sl3,hal_fast,0.5047129769421537,0.34113962892078237,2
sl3,cor30_ranger,0.5067253849638652,0,3
sl3,ridge,0.5082939306484429,0,4
sl3,ranger_mtry_sqrt,0.5093516526604366,0,5
sl3,cor10_ranger,0.5100456692508144,0,6
sl3,ranger_1000_mn10,0.5101400427368942,0,7
sl3,cor50_ranger,0.5103556396654034,0,8
sl3,ranger_500_mn10,0.51042769805004,0,9
sl3,xgb_deep_reg,0.5108433584586172,0,10
sl3,ranger_1000_mn20,0.5110304456220622,0,11
sl3,ranger_500_mn5,0.5112625829637824,0,12
sl3,enet_025,0.5120014970588039,0,13
sl3,lasso_then_xgb,0.5124475629976057,0.13419609307681624,14
sl3,cor50_xgb,0.5131571933693571,0,15
sl3,xgb_conservative,0.5133100602353211,0,16
sl3,rfimp40_ranger,0.5134376678327078,0,17
sl3,cor30_xgb,0.5139907492150726,0,18
sl3,xgb_shallow,0.5143711883833987,0,19
sl3,enet_075,0.5148565681963025,0,20
sl3,lasso_then_ranger,0.5152141497813114,0,21
sl3,enet_050,0.5155886516364189,0,22
sl3,polspline,0.515603122949245,0,23
sl3,xgb_fast,0.5161732727035228,0.14006631793005436,24
sl3,lasso,0.5171576678525615,0,25
sl3,rfimp20_ranger,0.5178484135707792,0,26
sl3,rfimp20_xgb,0.519319761335934,0,27
sl3,xgb_deeper,0.5193927938368613,0,28
sl3,rfimp40_xgb,0.5224996935228337,0,29
sl3,cor10_xgb,0.5247925823374439,0,30
sl3,gbm,0.5272916565769165,0,31
sl3,cor10_nnet,0.5308313231400716,0.17732952025410004,32
sl3,lasso_then_glm,0.5359704856196711,0,33
sl3,lasso_then_earth,0.5414482228472486,0,34
sl3,earth_d1,0.5421928201701306,0,35
sl3,mean,0.546599400374594,0,36
sl3,nnet_5,0.5482263927520582,0,37
sl3,rfimp20_earth,0.5486323896879228,0,38
sl3,cor10_earth,0.5746539175389603,0,39
sl3,cor30_nnet,0.5835598475427229,0,40
sl3,earth_d2,0.588349706328921,0,41
sl3,rfimp40_earth,0.5915624851882086,0,42
sl3,cor30_earth,0.5942691296226443,0.023703622380969264,43
sl3,svm_radial,0.6300843806243589,0.1685628257099205,44
sl3,nnet_10,0.643447999745923,0,45
sl3,svm_linear,0.6511851929029923,0,46
sl3,nnet_20,0.7412333824069851,0,47
sl3,dbarts,0.8026941464226087,0,48
sl3,rfimp20_gam,1.4883355004695122,0,49
sl3,rfimp40_gam,2.489551171098762,0,50
sl3,glm_fast,2.796271135610968,0.015001991727357243,51
sl3,gam,3.0210115280669787,0,52
