"country","cluster","Admin1","Admin2","n_resp","n_dated","date_med","date_min","date_max","month_med","year_med"
"Ghana","20","Greater Accra","Ablekuma North",12,12,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","21","Greater Accra","Ayawaso West",11,11,2017-04-15,2017-04-15,2017-04-15,4,2017
"Ghana","22","Greater Accra","Ashaiman",18,18,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","23","Greater Accra","Tema West",23,23,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","24","Greater Accra","La-Dade-Kotopon",22,22,2017-06-15,2017-06-15,2017-06-15,6,2017
"Ghana","25","Volta","Akatsi South",16,16,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","26","Eastern","Kwahu Afram Plains North",22,22,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","27","Oti","Nkwanta South",23,23,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","28","Volta","Afadzato South",41,41,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","29","Volta","South Tongu",20,20,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","3","Western North","Sefwi-Akontombra",26,26,2017-04-15,2017-04-15,2017-05-15,4,2017
"Ghana","30","Volta","Ho Municipal",9,9,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","31","Eastern","Akwapem North",24,24,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","32","Eastern","Atiwa East",25,25,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","33","Ashanti","Adansi Asokwa",32,32,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","34","Eastern","Kwahu Afram Plains North",24,24,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","35","Eastern","Kwahu Afram Plains North",31,31,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","36","Eastern","Akwapem North",20,20,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","37","Eastern","Abuakwa South",28,28,2017-04-15,2017-04-15,2017-04-15,4,2017
"Ghana","38","Eastern","Denkyembour",29,29,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","39","Ashanti","Atwima-Mponua",18,18,2017-04-15,2017-04-15,2017-05-15,4,2017
"Ghana","4","Western","Mpohor",15,15,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","40","Ashanti","Obuasi",23,23,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","41","Ashanti","Asante-Akim South",48,48,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","42","Ashanti","Atwima-Mponua",50,50,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","43","Ahafo","Tano North",36,36,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","44","Ashanti","Sekyere Kumawu",27,27,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","45","Ashanti","Bekwai",22,22,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","46","Ashanti","Kwadaso",26,26,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","47","Ashanti","Kumasi",29,29,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","48","Ashanti","Asokwa",27,27,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","49","Ashanti","Kumasi",23,23,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","5","Western","Jomoro",13,13,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","50","Ashanti","Atwima-Nwabiagya South",25,25,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","51","Bono East","Sene West",26,26,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","52","Ashanti","Sekyere South",27,27,2017-05-15,2017-05-15,2017-05-15,5,2017
