"country","cluster","Admin1","Admin2","n_resp","n_dated","date_med","date_min","date_max","month_med","year_med"
"SierraLeone","10","Northern","Port Loko",7,7,2013-11-23,2013-11-03,2013-11-27,11,2013
"SierraLeone","11","Northern","Port Loko",9,5,2013-11-11,2013-11-02,2013-11-30,11,2013
"SierraLeone","12","Northern","Kambia",8,2,2013-11-12,2013-11-02,2013-11-22,11,2013
"SierraLeone","13","Northern","Koinadugu",14,13,2013-11-28,2013-11-21,2013-12-04,11,2013
"SierraLeone","14","Northern","Koinadugu",11,11,2013-11-28,2013-11-21,2013-12-11,11,2013
"SierraLeone","15","Northern","Port Loko",6,5,2013-11-23,2013-11-03,2013-11-27,11,2013
"SierraLeone","16","Northern","Port Loko",6,4,2013-11-19,2013-11-14,2013-12-02,11,2013
"SierraLeone","17","Northern","Port Loko",12,7,2013-11-15,2013-11-13,2013-11-29,11,2013
"SierraLeone","18","Northern","Tonkolili",14,14,2013-11-21,2013-11-04,2013-12-02,11,2013
"SierraLeone","19","Northern","Tonkolili",13,12,2013-11-21,2013-11-02,2013-11-29,11,2013
"SierraLeone","2","Eastern","Kailahun",5,4,2013-11-28,2013-11-12,2013-12-05,11,2013
"SierraLeone","20","Southern","Bo",7,6,2013-12-04,2013-11-29,2013-12-06,12,2013
"SierraLeone","21","Southern","Bo",16,7,2013-11-15,2013-11-06,2013-11-22,11,2013
"SierraLeone","22","Southern","Bo",10,4,2013-11-22,2013-11-06,2013-11-30,11,2013
"SierraLeone","23","Southern","Bonthe",12,12,2013-11-26,2013-11-12,2013-12-09,11,2013
"SierraLeone","24","Southern","Bonthe",7,7,2013-12-03,2013-11-17,2013-12-09,12,2013
"SierraLeone","25","Southern","Bonthe",9,6,2013-11-29,2013-11-21,2013-12-09,11,2013
"SierraLeone","26","Southern","Moyamba",11,8,2013-12-01,2013-11-18,2013-12-12,12,2013
"SierraLeone","27","Southern","Pujehun",8,6,2013-11-11,2013-10-30,2013-11-27,11,2013
"SierraLeone","28","Southern","Pujehun",9,5,2013-11-15,2013-11-04,2013-12-01,11,2013
"SierraLeone","29","Western","Western Rural",6,6,2013-11-09,2013-11-01,2013-11-22,11,2013
"SierraLeone","3","Southern","Pujehun",13,10,2013-11-30,2013-11-17,2013-12-04,11,2013
"SierraLeone","30","Western","Western Rural",8,6,2013-11-24,2013-11-05,2013-12-06,11,2013
"SierraLeone","31","Eastern","Kailahun",5,4,2013-11-19,2013-11-04,2013-11-28,11,2013
"SierraLeone","32","Eastern","Kenema",7,6,2013-11-21,2013-11-04,2013-11-30,11,2013
"SierraLeone","33","Southern","Bo",7,7,2013-11-18,2013-11-15,2013-12-03,11,2013
"SierraLeone","34","Eastern","Kenema",3,2,2013-11-03,2013-11-03,2013-11-04,11,2013
"SierraLeone","35","Eastern","Kono",11,5,2013-11-29,2013-11-28,2013-12-05,11,2013
"SierraLeone","36","Eastern","Kono",9,6,2013-11-28,2013-11-14,2013-12-10,11,2013
"SierraLeone","37","Northern","Bombali",6,6,2013-11-24,2013-11-17,2013-12-03,11,2013
"SierraLeone","38","Northern","Tonkolili",5,3,2013-11-18,2013-11-18,2013-11-26,11,2013
"SierraLeone","39","Northern","Kambia",18,14,2013-11-21,2013-11-03,2013-12-03,11,2013
"SierraLeone","4","Eastern","Kono",8,6,2013-11-20,2013-11-06,2013-12-04,11,2013
"SierraLeone","40","Northern","Koinadugu",6,6,2013-11-28,2013-11-09,2013-12-06,11,2013
"SierraLeone","41","Western","Western Rural",7,7,2013-11-18,2013-11-15,2013-11-24,11,2013
"SierraLeone","42","Western","Western Urban",5,5,2013-11-09,2013-11-02,2013-11-14,11,2013
"SierraLeone","43","Northern","Tonkolili",8,8,2013-11-22,2013-11-02,2013-11-26,11,2013
"SierraLeone","44","Eastern","Kenema",10,4,2013-11-14,2013-11-04,2013-11-27,11,2013
"SierraLeone","45","Eastern","Kenema",4,1,2013-12-02,2013-12-02,2013-12-02,12,2013
"SierraLeone","46","Eastern","Kenema",6,5,2013-11-05,2013-11-01,2013-11-18,11,2013
"SierraLeone","47","Southern","Bonthe",6,6,2013-11-29,2013-11-27,2013-12-16,11,2013
"SierraLeone","48","Southern","Moyamba",3,1,2013-12-04,2013-12-04,2013-12-04,12,2013
"SierraLeone","49","Southern","Pujehun",4,1,2013-11-25,2013-11-25,2013-11-25,11,2013
"SierraLeone","5","Eastern","Kenema",8,6,2013-11-22,2013-11-22,2013-12-11,11,2013
"SierraLeone","50","Western","Western Urban",3,3,2013-11-08,2013-11-06,2013-11-14,11,2013
"SierraLeone","51","Western","Western Rural",3,3,2013-11-17,2013-11-11,2013-12-02,11,2013
"SierraLeone","52","Western","Western Urban",6,6,2013-12-03,2013-11-24,2013-12-12,12,2013
"SierraLeone","53","Western","Western Urban",4,3,2013-11-22,2013-11-18,2013-11-25,11,2013
"SierraLeone","54","Western","Western Urban",9,8,2013-11-17,2013-11-01,2013-11-24,11,2013
"SierraLeone","55","Western","Western Urban",6,6,2013-11-28,2013-11-14,2013-12-10,11,2013
"SierraLeone","56","Western","Western Rural",9,5,2013-12-04,2013-11-12,2013-12-11,12,2013
"SierraLeone","57","Western","Western Urban",3,3,2013-11-13,2013-11-07,2013-12-08,11,2013
"SierraLeone","58","Western","Western Rural",9,9,2013-11-29,2013-11-22,2013-12-08,11,2013
"SierraLeone","59","Western","Western Urban",5,5,2013-11-12,2013-11-07,2013-12-03,11,2013
"SierraLeone","6","Eastern","Kono",17,6,2013-12-04,2013-11-15,2013-12-07,12,2013
"SierraLeone","60","Northern","Port Loko",7,7,2013-11-12,2013-11-04,2013-11-26,11,2013
"SierraLeone","7","Eastern","Kono",9,4,2013-12-04,2013-11-30,2013-12-13,12,2013
"SierraLeone","8","Northern","Bombali",8,7,2013-11-20,2013-11-03,2013-11-30,11,2013
"SierraLeone","9","Northern","Bombali",12,12,2013-11-22,2013-11-06,2013-12-04,11,2013
