"country","outcome","rep","arm","n_areas","spearman","topk"
"Gambia","child_iron",1,"mse_discrete",30,0.311259782506399,0.25
"Gambia","child_iron",1,"mse_nnls",30,0.384247415883102,0.375
"Gambia","child_iron",1,"rank_discrete",30,0.422071423236968,0.375
"Gambia","child_iron",1,"rank_nnls",30,0.40338191372094,0.375
"Gambia","child_iron",1,"domain_index",30,0.422071423236968,0.375
"Gambia","child_iron",1,"enet",30,0.192234955022003,0.125
"Gambia","child_iron",1,"rf",30,0.355323174965439,0.125
"Gambia","child_iron",1,"mean",30,-0.213792514560276,0.125
"Gambia","child_iron",2,"mse_discrete",30,0.398037267618517,0.5
"Gambia","child_iron",2,"mse_nnls",30,0.465012796291652,0.375
"Gambia","child_iron",2,"rank_discrete",30,0.489932142313023,0.5
"Gambia","child_iron",2,"rank_nnls",30,0.459005453947214,0.375
"Gambia","child_iron",2,"domain_index",30,0.489932142313023,0.5
"Gambia","child_iron",2,"enet",30,0.241234707647586,0.375
"Gambia","child_iron",2,"rf",30,0.373122707837847,0.375
"Gambia","child_iron",2,"mean",30,-0.22877160793711,0.25
"Gambia","child_iron",3,"mse_discrete",30,0.160863278334385,0.125
"Gambia","child_iron",3,"mse_nnls",30,0.278785183614086,0.25
"Gambia","child_iron",3,"rank_discrete",30,0.370007789585175,0.25
"Gambia","child_iron",3,"rank_nnls",30,0.349983315103717,0.25
"Gambia","child_iron",3,"domain_index",30,0.370007789585175,0.25
"Gambia","child_iron",3,"enet",30,0.0133496496543058,0
"Gambia","child_iron",3,"rf",30,0.160863278334385,0.125
"Gambia","child_iron",3,"mean",30,-0.607334149642566,0
"Gambia","child_iron",4,"mse_discrete",30,0.18919055312732,0.125
"Gambia","child_iron",4,"mse_nnls",30,0.370007789585175,0.25
"Gambia","child_iron",4,"rank_discrete",30,0.410946715191713,0.375
"Gambia","child_iron",4,"rank_nnls",30,0.388474804940299,0.25
"Gambia","child_iron",4,"domain_index",30,0.410946715191713,0.375
"Gambia","child_iron",4,"enet",30,-0.0739339705845842,0.125
"Gambia","child_iron",4,"rf",30,0.313494272715281,0.125
"Gambia","child_iron",4,"mean",30,-0.254644587406188,0.125
"Gambia","child_iron",5,"mse_discrete",30,0.311491825267135,0.25
"Gambia","child_iron",5,"mse_nnls",30,0.393369676480211,0.375
"Gambia","child_iron",5,"rank_discrete",30,0.408721773582662,0.375
"Gambia","child_iron",5,"rank_nnls",30,0.400266995468269,0.375
"Gambia","child_iron",5,"domain_index",30,0.408721773582662,0.375
"Gambia","child_iron",5,"enet",30,0.101679831533629,0.125
"Gambia","child_iron",5,"rf",30,0.311491825267135,0.25
"Gambia","child_iron",5,"mean",30,-0.145705726483755,0.125
"Gambia","women_iron",1,"mse_discrete",30,0.59984425780014,0.375
"Gambia","women_iron",1,"mse_nnls",30,0.636778288510386,0.5
"Gambia","women_iron",1,"rank_discrete",30,0.699966630207434,0.5
"Gambia","women_iron",1,"rank_nnls",30,0.695294252828427,0.5
"Gambia","women_iron",1,"domain_index",30,0.699966630207434,0.5
"Gambia","women_iron",1,"enet",30,0.556457896423646,0.375
"Gambia","women_iron",1,"rf",30,0.561130273802653,0.375
"Gambia","women_iron",1,"mean",30,-0.253282851644658,0.125
"Gambia","women_iron",2,"mse_discrete",30,0.702191571816485,0.5
"Gambia","women_iron",2,"mse_nnls",30,0.762264995260861,0.625
"Gambia","women_iron",2,"rank_discrete",30,0.757815112042759,0.625
"Gambia","women_iron",2,"rank_nnls",30,0.739570590848541,0.625
"Gambia","women_iron",2,"domain_index",30,0.757815112042759,0.625
"Gambia","women_iron",2,"enet",30,0.710868844091783,0.5
"Gambia","women_iron",2,"rf",30,0.713316279861739,0.625
"Gambia","women_iron",2,"mean",30,0.0340433940382604,0.375
