"target","source","cells","n_cols","full","drop","only","delta_drop"
"level","SoilGrids/iSDA",22,45,0.307640781413692,0.282812794027303,0.326980355208555,0.0248279873863893
"level","GEE",22,80,0.307640781413692,0.292289972204399,0.267010765302048,0.0153508092092932
"level","MapSPAM",22,12,0.307640781413692,0.292376881064606,0.178574928287099,0.0152639003490858
"level","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",22,8,0.307640781413692,0.297360466624514,0.23634125231315,0.0102803147891777
"level","Malaria Atlas",22,10,0.307640781413692,0.298095288311594,0.0683280320231723,0.00954549310209807
"level","IHME",22,29,0.307640781413692,0.298124806811879,0.206399425107719,0.00951597460181297
"level","Koppen/AEZ",22,5,0.307640781413692,0.303118343683956,-0.0290044841439927,0.00452243772973576
"level","WFP prices",22,4,0.307640781413692,0.304857835225802,0.0121714161993633,0.00278294618788977
"level","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",22,5,0.307640781413692,0.305088501944939,-0.0130943883124929,0.00255227946875242
"level","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",22,3,0.307640781413692,0.305671930654357,0.0195325572357706,0.00196885075933456
"level","WorldPop/GHS",22,10,0.307640781413692,0.30589505029856,0.131667654219134,0.00174573111513171
"level","AlphaEarth",22,64,0.307640781413692,0.306355222673428,0.204394917048318,0.0012855587402637
"level","Global Data Lab Subnational HDI (SHDI)",22,2,0.307640781413692,0.309393603575312,0.117228792906918,-0.00175282216162054
"level","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",22,17,0.307640781413692,0.309577370173176,-0.0455080493654188,-0.00193658875948388
"level","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",22,3,0.307640781413692,0.31060110939953,-0.0970679020443224,-0.00296032798583762
"level","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",22,27,0.307640781413692,0.324259216214034,0.159081465888096,-0.0166184348003421
"prev","SoilGrids/iSDA",22,45,0.230130514718408,0.19913297898061,0.227910465378611,0.0309975357377978
"prev","MapSPAM",22,12,0.230130514718408,0.212555649581495,0.183122084678723,0.0175748651369134
"prev","Malaria Atlas",22,10,0.230130514718408,0.213170607689485,0.0864276371225255,0.0169599070289225
"prev","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",22,8,0.230130514718408,0.216457359165,0.137881091278188,0.0136731555534084
"prev","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",22,5,0.230130514718408,0.225086045361831,0.11636822301758,0.00504446935657657
"prev","GEE",22,80,0.230130514718408,0.225146830281219,0.174997005560027,0.0049836844371888
"prev","Koppen/AEZ",22,5,0.230130514718408,0.227413264531522,-0.0419301917311564,0.0027172501868859
"prev","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",22,3,0.230130514718408,0.229165495867615,-0.00484476907185961,0.000965018850792559
"prev","WFP prices",22,4,0.230130514718408,0.229166309982993,0.0420515587947909,0.000964204735414947
"prev","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",22,27,0.230130514718408,0.229348421388856,0.0862088772395297,0.000782093329552341
"prev","Global Data Lab Subnational HDI (SHDI)",22,2,0.230130514718408,0.229432847663155,0.0461842650389277,0.000697667055253148
"prev","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",22,3,0.230130514718408,0.234279075012226,-0.118659717905151,-0.00414856029381841
"prev","WorldPop/GHS",22,10,0.230130514718408,0.23659647321634,0.0415746796014917,-0.00646595849793166
"prev","IHME",22,29,0.230130514718408,0.238271182266852,0.103282499600734,-0.00814066754844367
"prev","AlphaEarth",22,64,0.230130514718408,0.242204389029976,0.111816034195728,-0.0120738743115677
"prev","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",22,17,0.230130514718408,0.244381120816969,-0.0775258588063295,-0.0142506060985608
