"country","outcome","rep","arm","n_areas","spearman","topk","secs_sl","secs_mlr3"
"Gambia","women_vitA",5,"sl_nnls",30,0.386959154143726,0.375,10.8115992546082,0
"Gambia","women_vitA",5,"mlr3_discrete",30,NA,NA,10.8115992546082,0
"Gambia","women_vitA",5,"domain_index",30,0.423331906655719,0.5,10.8115992546082,0
"Gambia","women_vitA",5,"enet",30,0.344250502807062,0.375,10.8115992546082,0
"Gambia","women_vitA",5,"rf",30,0.295675278484593,0.375,10.8115992546082,0
"Gambia","women_vitA",5,"mean",30,-0.180962771730749,0.25,10.8115992546082,0
"Gambia","women_vitA",5,"hapc",30,0.310459042408823,0.375,10.8115992546082,0
"Gambia","child_iron",1,"sl_discrete",30,0.311259782506399,0.25,11.574277639389,0
"Gambia","child_iron",1,"sl_nnls",30,0.410279232708998,0.5,11.574277639389,0
"Gambia","child_iron",1,"mlr3_discrete",30,NA,NA,11.574277639389,0
"Gambia","child_iron",1,"domain_index",30,0.422071423236968,0.375,11.574277639389,0
"Gambia","child_iron",1,"enet",30,0.143512314503309,0.125,11.574277639389,0
"Gambia","child_iron",1,"rf",30,0.355323174965439,0.125,11.574277639389,0
"Gambia","child_iron",1,"mean",30,-0.213792514560276,0.125,11.574277639389,0
"Gambia","child_iron",1,"hapc",30,0.206252087159024,0.25,11.574277639389,0
"Gambia","child_iron",2,"sl_discrete",30,0.419178999145202,0.5,11.4153363704681,0
"Gambia","child_iron",2,"sl_nnls",30,0.490377130634833,0.5,11.4153363704681,0
"Gambia","child_iron",2,"mlr3_discrete",30,NA,NA,11.4153363704681,0
"Gambia","child_iron",2,"domain_index",30,0.489932142313023,0.5,11.4153363704681,0
"Gambia","child_iron",2,"enet",30,0.353320727517293,0.5,11.4153363704681,0
"Gambia","child_iron",2,"rf",30,0.373122707837847,0.375,11.4153363704681,0
"Gambia","child_iron",2,"mean",30,-0.22877160793711,0.25,11.4153363704681,0
"Gambia","child_iron",2,"hapc",30,0.353098233356388,0.25,11.4153363704681,0
"Gambia","child_iron",3,"sl_discrete",30,0.160863278334385,0.125,12.9168100357056,0
"Gambia","child_iron",3,"sl_nnls",30,0.278785183614086,0.25,12.9168100357056,0
"Gambia","child_iron",3,"mlr3_discrete",30,NA,NA,12.9168100357056,0
"Gambia","child_iron",3,"domain_index",30,0.370007789585175,0.25,12.9168100357056,0
"Gambia","child_iron",3,"enet",30,-0.101902325694534,0.25,12.9168100357056,0
"Gambia","child_iron",3,"rf",30,0.160863278334385,0.125,12.9168100357056,0
"Gambia","child_iron",3,"mean",30,-0.607334149642566,0,12.9168100357056,0
"Gambia","child_iron",3,"hapc",30,0.0404939372847276,0,12.9168100357056,0
"Gambia","child_iron",4,"sl_discrete",30,0.18919055312732,0.125,11.125123500824,0
"Gambia","child_iron",4,"sl_nnls",30,0.360218046505351,0.25,11.125123500824,0
"Gambia","child_iron",4,"mlr3_discrete",30,NA,NA,11.125123500824,0
"Gambia","child_iron",4,"domain_index",30,0.410946715191713,0.375,11.125123500824,0
"Gambia","child_iron",4,"enet",30,-0.0864424369070516,0.125,11.125123500824,0
"Gambia","child_iron",4,"rf",30,0.313494272715281,0.125,11.125123500824,0
"Gambia","child_iron",4,"mean",30,-0.254644587406188,0.125,11.125123500824,0
"Gambia","child_iron",4,"hapc",30,0.264323063155255,0.125,11.125123500824,0
"Gambia","child_iron",5,"sl_discrete",30,0.311491825267135,0.25,11.4666433334351,0
"Gambia","child_iron",5,"sl_nnls",30,0.393369676480211,0.375,11.4666433334351,0
"Gambia","child_iron",5,"mlr3_discrete",30,NA,NA,11.4666433334351,0
"Gambia","child_iron",5,"domain_index",30,0.408721773582662,0.375,11.4666433334351,0
"Gambia","child_iron",5,"enet",30,0.101012349050914,0.25,11.4666433334351,0
"Gambia","child_iron",5,"rf",30,0.311491825267135,0.25,11.4666433334351,0
"Gambia","child_iron",5,"mean",30,-0.145705726483755,0.125,11.4666433334351,0
"Gambia","child_iron",5,"hapc",30,0.23094893901949,0.125,11.4666433334351,0
"Gambia","women_iron",1,"sl_discrete",30,0.59984425780014,0.375,11.7504892349243,0
"Gambia","women_iron",1,"sl_nnls",30,0.649905444003787,0.5,11.7504892349243,0
"Gambia","women_iron",1,"mlr3_discrete",30,NA,NA,11.7504892349243,0
"Gambia","women_iron",1,"domain_index",30,0.699966630207434,0.5,11.7504892349243,0
"Gambia","women_iron",1,"enet",30,0.567582604468901,0.375,11.7504892349243,0
"Gambia","women_iron",1,"rf",30,0.561130273802653,0.375,11.7504892349243,0
