"target","outcome","heldout","arm","n_train_countries","train_set","n_train_areas","n_areas","spearman","topk"
"level","child_vitA","Gambia","domain_index",1,"Ghana",75,30,0.65027808676307,0.375
"level","child_vitA","Gambia","domain_enet",1,"Ghana",75,30,0.530144605116796,0.625
"level","child_vitA","Gambia","domain_index",1,"Malawi",87,30,0.362402669632925,0.125
"level","child_vitA","Gambia","domain_enet",1,"Malawi",87,30,0.377530589543938,0.375
"level","child_vitA","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.605784204671858,0.5
"level","child_vitA","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.694771968854282,0.5
"level","child_vitA","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.639599555061179,0.5
"level","child_vitA","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.603114571746385,0.5
"level","child_vitA","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,0.345494994438265,0.125
"level","child_vitA","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,0.299221357063404,0.375
"level","child_vitA","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.626251390433815,0.5
"level","child_vitA","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.704560622914349,0.5
"level","child_vitA","Ghana","domain_index",1,"Gambia",30,75,0.352802275960171,0.578947368421053
"level","child_vitA","Ghana","domain_enet",1,"Gambia",30,75,0.341650071123755,0.631578947368421
"level","child_vitA","Ghana","domain_index",1,"Malawi",87,75,0.355504978662873,0.526315789473684
"level","child_vitA","Ghana","domain_enet",1,"Malawi",87,75,0.202418207681366,0.210526315789474
"level","child_vitA","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.365092460881934,0.578947368421053
"level","child_vitA","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.324096728307255,0.631578947368421
"level","child_vitA","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.337951635846373,0.578947368421053
"level","child_vitA","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.334992887624466,0.631578947368421
"level","child_vitA","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.306543385490754,0.421052631578947
"level","child_vitA","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.333399715504979,0.578947368421053
"level","child_vitA","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.367055476529161,0.578947368421053
"level","child_vitA","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.316586059743954,0.526315789473684
"level","child_vitA","Malawi","domain_index",1,"Gambia",30,87,0.190201939199533,0.318181818181818
"level","child_vitA","Malawi","domain_enet",1,"Gambia",30,87,0.256798133702705,0.409090909090909
"level","child_vitA","Malawi","domain_index",1,"Ghana",75,87,0.278668805132318,0.545454545454545
"level","child_vitA","Malawi","domain_enet",1,"Ghana",75,87,0.204363198950208,0.272727272727273
"level","child_vitA","Malawi","domain_index",2,"Gambia+Ghana",105,87,0.249198075380914,0.454545454545455
"level","child_vitA","Malawi","domain_enet",2,"Gambia+Ghana",105,87,0.180360137056208,0.5
"level","child_vitA","Malawi","domain_index",2,"Gambia+SierraLeone",44,87,0.21836042866516,0.272727272727273
"level","child_vitA","Malawi","domain_enet",2,"Gambia+SierraLeone",44,87,0.178355325508493,0.227272727272727
"level","child_vitA","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.252442224976307,0.5
"level","child_vitA","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.190858059342422,0.363636363636364
"level","child_vitA","Malawi","domain_index",3,"Gambia+Ghana+SierraLeone",119,87,0.268298461762776,0.454545454545455
"level","child_vitA","Malawi","domain_enet",3,"Gambia+Ghana+SierraLeone",119,87,0.182346723044397,0.409090909090909
"level","child_vitA","SierraLeone","domain_index",1,"Gambia",30,14,0.0197802197802198,0.5
"level","child_vitA","SierraLeone","domain_enet",1,"Gambia",30,14,0.402197802197802,0.75
"level","child_vitA","SierraLeone","domain_index",1,"Ghana",75,14,-0.0549450549450549,0.5
"level","child_vitA","SierraLeone","domain_enet",1,"Ghana",75,14,0.138461538461538,0.25
"level","child_vitA","SierraLeone","domain_index",1,"Malawi",87,14,0.292307692307692,0.25
"level","child_vitA","SierraLeone","domain_enet",1,"Malawi",87,14,0.142857142857143,0.25
"level","child_vitA","SierraLeone","domain_index",2,"Gambia+Ghana",105,14,-0.0857142857142857,0.5
"level","child_vitA","SierraLeone","domain_enet",2,"Gambia+Ghana",105,14,0.0417582417582418,0.25
"level","child_vitA","SierraLeone","domain_index",2,"Gambia+Malawi",117,14,0.195604395604396,0.5
"level","child_vitA","SierraLeone","domain_enet",2,"Gambia+Malawi",117,14,0.0637362637362637,0.5
"level","child_vitA","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,0.142857142857143,0.5
"level","child_vitA","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,-0.208791208791209,0.25
"level","child_vitA","SierraLeone","domain_index",3,"Gambia+Ghana+Malawi",192,14,0.0417582417582418,0.5
"level","child_vitA","SierraLeone","domain_enet",3,"Gambia+Ghana+Malawi",192,14,-0.138461538461538,0.25
"level","women_vitA","Gambia","domain_index",1,"Ghana",75,30,0.781979977753059,0.625
"level","women_vitA","Gambia","domain_enet",1,"Ghana",75,30,0.703225806451613,0.5
"level","women_vitA","Gambia","domain_index",1,"Malawi",87,30,0.710344827586207,0.625
"level","women_vitA","Gambia","domain_enet",1,"Malawi",87,30,0.716129032258065,0.5
"level","women_vitA","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.737486095661847,0.5
"level","women_vitA","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.723248053392659,0.5
"level","women_vitA","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.763737486095662,0.625
"level","women_vitA","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.78642936596218,0.625
"level","women_vitA","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,0.726362625139043,0.625
"level","women_vitA","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,0.692992213570634,0.5
"level","women_vitA","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.765962180200222,0.5
"level","women_vitA","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.624471635150167,0.5
"level","women_vitA","Ghana","domain_index",1,"Gambia",30,75,0.236813655761024,0.526315789473684
"level","women_vitA","Ghana","domain_enet",1,"Gambia",30,75,0.378833570412518,0.526315789473684
"level","women_vitA","Ghana","domain_index",1,"Malawi",87,75,0.497524893314367,0.473684210526316
"level","women_vitA","Ghana","domain_enet",1,"Malawi",87,75,0.270156472261735,0.526315789473684
"level","women_vitA","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.354082503556188,0.526315789473684
"level","women_vitA","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.313086770981508,0.473684210526316
"level","women_vitA","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.240910384068279,0.526315789473684
"level","women_vitA","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.317211948790896,0.526315789473684
"level","women_vitA","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.452802275960171,0.473684210526316
"level","women_vitA","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.378492176386913,0.526315789473684
