"column","policy","rule"
"gpw2010_share_under5","superseded","^gpw2010_"
"gpw2010_share_under15","superseded","^gpw2010_"
"gpw2010_share_female_1549","superseded","^gpw2010_"
"espen_sth_prev_mid_base","redundant","^espen_(sth|sch)_prev_mid_base$"
"espen_sch_prev_mid_base","redundant","^espen_(sth|sch)_prev_mid_base$"
"ihme_malaria_incidence_rate","redundant","^(map_sy_pf_incidence_rate|ihme_malaria_incidence_rate)$"
"map_sy_pf_incidence_rate","redundant","^(map_sy_pf_incidence_rate|ihme_malaria_incidence_rate)$"
"wpop_log_density","superseded","^wpop_log_density$"
"mics_heat_vhib_sy","redundant","^mics_heat_vhib_sy$"
"rtfp_dist_market_km","redundant","^rtfp_dist_market_km$"
"flunet_specimens_per_week_sy","national_track","^flunet_"
"flunet_share_positive_sy","national_track","^flunet_"
"flunet_influenza_a_share_sy","national_track","^flunet_"
