"estimand","scheme","arm","cells","exact_admin2","within1_admin2","exact_admin1","within1_admin1"
"country","bands_5_20_40","transport_anchored_climate_soil",14,0.533481116584565,0.921914144968332,0.638888888888889,0.962797619047619
"country","bands_5_20_40","transport_anchored_full",14,0.500687309406521,0.924323246539995,0.591600529100529,0.95651455026455
"country","who20","transport_anchored_climate_soil",14,0.76404410039878,1,0.779100529100529,1
"country","who20","transport_anchored_full",14,0.747677691766362,1,0.763888888888889,1
"country","who_vitA","transport_anchored_climate_soil",8,0.606617405582923,0.949396551724138,0.754918981481482,1
"country","who_vitA","transport_anchored_full",8,0.606855500821018,0.944634646962233,0.796585648148148,1
"infill","bands_5_20_40","domain_index",16,0.596350574712644,0.891293103448276,0.625,0.948302469135802
"infill","bands_5_20_40","region_mean_jk",16,0.618117816091954,0.920632183908046,0.761188271604938,0.988618827160494
"infill","bands_5_20_40","spatial",16,0.627198275862069,0.931896551724138,0.686728395061728,0.965856481481482
"infill","bands_5_20_40","spatial_plus_domain",16,0.622270114942529,0.935488505747126,0.692901234567901,0.975115740740741
"infill","who20","domain_index",16,0.824813218390805,1,0.854359567901235,1
"infill","who20","region_mean_jk",16,0.82125,1,0.89891975308642,1
"infill","who20","spatial",16,0.828060344827586,1,0.838927469135803,1
"infill","who20","spatial_plus_domain",16,0.830215517241379,1,0.845100308641975,1
"infill","who_vitA","domain_index",8,0.626609195402299,0.909396551724138,0.728780864197531,0.947916666666667
"infill","who_vitA","region_mean_jk",8,0.65933908045977,0.942729885057471,0.739197530864197,1
"infill","who_vitA","spatial",8,0.682212643678161,0.942729885057471,0.746141975308642,1
"infill","who_vitA","spatial_plus_domain",8,0.669712643678161,0.936896551724138,0.763503086419753,1
