"target","outcome","heldout","source","variant","n_cols","spearman"
"level","child_vitA","Gambia","ALL","full",322,0.626251390433815
"level","child_vitA","Ghana","ALL","full",322,0.367055476529161
"level","child_vitA","Malawi","ALL","full",322,0.268298461762776
"level","child_vitA","SierraLeone","ALL","full",322,0.0417582417582418
"level","child_vitA","Gambia","GEE","drop",242,0.640489432703003
"level","child_vitA","Gambia","GEE","only",80,0.595995550611791
"level","child_vitA","Ghana","GEE","drop",242,0.369473684210526
"level","child_vitA","Ghana","GEE","only",80,0.355391180654339
"level","child_vitA","Malawi","GEE","drop",242,0.238991762047095
"level","child_vitA","Malawi","GEE","only",80,0.268754100750893
"level","child_vitA","SierraLeone","GEE","drop",242,-0.107692307692308
"level","child_vitA","SierraLeone","GEE","only",80,0.428571428571429
"level","child_vitA","Gambia","AlphaEarth","drop",258,0.646273637374861
"level","child_vitA","Gambia","AlphaEarth","only",64,0.443381535038932
"level","child_vitA","Ghana","AlphaEarth","drop",258,0.37072546230441
"level","child_vitA","Ghana","AlphaEarth","only",64,0.316756756756757
"level","child_vitA","Malawi","AlphaEarth","drop",258,0.253353502952541
"level","child_vitA","Malawi","AlphaEarth","only",64,0.28900269738281
"level","child_vitA","SierraLeone","AlphaEarth","drop",258,-0.010989010989011
"level","child_vitA","SierraLeone","AlphaEarth","only",64,0.415384615384615
"level","child_vitA","Gambia","SoilGrids/iSDA","drop",277,0.583537263626251
"level","child_vitA","Gambia","SoilGrids/iSDA","only",45,0.728587319243604
"level","child_vitA","Ghana","SoilGrids/iSDA","drop",277,0.381593172119488
"level","child_vitA","Ghana","SoilGrids/iSDA","only",45,0.161251778093883
"level","child_vitA","Malawi","SoilGrids/iSDA","drop",277,0.295418094335496
"level","child_vitA","Malawi","SoilGrids/iSDA","only",45,0.048024349347525
"level","child_vitA","SierraLeone","SoilGrids/iSDA","drop",277,0.0461538461538462
"level","child_vitA","SierraLeone","SoilGrids/iSDA","only",45,0.296703296703297
"level","child_vitA","Gambia","MapSPAM","drop",310,0.605339265850946
"level","child_vitA","Gambia","MapSPAM","only",12,0.174638487208009
"level","child_vitA","Ghana","MapSPAM","drop",310,0.370753911806543
"level","child_vitA","Ghana","MapSPAM","only",12,0.300601154696005
"level","child_vitA","Malawi","MapSPAM","drop",310,0.258092148428957
"level","child_vitA","Malawi","MapSPAM","only",12,0.152727208384627
"level","child_vitA","SierraLeone","MapSPAM","drop",310,0.0461538461538462
