"fraction","arm","cells","mae","rho"
0.15,"alone_idx",24,10.27,0.24
0.15,"alone_sp",24,8.72,0.208
0.15,"aug_idx",18,15.55,0.085
0.15,"aug_sp",18,15.68,0.059
0.15,"survey",24,12.69,0.05
0.25,"alone_idx",24,10.27,0.24
0.25,"alone_sp",24,8.72,0.208
0.25,"aug_idx",18,14.18,0.094
0.25,"aug_sp",18,14.24,0.074
0.25,"survey",24,10.98,0.1
0.4,"alone_idx",24,10.27,0.24
0.4,"alone_sp",24,8.72,0.208
0.4,"aug_idx",18,13.26,0.096
0.4,"aug_sp",18,13.52,0.069
0.4,"survey",24,10.5,0.112
0.6,"alone_idx",24,10.27,0.24
0.6,"alone_sp",24,8.72,0.208
0.6,"aug_idx",18,12.64,0.109
0.6,"aug_sp",18,12.55,0.072
0.6,"survey",24,9.82,0.103
0.8,"alone_idx",24,10.27,0.24
0.8,"alone_sp",24,8.72,0.208
0.8,"aug_idx",18,12.35,0.13
0.8,"aug_sp",18,12.14,0.09
0.8,"survey",24,9.43,0.139
1,"alone_idx",24,10.27,0.24
1,"alone_sp",24,8.72,0.208
1,"aug_idx",18,12.15,0.151
1,"aug_sp",18,11.87,0.111
1,"survey",24,9.26,0.159
