"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"level","child_vitA","Gambia","full",1,"Ghana",0.65027808676307
"level","child_vitA","Gambia","climate_soil",1,"Ghana",0.749054505005562
"level","child_vitA","Gambia","full",1,"Malawi",0.362402669632925
"level","child_vitA","Gambia","climate_soil",1,"Malawi",0.239599555061179
"level","child_vitA","Gambia","full",2,"Ghana+Malawi",0.605784204671858
"level","child_vitA","Gambia","climate_soil",2,"Ghana+Malawi",0.754838709677419
"level","child_vitA","Gambia","full",2,"Ghana+SierraLeone",0.639599555061179
"level","child_vitA","Gambia","climate_soil",2,"Ghana+SierraLeone",0.741045606229144
"level","child_vitA","Gambia","full",2,"Malawi+SierraLeone",0.345494994438265
"level","child_vitA","Gambia","climate_soil",2,"Malawi+SierraLeone",0.513681868743048
"level","child_vitA","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.626251390433815
"level","child_vitA","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.78420467185762
"level","child_vitA","Ghana","full",1,"Gambia",0.352802275960171
"level","child_vitA","Ghana","climate_soil",1,"Gambia",0.333314366998577
"level","child_vitA","Ghana","full",1,"Malawi",0.355504978662873
"level","child_vitA","Ghana","climate_soil",1,"Malawi",0.194964438122333
"level","child_vitA","Ghana","full",2,"Gambia+Malawi",0.365092460881934
"level","child_vitA","Ghana","climate_soil",2,"Gambia+Malawi",0.306173541963016
"level","child_vitA","Ghana","full",2,"Gambia+SierraLeone",0.337951635846373
"level","child_vitA","Ghana","climate_soil",2,"Gambia+SierraLeone",0.326827880512091
"level","child_vitA","Ghana","full",2,"Malawi+SierraLeone",0.306543385490754
"level","child_vitA","Ghana","climate_soil",2,"Malawi+SierraLeone",0.229388335704125
"level","child_vitA","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.367055476529161
"level","child_vitA","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.290867709815078
"level","child_vitA","Malawi","full",1,"Gambia",0.190201939199533
"level","child_vitA","Malawi","climate_soil",1,"Gambia",0.19268061529489
"level","child_vitA","Malawi","full",1,"Ghana",0.278668805132318
"level","child_vitA","Malawi","climate_soil",1,"Ghana",0.194339141211635
"level","child_vitA","Malawi","full",2,"Gambia+Ghana",0.249198075380914
"level","child_vitA","Malawi","climate_soil",2,"Gambia+Ghana",0.218834293212802
"level","child_vitA","Malawi","full",2,"Gambia+SierraLeone",0.21836042866516
"level","child_vitA","Malawi","climate_soil",2,"Gambia+SierraLeone",0.22089378143909
"level","child_vitA","Malawi","full",2,"Ghana+SierraLeone",0.252442224976307
