"target","learner","representation","cells","n_pred","mean_spearman","median_spearman","positive","mean_topk"
"level","enet","raw",22,323,0.315,0.333,21,0.423
"level","enet","pc1",22,20,0.266,0.299,19,0.386
"level","enet","sup1",22,20,0.266,0.275,19,0.427
"level","enet","mean1",22,20,0.263,0.281,20,0.389
"level","enet","pc12",22,40,0.254,0.242,17,0.395
"level","enet","pcvar",22,86,0.252,0.299,18,0.394
"level","enet","pc123",22,58,0.24,0.251,18,0.412
"level","index","pcvar",22,86,0.308,0.289,18,0.447
"level","index","pc1",22,20,0.297,0.345,18,0.447
"level","index","pc12",22,40,0.291,0.309,18,0.458
"level","index","pc123",22,58,0.278,0.275,17,0.435
"level","index","sup1",22,20,0.278,0.284,17,0.437
"level","index","mean1",22,20,0.253,0.237,18,0.384
"prev","enet","sup1",22,20,0.203,0.173,18,0.36
"prev","enet","pc1",22,20,0.188,0.146,18,0.332
"prev","enet","mean1",22,20,0.158,0.156,18,0.318
"prev","enet","pcvar",22,86,0.154,0.139,15,0.311
"prev","enet","pc12",22,40,0.142,0.169,16,0.346
"prev","enet","raw",22,323,0.12,0.12,13,0.333
"prev","enet","pc123",22,58,0.058,0.078,12,0.255
"prev","index","pcvar",22,86,0.23,0.214,19,0.378
"prev","index","pc12",22,40,0.208,0.197,18,0.343
"prev","index","pc123",22,58,0.204,0.19,19,0.36
"prev","index","sup1",22,20,0.183,0.209,17,0.334
"prev","index","pc1",22,20,0.159,0.108,17,0.322
"prev","index","mean1",22,20,0.138,0.166,15,0.32
