"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","women_vitA","prev",3,"base",426,0,0.479651007319451
"Gambia","women_vitA","prev",3,"plus",439,13,0.493965445404816
"Gambia","women_vitA","prev",3,"addon_only",13,13,0.507810557651317
"Gambia","women_vitA","prev",4,"base",426,0,0.473080445575349
"Gambia","women_vitA","prev",4,"plus",439,13,0.478243029802858
"Gambia","women_vitA","prev",4,"addon_only",13,13,0.556855107812651
"Gambia","women_vitA","prev",5,"base",426,0,0.399396288873633
"Gambia","women_vitA","prev",5,"plus",439,13,0.397518985518175
"Gambia","women_vitA","prev",5,"addon_only",13,13,0.555681793215489
"Gambia","women_vitA","prev",6,"base",426,0,0.451256794068153
"Gambia","women_vitA","prev",6,"plus",439,13,0.467683198428408
"Gambia","women_vitA","prev",6,"addon_only",13,13,0.503821288020969
"Gambia","women_vitA","prev",7,"base",426,0,0.485282917385824
"Gambia","women_vitA","prev",7,"plus",439,13,0.486690894902418
"Gambia","women_vitA","prev",7,"addon_only",13,13,0.497954715035164
"Gambia","women_vitA","prev",8,"base",426,0,0.482936288191502
"Gambia","women_vitA","prev",8,"plus",439,13,0.514850445234284
"Gambia","women_vitA","prev",8,"addon_only",13,13,0.56319100663732
"Gambia","women_vitA","prev",9,"base",426,0,0.504759939698698
"Gambia","women_vitA","prev",9,"plus",439,13,0.498189377954596
"Gambia","women_vitA","prev",9,"addon_only",13,13,0.52189033281725
"Gambia","women_vitA","prev",10,"base",426,0,0.526818254125327
"Gambia","women_vitA","prev",10,"plus",439,13,0.53667409674148
"Gambia","women_vitA","prev",10,"addon_only",13,13,0.551692523585142
"Gambia","child_iron","level",1,"base",426,0,0.371301446051168
"Gambia","child_iron","level",1,"plus",439,13,0.366852057842047
"Gambia","child_iron","level",1,"addon_only",13,13,-0.109677419354839
"Gambia","child_iron","level",2,"base",426,0,0.454949944382647
"Gambia","child_iron","level",2,"plus",439,13,0.456729699666296
"Gambia","child_iron","level",2,"addon_only",13,13,0.200889877641824
"Gambia","child_iron","level",3,"base",426,0,0.382869855394883
"Gambia","child_iron","level",3,"plus",439,13,0.369521690767519
"Gambia","child_iron","level",3,"addon_only",13,13,-0.0238042269187987
"Gambia","child_iron","level",4,"base",426,0,0.466518353726363
"Gambia","child_iron","level",4,"plus",439,13,0.454060066740823
"Gambia","child_iron","level",4,"addon_only",13,13,0.0691879866518354
"Gambia","child_iron","level",5,"base",426,0,0.429143492769744
"Gambia","child_iron","level",5,"plus",439,13,0.43047830923248
"Gambia","child_iron","level",5,"addon_only",13,13,0.155506117908788
"Gambia","child_iron","level",6,"base",426,0,0.396662958843159
"Gambia","child_iron","level",6,"plus",439,13,0.393103448275862
"Gambia","child_iron","level",6,"addon_only",13,13,0.121245828698554
"Gambia","child_iron","level",7,"base",426,0,0.414015572858732
