indicator_id,level1,level2
AH_MIGR_M_MAR,Adult Health,Migration reason
AH_MIGR_M_NUM,Adult Health,Migration reason
AH_MIGR_M_OTH,Adult Health,Migration reason
AH_MIGR_M_TOT,Adult Health,Migration reason
AH_MIGR_M_UNW,Adult Health,Migration reason
AH_MIGR_W_DIS,Adult Health,Migration reason
AH_MIGR_W_EDU,Adult Health,Migration reason
AH_MIGR_W_EMP,Adult Health,Migration reason
AH_MIGR_W_FAM,Adult Health,Migration reason
AH_MIGR_W_MAR,Adult Health,Migration reason
AH_MIGR_W_NUM,Adult Health,Migration reason
AH_MIGR_W_OTH,Adult Health,Migration reason
AH_MIGR_W_TOT,Adult Health,Migration reason
AH_MIGR_W_UNW,Adult Health,Migration reason
AH_MIGT_M_NUM,Adult Health,Type of migration
AH_MIGT_M_RTR,Adult Health,Type of migration
AH_MIGT_M_RTU,Adult Health,Type of migration
AH_MIGT_M_TOT,Adult Health,Type of migration
AH_MIGT_M_UNW,Adult Health,Type of migration
AH_MIGT_M_UTR,Adult Health,Type of migration
AH_MIGT_M_UTU,Adult Health,Type of migration
AH_MIGT_W_NUM,Adult Health,Type of migration
AH_MIGT_W_RTR,Adult Health,Type of migration
AH_MIGT_W_RTU,Adult Health,Type of migration
AH_MIGT_W_TOT,Adult Health,Type of migration
AH_MIGT_W_UNW,Adult Health,Type of migration
AH_MIGT_W_UTR,Adult Health,Type of migration
AH_MIGT_W_UTU,Adult Health,Type of migration
AH_RMIG_M_MIG,Adult Health,Recent migration
AH_RMIG_M_NUM,Adult Health,Recent migration
AH_RMIG_M_UNW,Adult Health,Recent migration
AH_RMIG_W_MIG,Adult Health,Recent migration
AH_RMIG_W_NUM,Adult Health,Recent migration
AH_RMIG_W_UNW,Adult Health,Recent migration
AH_TOBA_M_ANY,Adult Health,Use of any tobacco
AH_TOBA_M_NUM,Adult Health,Use of any tobacco
AH_TOBA_M_UNW,Adult Health,Use of any tobacco
AH_TOBA_W_ANY,Adult Health,Use of any tobacco
AH_TOBA_W_NUM,Adult Health,Use of any tobacco
AH_TOBA_W_UNW,Adult Health,Use of any tobacco
AH_TOBC_M_ANY,Adult Health,Use of tobacco
AH_TOBC_M_CIG,Adult Health,Use of tobacco
AH_TOBC_M_DKM,Adult Health,Use of tobacco
AH_TOBC_M_DLY,Adult Health,Use of tobacco
AH_TOBC_M_NON,Adult Health,Use of tobacco
AH_TOBC_M_NUM,Adult Health,Use of tobacco
AH_TOBC_M_OCC,Adult Health,Use of tobacco
AH_TOBC_M_OTH,Adult Health,Use of tobacco
AH_TOBC_M_PIP,Adult Health,Use of tobacco
AH_TOBC_M_TOT,Adult Health,Use of tobacco
AH_TOBC_M_UNW,Adult Health,Use of tobacco
AH_TOBC_W_ANY,Adult Health,Use of tobacco
AH_TOBC_W_CIG,Adult Health,Use of tobacco
AH_TOBC_W_DLY,Adult Health,Use of tobacco
AH_TOBC_W_NON,Adult Health,Use of tobacco
AH_TOBC_W_NUM,Adult Health,Use of tobacco
AH_TOBC_W_OCC,Adult Health,Use of tobacco
AH_TOBC_W_OTH,Adult Health,Use of tobacco
AH_TOBC_W_PIP,Adult Health,Use of tobacco
AH_TOBC_W_UNW,Adult Health,Use of tobacco
AH_TOBU_M_ASM,Adult Health,Use of tobacco products
AH_TOBU_M_ATB,Adult Health,Use of tobacco products
AH_TOBU_M_BTQ,Adult Health,Use of tobacco products
AH_TOBU_M_CHW,Adult Health,Use of tobacco products
AH_TOBU_M_NUM,Adult Health,Use of tobacco products
AH_TOBU_M_OSM,Adult Health,Use of tobacco products
AH_TOBU_M_SNM,Adult Health,Use of tobacco products
AH_TOBU_M_SNN,Adult Health,Use of tobacco products
AH_TOBU_M_UNW,Adult Health,Use of tobacco products
AH_TOBU_W_ASM,Adult Health,Use of tobacco products
AH_TOBU_W_ATB,Adult Health,Use of tobacco products
AH_TOBU_W_BTQ,Adult Health,Use of tobacco products
AH_TOBU_W_CHW,Adult Health,Use of tobacco products
AH_TOBU_W_NUM,Adult Health,Use of tobacco products
AH_TOBU_W_OSM,Adult Health,Use of tobacco products
AH_TOBU_W_SNM,Adult Health,Use of tobacco products
AH_TOBU_W_SNN,Adult Health,Use of tobacco products
AH_TOBU_W_UNW,Adult Health,Use of tobacco products
AN_ANEM_M_ANY,Adult Nutrition,Prevalence of anemia
AN_ANEM_M_NUM,Adult Nutrition,Prevalence of anemia
AN_ANEM_M_UNW,Adult Nutrition,Prevalence of anemia
AN_ANEM_W_ANY,Adult Nutrition,Prevalence of anemia
AN_ANEM_W_MLD,Adult Nutrition,Prevalence of anemia
AN_ANEM_W_MOD,Adult Nutrition,Prevalence of anemia
AN_ANEM_W_NUM,Adult Nutrition,Prevalence of anemia
AN_ANEM_W_SEV,Adult Nutrition,Prevalence of anemia
AN_ANEM_W_UNW,Adult Nutrition,Prevalence of anemia
AN_MIAM_W_90P,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_DKM,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_DWM,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_IOD,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_L60,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_L89,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_NBA,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_NBR,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_NM1,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_NON,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_NUM,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_TOT,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_UN1,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_UNW,Adult Nutrition,Micronutrient intake among mothers
AN_MIAM_W_VAP,Adult Nutrition,Micronutrient intake among mothers
AN_NUTS_M_BMI,Adult Nutrition,Nutritional status
AN_NUTS_M_NM1,Adult Nutrition,Nutritional status
AN_NUTS_M_NRM,Adult Nutrition,Nutritional status
AN_NUTS_M_NUM,Adult Nutrition,Nutritional status
AN_NUTS_M_OBS,Adult Nutrition,Nutritional status
AN_NUTS_M_OVW,Adult Nutrition,Nutritional status
AN_NUTS_M_OWT,Adult Nutrition,Nutritional status
AN_NUTS_M_SHT,Adult Nutrition,Nutritional status
AN_NUTS_M_TH1,Adult Nutrition,Nutritional status
AN_NUTS_M_TH2,Adult Nutrition,Nutritional status
AN_NUTS_M_THN,Adult Nutrition,Nutritional status
AN_NUTS_M_UN1,Adult Nutrition,Nutritional status
AN_NUTS_M_UNW,Adult Nutrition,Nutritional status
AN_NUTS_W_BMI,Adult Nutrition,Nutritional status
AN_NUTS_W_NM1,Adult Nutrition,Nutritional status
AN_NUTS_W_NRM,Adult Nutrition,Nutritional status
AN_NUTS_W_NUM,Adult Nutrition,Nutritional status
AN_NUTS_W_OBS,Adult Nutrition,Nutritional status
AN_NUTS_W_OVW,Adult Nutrition,Nutritional status
AN_NUTS_W_OWT,Adult Nutrition,Nutritional status
AN_NUTS_W_SHT,Adult Nutrition,Nutritional status
AN_NUTS_W_TH1,Adult Nutrition,Nutritional status
AN_NUTS_W_TH2,Adult Nutrition,Nutritional status
AN_NUTS_W_THN,Adult Nutrition,Nutritional status
AN_NUTS_W_UN1,Adult Nutrition,Nutritional status
AN_NUTS_W_UNW,Adult Nutrition,Nutritional status
CH_ARIS_C_ABI,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_ADV,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_ARI,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_AT1,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_NM2,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_NUM,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_UN2,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARIS_C_UNW,Child Health,Prevalence and treatment of symptoms of ARI
CH_ARSA_C_GFP,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_GFW,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_GHC,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_GHS,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_GMB,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_GOT,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_IDS,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_MKT,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_NG1,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_NG2,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_NGH,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_NGO,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_NUM,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_ONG,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_OSR,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_OTH,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PDR,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PFW,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PHS,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PMB,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
