"code","item","group","dgl","vita"
101,"Long-grained rice (imported)","cereals",FALSE,FALSE
102,"Paddy rice long grain (local)","cereals",FALSE,FALSE
103,"Medium-grained rice (imported)","cereals",FALSE,FALSE
104,"Small grained rice (imported)","cereals",FALSE,FALSE
105,"Basmati Rice (imported)","cereals",FALSE,FALSE
106,"Uncle Ben's Rice (imported)","cereals",FALSE,FALSE
107,"Maize","cereals",FALSE,FALSE
108,"Millet","cereals",FALSE,FALSE
109,"Sorghum","cereals",FALSE,FALSE
110,"Findi","cereals",FALSE,FALSE
111,"Maize flour","cereals",FALSE,FALSE
112,"Millet flour","cereals",FALSE,FALSE
113,"Sorghum flour","cereals",FALSE,FALSE
114,"Wheat flour","cereals",FALSE,FALSE
115,"Gari (cassava flour)","roots",FALSE,FALSE
116,"Other grains and flour","cereals",FALSE,FALSE
117,"Bread","cereals",FALSE,FALSE
118,"Biscuit","cereals",FALSE,FALSE
119,"Cake (pan, etc.)","cereals",FALSE,FALSE
120,"Pasta and pasta products","cereals",FALSE,FALSE
121,"Meat pie/fish pie/sausage roll","cereals",FALSE,FALSE
122,"Other cereal and cereal products","cereals",FALSE,FALSE
123,"Chicken (local)","meat",FALSE,FALSE
124,"Chicken (imported)","meat",FALSE,FALSE
125,"Duck","meat",FALSE,FALSE
126,"Eggs","eggs",FALSE,FALSE
127,"Other poultry & products","meat",FALSE,FALSE
128,"Beef","meat",FALSE,FALSE
129,"Sheep (mutton)","meat",FALSE,FALSE
130,"Goat meat","meat",FALSE,FALSE
131,"Pork","meat",FALSE,FALSE
132,"Canned meat","meat",FALSE,FALSE
133,"Other meat (excl. poultry)","meat",FALSE,FALSE
134,"Fresh Bonga","fish",FALSE,FALSE
135,"Smoked Bonga","fish",FALSE,FALSE
136,"Cat Fish","fish",FALSE,FALSE
137,"Fresh Grouper/Ladyfish","fish",FALSE,FALSE
138,"Fresh Barracuda","fish",FALSE,FALSE
139,"Dried Couta/Tenny","fish",FALSE,FALSE
140,"Oyster","fish",FALSE,FALSE
141,"Dried fish","fish",FALSE,FALSE
142,"Smoked fish","fish",FALSE,FALSE
143,"Frozen fish","fish",FALSE,FALSE
144,"Shrimps","fish",FALSE,FALSE
145,"Snail fish","fish",FALSE,FALSE
146,"Saul fish","fish",FALSE,FALSE
147,"Tilapia","fish",FALSE,FALSE
148,"Crab","fish",FALSE,FALSE
