"item","codes","note"
"water_improved","11,12,13,14,21,31,41,51,61,71,72,91,92","JMP improved incl. delivered (tanker, cart, kiosk) and packaged water"
"water_piped","11,12,13,14","piped into dwelling/yard/neighbour/public tap"
"sanitation_improved","11,12,13,15,18,21,22,24,31","JMP improved; Ghana 14 (open drain) and Malawi 14 (elsewhere) unimproved"
"open_defecation","95","no facility / bush / field"
"salt_tested","SA1/SI1 in 1,2,3","tested households only"
"salt_15ppm","SA1/SI1 == 3","at least 15 ppm"
"literate","WB14/WB7 == 3 of 1,2,3","reads the whole sentence"
"iycf_groups","grains BD8B|BD8C|BD8E; legumes BD8M; dairy BD7D|BD7E|BD8A|BD8N; flesh BD8I|BD8J|BD8L; eggs BD8K; vitA BD8D|BD8F|BD8G; other BD8H; breastmilk BD3","WHO 2021 MDD: >= 5 of 8 groups, children 6-23 months"
