"district","target","Admin2","jw","Admin1","n_hh"
"Banjul city council","Banjul city council","Banjul",0.129,"Banjul",357
"Bakau","Kanifing","Kanifing",0,"Banjul",40
"New Jeshwang","Kanifing","Kanifing",0,"Banjul",40
"Sere Kunda Central","Kanifing","Kanifing",0,"Banjul",100
"Sere Kunda East","Kanifing","Kanifing",0,"Banjul",120
"Sere Kunda West","Kanifing","Kanifing",0,"Banjul",120
"Jarra Central","Jarra Central","Jarra Central",0,"Lower River",280
"Jarra East","Jarra East","Jarra East",0,"Lower River",320
"Jarra West","Jarra West","Jarra West",0,"Lower River",340
"Kiang Central","Kiang Central","Kiang Central",0,"Lower River",280
"Kiang East","Kiang East","Kiang East",0,"Lower River",259
"Kiang West","Kiang West","Kiang West",0,"Lower River",319
"Lower Fuladu West","Fulladu West","Fulladu West",0,"Maccarthy Island",333
"Upper Fuladu West","Fulladu West","Fulladu West",0,"Maccarthy Island",360
"Janjanbureh","Janjanbureh","Janjanbureh",0,"Maccarthy Island",140
"Lower Saloum","Lower Saloum","Lower Saloum",0,"Maccarthy Island",320
"Niamina Dankunku","Niamina Dankunku","Niamina Dankunku",0,"Maccarthy Island",240
"Niamina East","Niamina East","Niamina East",0,"Maccarthy Island",340
"Niamina West","Niamina West","Niamina West",0,"Maccarthy Island",260
"Niani","Niani","Niani",0,"Maccarthy Island",337
"Nianija","Nianija","Nianija",0,"Maccarthy Island",280
"Sami","Sami","Sami",0,"Maccarthy Island",320
"Upper Saloum","Upper Saloum","Upper Saloum",0,"Maccarthy Island",319
"Central Badibu","Central Badibu","Central Baddibu",0.014,"North Bank",320
"Jokadu","Jokadu","Jokadu",0,"North Bank",319
"Lower Badibu","Lower Badibu","Lower Baddibu",0.017,"North Bank",320
"Lower Niumi","Lower Niumi","Lower Nuimi",0.02,"North Bank",360
"Illiasa","Upper Baddibu","Upper Baddibu",0,"North Bank",359
"Sabach Sanjar","Upper Baddibu","Upper Baddibu",0,"North Bank",319
"Upper Niumi","Upper Niumi","Upper Nuimi",0.02,"North Bank",320
"Jimara","Fulladu East","Fulladu East",0,"Upper River",340
"Basse","Fulladu East","Fulladu East",0,"Upper River",360
"Tumana","Fulladu East","Fulladu East",0,"Upper River",320
"Kantora","Kantora","Kantora",0,"Upper River",320
"Sandu","Sandu","Sandu",0,"Upper River",267
"Wuli West","Wuli","Wuli",0,"Upper River",298
"Wuli East","Wuli","Wuli",0,"Upper River",296
"Foni Bintang Karanai","Foni Bintang Karanai","Foni Bintang Karanai",0,"Western",320
"Foni Bondali","Foni Bondali","Foni Bondali",0,"Western",259
"Foni Brefet","Foni Brefet","Foni Brefet",0,"Western",300
"Foni Jarrol","Foni Jarrol","Foni Jarrol",0,"Western",240
"Foni Kansala","Foni Kansala","Foni Kansala",0,"Western",300
"Kombo Central","Kombo Central","Kombo Central",0,"Western",380
"Kombo East","Kombo East","Kombo East",0,"Western",360
"Kombo North","Kombo Saint Mary","Kombo Saint Mary",0,"Western",400
"Kombo South","Kombo South","Kombo South",0,"Western",380
