prefix,level1,level2
CN_FDNB,Child Nutrition,Foods and liquids consumed by non-breastfeeding children
CN_GWMT,Child Nutrition,Child growth monitoring
CN_IFPS,Child Nutrition,Infant feeding practices by age
CN_IODZ,Child Nutrition,Presence of iodized salt in household
CN_IYCB,Child Nutrition,Infant and young child breastfeeding
CN_IYCC,Child Nutrition,Infant and young child feeding counseling
CN_IYCF,Child Nutrition,Infant and young child feeding practices
CN_LQBF,Child Nutrition,Liquids consumed by breastfeeding children
CN_LQNB,Child Nutrition,Liquids consumed by non-breastfeeding children
CN_MIAC,Child Nutrition,Micronutrient intake among children
CN_NUTS,Child Nutrition,Nutritional status of children
CN_THSF,Child Nutrition,Therapeutic and supplemental foods
CO_INUS,Communication,Internet usage
CO_MOBB,Communication,Mobile phone and banking
CP_BREG,Child Protection,Birth registration
CP_CDIS,Child Protection,Child discipline
CP_CLAB,Child Protection,Child labor of children age 5-14
CP_CLBC,Child Protection,Child labor of children age 5-11
CP_CLBS,Child Protection,Child labor and school attendance
CP_CLBY,Child Protection,Child labor of children age 12-14
DV_AFSV,Domestic Violence,Age at first experience of sexual violence
DV_ESVO,Domestic Violence,Experience of sexual violence by any non-intimate partner
DV_EXPV,Domestic Violence,Experience of physical violence
DV_EXSV,Domestic Violence,Experience of sexual violence
DV_FMVL,Domestic Violence,Experience of different forms of violence
DV_FSVL,Domestic Violence,Forms of spousal violence
DV_INJR,Domestic Violence,Injuries to women due to spousal violence
DV_MCTL,Domestic Violence,Marital control exercised by husbands
DV_PCPV,Domestic Violence,First person committing sexual violence
DV_PCSV,Domestic Violence,Persons committing sexual violence
DV_PPSV,Domestic Violence,Persons committing sexual violence
DV_SPV1,Domestic Violence,Spousal violence in last 12 months
DV_SPVL,Domestic Violence,Spousal violence
DV_SPVM,Domestic Violence,Spousal violence by marriage duration
DV_STPS,Domestic Violence,Sources for help to stop the violence
DV_STPV,Domestic Violence,Help seeking to stop violence
DV_VIOW,Domestic Violence,Violence by women against their spouse
DV_VPRG,Domestic Violence,Experience of violence during pregnancy
ED_EDAT,Education,Educational attainment of the household population
ED_EDUC,Education,Highest level of schooling
ED_EEDP,Education,Early childhood education participation
ED_GARP,Education,Gross attendance ratio - primary
ED_GARS,Education,Gross attendance ratio - secondary
ED_LITR,Education,Literacy
ED_LITY,Education,Literacy - Youth
ED_MDIA,Education,Exposure to mass media
ED_NARP,Education,Net attendance ratio - primary
ED_NARS,Education,Net attendance ratio - secondary
ED_SCHA,Education,School attendance by survivorship of parents
EM_EMPL,Employment,Employment status
EM_EMPM,Employment,Employment of married persons
EM_EMPT,Employment,Type of employment
EM_ERNM,Employment,Earnings of married persons
EM_MERN,Employment,Control over husband's cash earnings
EM_OCCP,Employment,Occupation
EM_RERN,Employment,Relative magnitude of women's cash earnings
EM_WERN,Employment,Control over women's cash earnings
FE_AAFB,Fertility,Median age at first birth
FE_ABRT,Fertility,Induced abortion rates
FE_BBAG,Fertility,First birth by exact age
FE_BBAY,Fertility,First birth by exact age (women age 20-24)
FE_BINT,Fertility,Birth intervals
FE_BORD,Fertility,Birth order
FE_CEBA,Fertility,Children ever born to all women
FE_CEBM,Fertility,Children ever born to currently married women
FE_FRTR,Fertility,Fertility rates
FE_FRTT,Fertility,Fertility trends
FE_FRTY,Fertility,Fertility
FE_MENA,Fertility,First menstruation
FE_MENO,Fertility,Menopause
FE_PPID,Fertility,Postpartum insusceptibility duration
FE_PPIS,Fertility,Postpartum insusceptibility
FE_PRGO,Fertility,Pregnancy outcome
FE_TNBH,Fertility,Teen sexual health behaviors before age 15
FE_TNPG,Fertility,Teenage pregnancy
FG_ACCG,Female Genital Cutting,Age at circumcision of girls 0-14
FG_AFCC,Female Genital Cutting,Age at circumcision
FG_INFB,Female Genital Cutting,Infibulation among circumcised girls
FG_KFCC,Female Genital Cutting,Knowledge of female circumcision
FG_OFCC,Female Genital Cutting,Opinions about whether the practice of circumcision should continue
FG_OFCR,Female Genital Cutting,Opinions about whether circumcision is required by religion
FG_PFCC,Female Genital Cutting,Prevalence of female circumcision
FG_PFCG,Female Genital Cutting,Prevalence of circumcision of girls
FG_PFCT,Female Genital Cutting,Type of female circumcision
FG_PPCG,Female Genital Cutting,Person who performed the circumcision of girls
FG_PPCW,Female Genital Cutting,Person who performed the circumcision of women
FI_CSFI,Fistula,Fistula treatment
FI_DAFI,Fistula,Days after reported fistula cause that symptoms began
