"country","iso3","Admin1","Admin2","gid_1","gid_2","hasc_2","engtype_2","varname_2","pcode"
"Gambia","GMB","Banjul","Banjul","GMB.1_1","GMB.1.1_1","GM.BJ.BJ","District",NA,"GM0102"
"Gambia","GMB","Banjul","Kanifing","GMB.1_1","GMB.1.2_1","GM.BJ.KF","District","Kanifing|K.M.C.|K.U.D.C.","GM0503"
"Gambia","GMB","Lower River","Jarra Central","GMB.2_1","GMB.2.1_1","GM.LR.JC","District",NA,"GM0801"
"Gambia","GMB","Lower River","Jarra East","GMB.2_1","GMB.2.2_1","GM.LR.JE","District",NA,"GM0802"
"Gambia","GMB","Lower River","Jarra West","GMB.2_1","GMB.2.3_1","GM.LR.JW","District",NA,"GM0803"
"Gambia","GMB","Lower River","Kiang Central","GMB.2_1","GMB.2.4_1","GM.LR.KI","District",NA,"GM0804"
"Gambia","GMB","Lower River","Kiang East","GMB.2_1","GMB.2.5_1","GM.LR.KG","District",NA,"GM0805"
"Gambia","GMB","Lower River","Kiang West","GMB.2_1","GMB.2.6_1","GM.LR.KW","District",NA,"GM0806"
"Gambia","GMB","Maccarthy Island","Fulladu West","GMB.3_1","GMB.3.1_1","GM.MC.FW","District",NA,"GM0406"
"Gambia","GMB","Maccarthy Island","Janjanbureh","GMB.3_1","GMB.3.2_1","GM.MC.JJ","District","Janjanbureh|Georgetown|Janjangbu","GM0402"
"Gambia","GMB","Maccarthy Island","Lower Saloum","GMB.3_1","GMB.3.3_1","GM.MC.LS","District",NA,"GM0701"
"Gambia","GMB","Maccarthy Island","Niamina Dankunku","GMB.3_1","GMB.3.4_1","GM.MC.ND","District",NA,"GM0403"
"Gambia","GMB","Maccarthy Island","Niamina East","GMB.3_1","GMB.3.5_1","GM.MC.NE","District",NA,"GM0404"
"Gambia","GMB","Maccarthy Island","Niamina West","GMB.3_1","GMB.3.6_1","GM.MC.NW","District",NA,"GM0405"
"Gambia","GMB","Maccarthy Island","Niani","GMB.3_1","GMB.3.7_1","GM.MC.NI","District",NA,"GM0702"
"Gambia","GMB","Maccarthy Island","Nianija","GMB.3_1","GMB.3.8_1","GM.MC.NJ","District",NA,"GM0703"
"Gambia","GMB","Maccarthy Island","Sami","GMB.3_1","GMB.3.9_1","GM.MC.SM","District",NA,"GM0704"
"Gambia","GMB","Maccarthy Island","Upper Saloum","GMB.3_1","GMB.3.10_1","GM.MC.US","District",NA,"GM0705"
"Gambia","GMB","North Bank","Central Baddibu","GMB.4_1","GMB.4.1_1","GM.NB.CB","District",NA,"GM0601"
"Gambia","GMB","North Bank","Jokadu","GMB.4_1","GMB.4.2_1","GM.NB.JO","District",NA,"GM0602"
"Gambia","GMB","North Bank","Lower Baddibu","GMB.4_1","GMB.4.3_1","GM.NB.LB","District",NA,"GM0603"
"Gambia","GMB","North Bank","Lower Nuimi","GMB.4_1","GMB.4.4_1","GM.NB.LN","District",NA,"GM0604"
"Gambia","GMB","North Bank","Upper Baddibu","GMB.4_1","GMB.4.5_1","GM.NB.UB","District",NA,"GM0607"
"Gambia","GMB","North Bank","Upper Nuimi","GMB.4_1","GMB.4.6_1","GM.NB.UN","District",NA,"GM0606"
"Gambia","GMB","Upper River","Fulladu East","GMB.5_1","GMB.5.1_1","GM.UR.FE","District",NA,"GM0204"
"Gambia","GMB","Upper River","Kantora","GMB.5_1","GMB.5.2_1","GM.UR.KT","District",NA,"GM0202"
"Gambia","GMB","Upper River","Sandu","GMB.5_1","GMB.5.3_1","GM.UR.SN","District",NA,"GM0203"
"Gambia","GMB","Upper River","Wuli","GMB.5_1","GMB.5.4_1","GM.UR.WU","District",NA,"GM0207"
"Gambia","GMB","Western","Foni Bintang Karanai","GMB.6_1","GMB.6.1_1","GM.WE.FO","District",NA,"GM0301"
"Gambia","GMB","Western","Foni Bondali","GMB.6_1","GMB.6.2_1","GM.WE.FB","District",NA,"GM0302"
"Gambia","GMB","Western","Foni Brefet","GMB.6_1","GMB.6.3_1","GM.WE.FF","District",NA,"GM0303"
"Gambia","GMB","Western","Foni Jarrol","GMB.6_1","GMB.6.4_1","GM.WE.FJ","District",NA,"GM0304"
"Gambia","GMB","Western","Foni Kansala","GMB.6_1","GMB.6.5_1","GM.WE.FK","District",NA,"GM0305"
"Gambia","GMB","Western","Kombo Central","GMB.6_1","GMB.6.6_1","GM.WE.KC","District",NA,"GM0306"
"Gambia","GMB","Western","Kombo East","GMB.6_1","GMB.6.7_1","GM.WE.KE","District",NA,"GM0307"
"Gambia","GMB","Western","Kombo Saint Mary","GMB.6_1","GMB.6.8_1","GM.WE.KN","District","Saint Mary|St Mary|Kombo|Kombo N","GM0308"
"Gambia","GMB","Western","Kombo South","GMB.6_1","GMB.6.9_1","GM.WE.KS","District",NA,"GM0309"
"Ghana","GHA","Ahafo","Asunafo North","GHA1_2","GHA1.1_2",NA,"Municipality",NA,"GH0101"
"Ghana","GHA","Ahafo","Asunafo South","GHA1_2","GHA1.2_2",NA,"District",NA,"GH0102"
"Ghana","GHA","Ahafo","Asutifi North","GHA1_2","GHA1.3_2",NA,"District",NA,"GH0103"
"Ghana","GHA","Ahafo","Asutifi South","GHA1_2","GHA1.4_2",NA,"District",NA,"GH0104"
"Ghana","GHA","Ahafo","Tano North","GHA1_2","GHA1.5_2",NA,"Municipality",NA,"GH0105"
"Ghana","GHA","Ahafo","Tano South","GHA1_2","GHA1.6_2",NA,"Municipality",NA,"GH0106"
"Ghana","GHA","Ashanti","Adansi Akrofuom","GHA2_2","GHA2.1_2",NA,"District",NA,"GH0201"
"Ghana","GHA","Ashanti","Adansi Asokwa","GHA2_2","GHA2.2_2",NA,"District",NA,"GH0202"
"Ghana","GHA","Ashanti","Adansi North","GHA2_2","GHA2.3_2",NA,"District",NA,"GH0203"
"Ghana","GHA","Ashanti","Adansi South","GHA2_2","GHA2.4_2",NA,"District",NA,"GH0204"
"Ghana","GHA","Ashanti","Afigya-Kwabre North","GHA2_2","GHA2.5_2",NA,"District",NA,"GH0205"
"Ghana","GHA","Ashanti","Afigya-Kwabre South","GHA2_2","GHA2.6_2",NA,"District",NA,"GH0206"
"Ghana","GHA","Ashanti","Ahafo-Ano North","GHA2_2","GHA2.7_2",NA,"Municipality",NA,"GH0207"
"Ghana","GHA","Ashanti","Ahafo-Ano South East","GHA2_2","GHA2.8_2",NA,"District",NA,"GH0208"
"Ghana","GHA","Ashanti","Ahafo-Ano South West","GHA2_2","GHA2.9_2",NA,"District",NA,"GH0209"
"Ghana","GHA","Ashanti","Amansie Central","GHA2_2","GHA2.10_2",NA,"District",NA,"GH0210"
"Ghana","GHA","Ashanti","Amansie South","GHA2_2","GHA2.11_2",NA,"District",NA,"GH0211"
"Ghana","GHA","Ashanti","Amansie West","GHA2_2","GHA2.12_2",NA,"District",NA,"GH0212"
"Ghana","GHA","Ashanti","Asante-Akim Central","GHA2_2","GHA2.13_2",NA,"Municipality",NA,"GH0213"
"Ghana","GHA","Ashanti","Asante-Akim North","GHA2_2","GHA2.14_2",NA,"District",NA,"GH0214"
"Ghana","GHA","Ashanti","Asante-Akim South","GHA2_2","GHA2.15_2",NA,"District",NA,"GH0215"
"Ghana","GHA","Ashanti","Asokore-Mampong","GHA2_2","GHA2.16_2",NA,"Municipality",NA,"GH0216"
"Ghana","GHA","Ashanti","Asokwa","GHA2_2","GHA2.17_2",NA,"Municipality",NA,"GH0217"
"Ghana","GHA","Ashanti","Atwima-Kwanwoma","GHA2_2","GHA2.18_2",NA,"District",NA,"GH0218"
"Ghana","GHA","Ashanti","Atwima-Mponua","GHA2_2","GHA2.19_2",NA,"District",NA,"GH0219"
"Ghana","GHA","Ashanti","Atwima-Nwabiagya North","GHA2_2","GHA2.20_2",NA,"District",NA,"GH0220"
"Ghana","GHA","Ashanti","Atwima-Nwabiagya South","GHA2_2","GHA2.21_2",NA,"Municipality",NA,"GH0221"
