"mkt_name","adm1_name","adm2_name","lat","lon","n_months","fpi_cur","fpi_prev","fpi_volatility","fpi_seasonal_range","stp_cur","stp_prev","coverage","interpolated","fpi_rel_national","fpi_inflation_12m","staple_rel_national","staple_inflation_12m","country"
"Kameme","Northern Region","Chitipa",-9.57,33.09,12,-0.489616585253179,-0.690899306325889,0.077392909366821,0.472604410945793,4.27729701337702,3.91457923650684,41.79,0,-0.214904187442953,0.20128272107271,-0.577970173687517,0.362717776870177,"Malawi"
"Kamsonga","Central Region","Ntchisi",-13.28,33.8,12,-0.47501803875244,-0.858493835464562,0.0577036843897609,0.450201001949556,4.8039913614564,4.32738437202241,41.79,0,-0.200305640942214,0.383475796712122,-0.0512758256081369,0.476606989433987,"Malawi"
"Kamuzu Road","Central Region","Salima",-13.77,34.44,12,-0.222185632801641,-0.5063253870103,0.0614827835591242,0.146603474191875,4.59011153971011,4.28077285659725,41.79,0,0.0525267650085844,0.284139754208659,-0.265155647354422,0.309338683112865,"Malawi"
"Kamwendo","Central Region","Lilongwe",-13.82,34.02,12,-0.224820117428661,-0.484037733957275,0.0718046001634398,0.453321129285799,4.89151727267095,4.4858937015681,41.79,0,0.0498922803815646,0.259217616528614,0.0362500856064134,0.405623571102849,"Malawi"
"Karonga Boma","Northern Region","Karonga",-9.93,33.93,12,-0.353873245713037,-0.54945288478977,0.0642938746772203,0.635988766719997,5.03945357014851,4.57882199567415,41.79,0,-0.0791608479028109,0.195579639076734,0.18418638308398,0.460631574474362,"Malawi"
"Kasiya","Central Region","Kasungu",-12.8,33.72,12,-0.294820652520446,-0.442639348507679,0.0792265424150627,0.2578291093021,4.62653474388854,4.3448422260036,41.79,0,-0.0201082547102199,0.147818695987234,-0.228732443175995,0.281692517884942,"Malawi"
"Kasungu Boma","Central Region","Kasungu",-13.03,33.48,12,-0.170990978962725,-0.458120296542302,0.0794408166618851,0.287682072451781,4.89941614984322,4.28961502347846,41.79,0,0.103721418847501,0.287129317579577,0.0441489627786842,0.609801126364755,"Malawi"
"Khuwi","Central Region","Ntchisi",-13.43,33.83,12,-0.27159888747606,-0.543730404554377,0.0610994563042868,0.44507424620321,4.90452086256262,4.29543047600536,41.79,0,0.00311351033416529,0.272131517078317,0.0492536754980843,0.609090386557255,"Malawi"
"Lilongwe","Central Region","Lilongwe City",-13.98,33.78,12,-0.18427544716565,-0.400360606161059,0.0530414907196287,0.188794071299572,5.01389798700781,4.57113051742275,41.79,0,0.090436950644576,0.216085158995409,0.158630799943273,0.442767469585057,"Malawi"
"Limbe","Southern Region","Blantyre City",-15.82,35.05,12,-0.236208716273042,-0.410429833493184,0.0801631271424659,0.376477571234912,4.93199426971543,4.48398310745589,41.79,0,0.038503681537184,0.174221117220142,0.0767270826508923,0.448011162259537,"Malawi"
"Limbuli","Southern Region","Mulanje",-16.07,35.71,12,-0.287310445253433,-0.505432896007052,0.0556130291279141,0.379489621704904,4.94403082280533,4.36264396168895,41.79,0,-0.0125980474432076,0.218122450753619,0.0887636357407997,0.581386861116379,"Malawi"
"Lirangwe","Southern Region","Blantyre",-15.53,35.02,12,-0.230973483789032,-0.394865560742497,0.080427124338041,0.419853845560264,4.64979298900988,4.29079502575876,41.79,0,0.0437389140211936,0.163892076953465,-0.205474198054652,0.35899796325112,"Malawi"
"Liwonde","Southern Region","Machinga",-15.07,35.23,12,-0.189248877915454,-0.35765817776145,0.0807204512626515,0.301668314426521,5.06890021683798,4.62171696647082,41.79,0,0.0854635198947714,0.168409299845995,0.213633029773448,0.447183250367162,"Malawi"
"Lizulu","Central Region","Ntcheu",-14.52,34.47,12,-0.478213081070458,-0.65572532876749,0.0890804979552916,0.411507422564127,4.86700485601574,4.3146890918677,41.79,0,-0.203500683260232,0.177512247697032,0.0117376689512056,0.552315764148037,"Malawi"
"Luchenza","Southern Region","Thyolo",-16.01,35.31,12,-0.294626198272129,-0.519116745442055,0.0572924935109804,0.302949544582569,5.03172647303418,4.45802515903094,41.79,0,-0.0199138004619037,0.224490547169925,0.176459285969641,0.573701314003231,"Malawi"
"Luncheza","Southern Region","Thyolo",-16.02,35.31,12,-0.297077614199874,-0.517828963454633,0.0547859084631412,0.349184272209575,4.60854901726312,4.3271139417626,41.79,0,-0.0223652163896481,0.220751349254759,-0.246718169801411,0.281435075500521,"Malawi"
"Lunzu","Southern Region","Blantyre",-15.65,35.02,12,-0.201364824771492,-0.4813668885943,0.0762362489814547,0.342490308946776,5.02682502688998,4.4148532702029,41.79,0,0.0733475730387339,0.280002063822808,0.171557839825444,0.611971756687079,"Malawi"
"Madisi","Central Region","Dowa",-13.42,33.6,12,-0.209624744565605,-0.414873723626865,0.0691271655262367,0.362292936242956,4.83981126669416,4.28027181945998,41.79,0,0.0650876532446212,0.20524897906126,-0.0154559203703721,0.55953944723418,"Malawi"
"Makanjila","Southern Region","Mangochi",-13.71,35.05,12,-0.26901273427734,-0.469472539450938,0.0458866534113347,0.319770387003281,4.84486666830821,4.41793218071205,41.79,0,0.00569966353288559,0.200459805173597,-0.0104005187563265,0.426934487596155,"Malawi"
"Makanjira","Southern Region","Mangochi",-13.71,35.04,12,-0.249915136917072,-0.474410099901051,0.0553904368693106,0.44802472252696,4.89890728900499,4.421138710544,41.79,0,0.0247972608931533,0.224494962983979,0.0436401019404595,0.477768578460997,"Malawi"
"Makhanga","Southern Region","Nsanje",-16.52,35.16,12,-0.221268953069487,-0.390785755665881,0.0526887683820688,0.496436886313891,4.96461563750012,4.58929510631336,41.79,0,0.0534434447407392,0.169516802596395,0.109348450435591,0.375320531186767,"Malawi"
"Malomo","Central Region","Ntchisi",-13.15,33.83,12,-0.381430714128331,-0.588683306900541,0.0637690307058648,0.331777392317005,4.8008044057902,4.37703412686025,41.79,0,-0.106718316318105,0.20725259277221,-0.0544627812743359,0.423770278929944,"Malawi"
"Mangamba","Southern Region","Machinga",-14.79,35.44,12,-0.252519402364416,-0.537803118775776,0.0906424767021478,0.254529865134881,5.15629185739044,4.47420337179966,41.79,0,0.0221929954458094,0.285283716411359,0.301024670325909,0.682088485590783,"Malawi"
"Mangochi Boma","Southern Region","Mangochi",-14.48,35.26,12,-0.251744771822277,-0.379969747914347,0.0733849904312277,0.381014012244,5.03945383231678,4.50090819197235,41.79,0,0.0229676259879487,0.12822497609207,0.184186645252241,0.53854564034443,"Malawi"
"Mangochi Turn Off","Southern Region","Machinga",-15.04,35.19,12,-0.226439195119352,-0.490131214240651,0.0458224859027021,0.322287601629257,4.37960187061524,3.96334722443351,41.79,0,0.0482732026908742,0.263692019121299,-0.475665316449295,0.41625464618173,"Malawi"
"Manyamula","Northern Region","Mzimba",-11.94,33.45,12,-0.265889847818605,-0.626803775011935,0.0602058924371706,0.379489621704904,4.40630600393135,4.19656631089874,41.79,0,0.00882254999162052,0.36091392719333,-0.448961183133186,0.209739693032605,"Malawi"
"Marka","Southern Region","Nsanje",-17.12,35.23,12,-0.269064553656643,-0.439408139923355,0.0887536899102583,0.291351801340743,4.77999284016752,4.26959656190297,41.79,0,0.00564784415358288,0.170343586266713,-0.0752743468970145,0.510396278264548,"Malawi"
"Mayaka","Southern Region","Zomba",-15.58,35.37,12,-0.396637380709546,-0.611351963448794,0.0843971695423388,0.243622082657751,4.97455355730234,4.2978763300575,41.79,0,-0.12192498289932,0.214714582739248,0.119286370237805,0.67667722724484,"Malawi"
"Mbela","Southern Region","Balaka",-14.91,35.06,12,-0.188571471720352,-0.486849520589554,0.0841109046585379,0.346624608085231,4.50337185476772,4.19976526622645,41.79,0,0.0861409260898734,0.298278048869202,-0.35189533229681,0.303606588541272,"Malawi"
"Mbonechela","Southern Region","Machinga",-14.89,35.48,12,-0.204344317398442,-0.453474278086503,0.0642348320387924,0.340604473906123,4.90812024618255,4.39221205930172,41.79,0,0.0703680804117841,0.249129960688061,0.0528530591180205,0.515908186880833,"Malawi"
"Mchinji Boma","Central Region","Mchinji",-13.8,32.9,12,-0.24165700730037,-0.430055867242476,0.064644349175968,0.234193387500795,4.86581894605651,4.47407557463289,41.79,0,0.0330553905098553,0.188398859942106,0.010551758991979,0.39174337142362,"Malawi"
"Migowi","Southern Region","Phalombe",-15.72,35.68,12,-0.215981315992016,-0.377743973615868,0.0637663938899838,0.350860974073313,5.0569675834021,4.45700057908375,41.79,0,0.0587310818182102,0.161762657623853,0.201700396337565,0.599967004318349,"Malawi"
"Misuku","Northern Region","Chitipa",-9.67,33.52,12,-0.517504051594185,-0.81384049441515,0.0702128593603199,0.44628710262842,4.57960984583799,4.32028562077652,41.79,0,-0.24279165378396,0.296336442820965,-0.275657341226539,0.259324225061473,"Malawi"
"Mitundu","Central Region","Lilongwe",-14.25,33.77,12,-0.270591915029968,-0.485566558114399,0.0534069741064587,0.246400413478477,4.86743376719083,4.2814772988732,41.79,0,0.00412048278025795,0.214974643084431,0.0121665801262942,0.585956468317624,"Malawi"
"Mkanda","Central Region","Mchinji",-13.52,32.95,12,-0.227368367556747,-0.529422205766309,0.0870763743529264,0.280902385466402,4.87454705098905,4.55482251578896,41.79,0,0.047344030253479,0.302053838209562,0.0192798639245151,0.319724535200091,"Malawi"
"Monkey Bay","Southern Region","Mangochi",-14.09,34.91,12,-0.234472436763425,-0.547943382974883,0.0554319914491913,0.415515443961666,5.21960496003567,4.57187740374657,41.79,0,0.040239961046801,0.313470946211458,0.364337772971139,0.647727556289104,"Malawi"
"Mpamba","Northern Region","Nkhata Bay",-11.55,34.19,12,-0.395701355701944,-0.587469548032371,0.0894152871263409,0.46759688921517,4.90762652973765,4.71843954186239,41.79,0,-0.120988957891718,0.191768192330427,0.052359342673113,0.189186987875257,"Malawi"
"Mpita","Southern Region","Machinga",-15.19,35.47,12,-0.259075100818258,-0.518101908409501,0.0634900967235442,0.453321129285799,4.905507829143,4.41419435285479,41.79,0,0.0156372969919677,0.259026807591242,0.0502406420784638,0.491313476288203,"Malawi"
"Mponela","Central Region","Dowa",-13.52,33.72,12,-0.300222366558349,-0.451110691395545,0.0763409021822914,0.299516530098784,4.84094213612637,4.42324113557134,41.79,0,-0.0255099687481229,0.150888324837196,-0.0143250509381661,0.417701000555026,"Malawi"
"Mtakataka","Central Region","Dedza",-14.23,34.52,12,-0.265111295889573,-0.403814275397831,0.0961626257121953,0.479573080261886,4.9564195075065,4.47243789814184,41.79,0,0.009601101920653,0.138702979508258,0.101152320441971,0.483981609364667,"Malawi"
"Mtowe","Southern Region","Nsanje",-17.08,35.22,12,-0.216550128209348,-0.446564947706895,0.0585441175584912,0.366625274791901,5.02947519107783,4.50013250120839,41.79,0,0.0581622696008773,0.230014819497547,0.174208004013299,0.529342689869444,"Malawi"
