"block","column","status","detail"
"IHME","ihme_stuntingprevalence","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_wastingprevalence","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_underweightprevalence","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_overweightprevalence","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_allanemia","ok","year 2016, scale 0.01, finite 1.00"
"IHME","ihme_mildanemia","ok","year 2016, scale 0.01, finite 1.00"
"IHME","ihme_moderateanemia","ok","year 2016, scale 0.01, finite 1.00"
"IHME","ihme_severeanemia","ok","year 2016, scale 0.01, finite 1.00"
"IHME","ihme_ebfprevalence","ok","year 2016, scale 0.01, finite 1.00"
"IHME","ihme_hivprevalence","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_simp","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_simpother","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_sod","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_spiped","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_sunimp","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_wimp","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_wimpother","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_wpiped","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_wsurface","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_wunimp","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_incidence","skipped","not in the shared set"
"IHME","ihme_deaths","skipped","not in the shared set"
"IHME","ihme_u5_diarrhoea_prev","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_oralrehydrationsolution","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_orsorrhf","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_recommendedhomefluids","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_meanyearsofattainment","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_edu_0y_share","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_edu_6_11y_share","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_edu_12plus_share","ok","year 2016, scale 1, finite 1.00"
"IHME","ihme_mcvcoverage","ok","year 2016, scale 0.01, finite 1.00"
"GLW4","glw_cattle_km2","ok",""
"GLW4","glw_sheep_km2","ok",""
"GLW4","glw_goats_km2","ok",""
"GLW4","glw_pigs_km2","ok",""
"GLW4","glw_chickens_km2","ok",""
"GLW4","glw_tlu_km2","ok",""
"GLW4","glw_tlu_per_capita","ok",""
"GLW4","glw_ruminant_share","ok",""
"MAP","map_blooddisorders201201africahbcallelefrequency","ok","Blood_Disorders__201201_Africa_HbC_Allele_Frequency.tif"
"MAP","map_blooddisorders201201globalg6pddallelefrequency","ok","Blood_Disorders__201201_Global_G6PDd_Allele_Frequency.tif"
"MAP","map_blooddisorders201201globalsicklehaemoglobinhbsallelefrequency","ok","Blood_Disorders__201201_Global_Sickle_Haemoglobin_HbS_Allele_Frequency.tif"
"MAP","map_sy_pf_parasite_rate","ok","Malaria__202508_Global_Pf_Parasite_Rate_2016.tif"
"MAP","map_sy_pf_mortality_rate","ok","Malaria__202508_Global_Pf_Mortality_Rate_2016.tif"
"MAP","map_sy_pf_reproductive_number","ok","Malaria__202202_Global_Pf_Reproductive_Number_2016.tif"
"MAP","map_sy_itn_access","ok","Interventions__202508_Africa_Insecticide_Treated_Net_Access_2016.tif"
"MAP","map_sy_itn_use","ok","Interventions__202508_Africa_Insecticide_Treated_Net_Use_2016.tif"
"MAP","map_sy_itn_use_rate","ok","Interventions__202508_Africa_Insecticide_Treated_Net_Use_Rate_2016.tif"
"MAP","map_sy_irs_coverage","ok","Interventions__202508_Africa_IRS_Coverage_2016.tif"
"MAP","map_sy_effective_treatment","ok","Interventions__202508_Global_Antimalarial_Effective_Treatment_2016.tif"
"MapSPAM","spam_parea_total","ok",""
"MapSPAM","spam_prod_cereals","ok",""
"MapSPAM","spam_prod_oilcrops","ok",""
"MapSPAM","spam_prod_pulses","ok",""
"MapSPAM","spam_prod_roots","ok",""
"MapSPAM","spam_prod_total","ok",""
"MapSPAM","spam_prod_vegetables","ok",""
"MapSPAM","spam_share_cereals","ok",""
"MapSPAM","spam_share_oilcrops","ok",""
"MapSPAM","spam_share_pulses","ok",""
"MapSPAM","spam_share_roots","ok",""
"MapSPAM","spam_share_vegetables","ok",""
"climate normals","clim_pr_ann_mean","ok",""
"climate normals","clim_pr_ann_sd","ok",""
"climate normals","clim_pr_cv","ok",""
"climate normals","clim_pr_season_cv","ok",""
"climate normals","clim_pr_top3_share","ok",""
"climate normals","clim_pr_sy_anom_z","ok",""
"climate normals","clim_pr_win_anom_z","ok",""
"climate normals","clim_tmax_ann","ok",""
"climate normals","clim_tmax_range","ok",""
"climate normals","clim_tmax_sy_anom","ok",""
"climate normals","clim_tmin_ann","ok",""
"climate normals","clim_pet_ann","ok",""
"climate normals","clim_def_ann","ok",""
"climate normals","clim_aet_ann","ok",""
"climate normals","clim_soilm_ann","ok",""
"climate normals","clim_vpd_ann","ok",""
"climate normals","clim_srad_ann","ok",""
"climate normals","clim_lstd_ann","ok",""
"climate normals","clim_lstn_ann","ok",""
"climate normals","clim_lst_diurnal","ok",""
