"outcome","Admin1","Admin2","index","rank","pct"
"women_iron","Denguélé","Folon",1.15870125213773,4,10.6060606060606
"women_iron","Denguélé","Kabadougou",0.200718961598438,12,34.8484848484849
"women_iron","Gôh-Djiboua","Gôh",-0.20959690266415,18,53.030303030303
"women_iron","Gôh-Djiboua","Lôh-Djiboua",-0.432018311787614,23,68.1818181818182
"women_iron","Lacs","Bélier",0.606912002595747,8,22.7272727272727
"women_iron","Lacs","Iffou",0.170363610353487,15,43.9393939393939
"women_iron","Lacs","Moronou",0.194473501539256,13,37.8787878787879
"women_iron","Lacs","N'zi",0.896838479080006,6,16.6666666666667
"women_iron","Lagunes","Agnéby-Tiassa",-0.344205846685654,20,59.0909090909091
"women_iron","Lagunes","Grands Ponts",-0.270451645176218,19,56.0606060606061
"women_iron","Lagunes","La Mé",-0.952193103100093,30,89.3939393939394
"women_iron","Montagnes","Cavally",-1.05354678973164,31,92.4242424242424
"women_iron","Montagnes","Guémon",-0.743326951972224,27,80.3030303030303
"women_iron","Montagnes","Tonkpi",-1.18986381213856,32,95.4545454545455
"women_iron","Sassandra-Marahoué","Haut-Sassandra",-0.414295505169336,22,65.1515151515152
"women_iron","Sassandra-Marahoué","Marahoué",0.171491223804208,14,40.9090909090909
"women_iron","Savanes","Bagoué",1.73096738770776,1,1.51515151515152
"women_iron","Savanes","Poro",1.11056115119917,5,13.6363636363636
"women_iron","Savanes","Tchologo",1.56451202780061,2,4.54545454545455
"women_iron","Vallée du Bandama","Gbeke",0.147029396247475,16,46.969696969697
"women_iron","Vallée du Bandama","Hambol",0.566553586832851,9,25.7575757575758
"women_iron","Woroba","Bafing",-0.347423724615472,21,62.1212121212121
"women_iron","Woroba","Béré",0.681665545259138,7,19.6969696969697
"women_iron","Woroba","Worodougou",0.408051693768564,11,31.8181818181818
"women_iron","Yamoussoukro","Yamoussoukro",0.422388660076925,10,28.7878787878788
"women_iron","Zanzan","Bounkani",1.28547928896259,3,7.57575757575758
"women_iron","Zanzan","Gontougo",-0.159498322087413,17,50
"women_vitA","Abidjan","Abidjan",-1.09747216003786,31,92.4242424242424
"women_vitA","Bas-Sassandra","Gbôkle",-0.782696157662555,27,80.3030303030303
"women_vitA","Bas-Sassandra","Nawa",-0.640770210713635,25,74.2424242424242
"women_vitA","Bas-Sassandra","San-Pédro",-1.25940037087091,32,95.4545454545455
"women_vitA","Comoé","Indénié-Djuablin",-0.704089687366685,26,77.2727272727273
"women_vitA","Comoé","Sud Comoé",-1.47849080416132,33,98.4848484848485
"women_vitA","Denguélé","Folon",1.04669239537197,5,13.6363636363636
"women_vitA","Denguélé","Kabadougou",0.219886241973752,14,40.9090909090909
"women_vitA","Gôh-Djiboua","Gôh",-0.191762106310048,19,56.0606060606061
"women_vitA","Gôh-Djiboua","Lôh-Djiboua",-0.418298823609902,21,62.1212121212121
"women_vitA","Lacs","Bélier",0.425322914156624,10,28.7878787878788
"women_vitA","Lacs","Iffou",0.294211176588137,12,34.8484848484849
