"Admin1","Admin2","rank_med","rank_lo","rank_hi","p_worst3rd","loco_range","rank_width","width_pct"
"Savanes","Tchologo",1,1,2,1,5,1,3.03030303030303
"Zanzan","Bounkani",2,1,3,1,1,2,6.06060606060606
"Savanes","Bagoué",3,2,3,1,12,1,3.03030303030303
"Savanes","Poro",4,4,4,1,9,0,0
"Denguélé","Folon",6,5,9,0.995,14,4,12.1212121212121
"Vallée du Bandama","Hambol",6,5,7,1,6,2,6.06060606060606
"Woroba","Béré",7,6,8,1,4,2,6.06060606060606
"Lacs","N'zi",8,6,11,0.9875,6,5,15.1515151515152
"Lacs","Bélier",9,7,12,0.8725,9,5,15.1515151515152
"Vallée du Bandama","Gbeke",10,8,12,0.89,4,4,12.1212121212121
"Woroba","Worodougou",12,9,16,0.4725,9,7,21.2121212121212
"Yamoussoukro","Yamoussoukro",13,10,16,0.3525,10,6,18.1818181818182
"Denguélé","Kabadougou",14,8,17,0.2275,10,9,27.2727272727273
"Zanzan","Gontougo",14,11,17,0.125,3,6,18.1818181818182
"Lacs","Iffou",15,12,18,0.0425,8,6,18.1818181818182
"Lacs","Moronou",15,12,17.05,0.0275,7,5.04999999999995,15.3030303030302
"Sassandra-Marahoué","Marahoué",15,13,17,0.0025,12,4,12.1212121212121
"Sassandra-Marahoué","Haut-Sassandra",19,18,20,0,4,2,6.06060606060606
"Woroba","Bafing",19,16,22,0.005,6,6,18.1818181818182
"Comoé","Indénié-Djuablin",20,19,24,0,5,5,15.1515151515152
"Lagunes","Agnéby-Tiassa",21,18,23,0,2,5,15.1515151515152
"Montagnes","Guémon",22,20,24.05,0,3,4.04999999999995,12.2727272727271
"Gôh-Djiboua","Gôh",23,20,25,0,9,5,15.1515151515152
"Abidjan","Abidjan",25,21,29,0,9,8,24.2424242424242
"Lagunes","La Mé",25,22.95,27,0,4,4.05,12.2727272727273
"Gôh-Djiboua","Lôh-Djiboua",27,24,29,0,2,5,15.1515151515152
"Lagunes","Grands Ponts",27,24,30,0,6,6,18.1818181818182
"Bas-Sassandra","Nawa",28,26,30,0,7,4,12.1212121212121
"Montagnes","Tonkpi",28,24,32,0,3,8,24.2424242424242
"Montagnes","Cavally",29,25,31,0,4,6,18.1818181818182
"Bas-Sassandra","Gbôkle",31,30,32,0,2,2,6.06060606060606
"Comoé","Sud Comoé",32,30,32,0,1,2,6.06060606060606
"Bas-Sassandra","San-Pédro",33,33,33,0,3,0,0
