"outcome","domain_set","Admin1","Admin2","rank_med","rank_lo","rank_hi","p_worst3rd","loco_range","rank_width","width_pct"
"women_b12","cs","Zanzan","Gontougo",10,8,11,0.9675,4,3,9.09090909090909
"women_b12","cs","Vallée du Bandama","Gbeke",12,9,12.05,0.4375,2,3.04999999999995,9.24242424242411
"women_b12","cs","Lacs","Iffou",13,11,14,0.0925,1,3,9.09090909090909
"women_b12","cs","Lacs","N'zi",14,12,15,0.025,0,3,9.09090909090909
"women_b12","cs","Sassandra-Marahoué","Marahoué",15,14,16,0,0,2,6.06060606060606
"women_b12","cs","Lacs","Bélier",16,15,19,0,3,4,12.1212121212121
"women_b12","cs","Lacs","Moronou",17,16,19,0,3,3,9.09090909090909
"women_b12","cs","Sassandra-Marahoué","Haut-Sassandra",18,16,19,0,1,3,9.09090909090909
"women_b12","cs","Yamoussoukro","Yamoussoukro",19,18,20,0,2,2,6.06060606060606
"women_b12","cs","Comoé","Indénié-Djuablin",20,20,22,0,2,2,6.06060606060606
"women_b12","cs","Montagnes","Tonkpi",21,17,24,0,6,7,21.2121212121212
"women_b12","cs","Montagnes","Guémon",22,21,24,0,4,3,9.09090909090909
"women_b12","cs","Lagunes","Agnéby-Tiassa",23,21,24,0,6,3,9.09090909090909
"women_b12","cs","Gôh-Djiboua","Gôh",24,23,25,0,3,2,6.06060606060606
"women_b12","cs","Lagunes","La Mé",25,23,26,0,1,3,9.09090909090909
"women_b12","cs","Gôh-Djiboua","Lôh-Djiboua",26,26,27,0,0,1,3.03030303030303
"women_b12","cs","Montagnes","Cavally",27,25,27,0,5,2,6.06060606060606
"women_b12","cs","Bas-Sassandra","Nawa",28,27.95,29,0,2,1.05,3.18181818181817
"women_b12","cs","Bas-Sassandra","Gbôkle",29,28,29,0,1,1,3.03030303030303
"women_b12","cs","Lagunes","Grands Ponts",30,30,31,0,1,1,3.03030303030303
"women_b12","cs","Comoé","Sud Comoé",31,30,32,0,1,2,6.06060606060606
"women_b12","cs","Abidjan","Abidjan",32,31,33,0,3,2,6.06060606060606
"women_b12","cs","Bas-Sassandra","San-Pédro",33,32,33,0,1,1,3.03030303030303
"child_iron","cs_top5","Savanes","Bagoué",1,1,2,1,1,1,3.03030303030303
"child_iron","cs_top5","Savanes","Tchologo",2,1,2,1,1,1,3.03030303030303
"child_iron","cs_top5","Savanes","Poro",3,3,4,1,1,1,3.03030303030303
"child_iron","cs_top5","Denguélé","Folon",4,3,5,1,3,2,6.06060606060606
"child_iron","cs_top5","Zanzan","Bounkani",5,4,6,1,0,2,6.06060606060606
"child_iron","cs_top5","Woroba","Béré",6,5.95,7,1,4,1.05,3.18181818181817
"child_iron","cs_top5","Lacs","N'zi",7,6,10,1,4,4,12.1212121212121
"child_iron","cs_top5","Denguélé","Kabadougou",9,7,14,0.8475,10,7,21.2121212121212
"child_iron","cs_top5","Woroba","Worodougou",9,7,11,0.9625,9,4,12.1212121212121
"child_iron","cs_top5","Vallée du Bandama","Hambol",10,8,13,0.8675,6,5,15.1515151515152
"child_iron","cs_top5","Lacs","Bélier",12,9,16,0.34,9,7,21.2121212121212
"child_iron","cs_top5","Sassandra-Marahoué","Marahoué",12,10,15,0.28,2,5,15.1515151515152
"child_iron","cs_top5","Lacs","Iffou",13,10,18,0.25,6,8,24.2424242424242
"child_iron","cs_top5","Lacs","Moronou",13,8,17,0.3275,1,9,27.2727272727273
"child_iron","cs_top5","Vallée du Bandama","Gbeke",16,12,19,0.025,5,7,21.2121212121212
"child_iron","cs_top5","Yamoussoukro","Yamoussoukro",16,13,19,0.0125,9,6,18.1818181818182
"child_iron","cs_top5","Sassandra-Marahoué","Haut-Sassandra",17,13,20,0.005,3,7,21.2121212121212
"child_iron","cs_top5","Woroba","Bafing",18,11,21,0.0725,6,10,30.3030303030303
"child_iron","cs_top5","Zanzan","Gontougo",18,15,22,0.005,5,7,21.2121212121212
"child_iron","cs_top5","Gôh-Djiboua","Gôh",19,15.95,20,0.005,4,4.05,12.2727272727273
"child_iron","cs_top5","Montagnes","Guémon",21,20,23,0,2,3,9.09090909090909
"child_iron","cs_top5","Lagunes","Agnéby-Tiassa",22,20,24,0,1,4,12.1212121212121
"child_iron","cs_top5","Gôh-Djiboua","Lôh-Djiboua",23,21,25,0,1,4,12.1212121212121
"child_iron","cs_top5","Bas-Sassandra","Nawa",25,23,27,0,2,4,12.1212121212121
"child_iron","cs_top5","Comoé","Indénié-Djuablin",25,23,29,0,5,6,18.1818181818182
"child_iron","cs_top5","Lagunes","Grands Ponts",25,21.95,29,0,2,7.05,21.3636363636364
"child_iron","cs_top5","Bas-Sassandra","Gbôkle",28,26,30,0,2,4,12.1212121212121
"child_iron","cs_top5","Montagnes","Cavally",28,25,31,0,3,6,18.1818181818182
"child_iron","cs_top5","Montagnes","Tonkpi",29,25,32,0,3,7,21.2121212121212
"child_iron","cs_top5","Abidjan","Abidjan",30,25,32,0,4,7,21.2121212121212
"child_iron","cs_top5","Lagunes","La Mé",30,28,32,0,2,4,12.1212121212121
"child_iron","cs_top5","Bas-Sassandra","San-Pédro",32,30,32,0,0,2,6.06060606060606
"child_iron","cs_top5","Comoé","Sud Comoé",33,33,33,0,0,0,0
"child_vitA","cs_top5","Savanes","Bagoué",1,1,2,1,0,1,3.03030303030303
"child_vitA","cs_top5","Savanes","Tchologo",2,1,2,1,1,1,3.03030303030303
