"column","full","median","lo","hi","sign_agree","domain","source","plain","label","rank"
"mics_c_fg_flesh",-4.8924867209014,-4.60751507619154,-6.60673334459207,-2.66892635064035,1,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children 6-23 months fed meat or fish (MICS)","Children 6-23 months fed meat or fish (MICS)",1
"hces_any_fish",-3.57208311211312,-3.35845311704255,-4.63708777165328,-2.29723070920499,1,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)","Households eating fish in the last week (budget survey)","Households eating fish in the last week (budget survey)",2
"mics_wealth_score_mean",-3.20503054850809,-3.14219858384582,-4.49197091191751,-1.80921473046847,1,"Household assets and characteristics","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Mean household wealth score (MICS)","Mean household wealth score (MICS)",3
"mics_wealth_poorest40",2.99085138939909,3.02999876516755,1.54421706409923,4.92359478662216,1,"Household assets and characteristics","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Households in the poorest two fifths (MICS)","Households in the poorest two fifths (MICS)",4
"rtfp_fpi_seasonal_range",-3.14003656534927,-2.9643261361252,-4.54120936110399,-1.82029943991053,1,"Market prices (RTFP)","World Bank Real-Time Food Prices (RTFP) market panel, vintage 2026-02-10","Seasonal swing in local food prices (RTFP)","Seasonal swing in local food prices (RTFP)",5
"mics_c_vas_6mo",-2.67074790149846,-2.7458580019289,-4.7195409406621,-1.12217206837981,1,"Food fortification and supplementation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children given vitamin A in the last 6 months (MICS)","Children given vitamin A in the last 6 months (MICS)",6
"mics_c_fg_legumes",2.84884971596797,2.46488749363562,1.22520275827846,4.00216690391194,0.996666666666667,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children 6-23 months fed legumes (MICS)","Children 6-23 months fed legumes (MICS)",7
"lcover_water_permanent_frac_t0",-2.46469206712875,-2.42399275074122,-3.74183733792588,-1.2474036210674,0.996666666666667,"Built environment","GEE","Permanent water cover","Permanent water cover",8
"grassland_frac",1.82245179695315,2.4191481268853,0.925544974705902,3.87149122813347,1,"Ecosystem productivity/greenness","GEE","Grassland share","Grassland share",9
"ihme_malaria_mortality_rate",-2.55820047300592,-2.41193250253764,-3.57788929033192,-1.15902367220865,1,"Infection and inflammation burden","IHME (modelled surfaces)","Modelled malaria mortality (IHME)","Modelled malaria mortality (IHME)",10
"ihme_severeanemia",-2.35325962181213,-2.38907920407195,-3.26108795499323,-1.60357805068428,1,"Anaemia and haemoglobin","IHME (modelled surfaces)","Modelled severe anaemia","Modelled severe anaemia",11
"ihme_moderateanemia",-2.37319198529265,-2.38274099409413,-3.31199773446159,-1.61307743620308,1,"Anaemia and haemoglobin","IHME (modelled surfaces)","Modelled moderate anaemia","Modelled moderate anaemia",12
