"country","outcome","Admin1","Admin2","n_districts","k_worst","obs_prev","obs_worst_fifth","pred_mean","p_worst_fifth","draws"
"Gambia","women_vitA","Western","Kombo South",30,6,0,FALSE,0.00405761946379373,0,40
"Gambia","child_iron","Banjul","Banjul",30,6,0.473593738668456,FALSE,0.322875515869722,0,40
"Gambia","child_iron","Banjul","Kanifing",30,6,0.473611993521602,FALSE,0.320860278987818,0,40
"Gambia","child_iron","Lower River","Jarra East",30,6,0.803331843115757,TRUE,0.712570740000235,0,40
"Gambia","child_iron","Lower River","Jarra West",30,6,0.359107369139993,FALSE,0.656321150614694,0,40
"Gambia","child_iron","Lower River","Kiang Central",30,6,0.666666666666667,FALSE,0.670592278715356,0,40
"Gambia","child_iron","Lower River","Kiang East",30,6,0.772727272727273,FALSE,0.658011436260662,0,40
"Gambia","child_iron","Maccarthy Island","Fulladu West",30,6,0.724936871605935,FALSE,0.766725526282973,0.2,40
"Gambia","child_iron","Maccarthy Island","Lower Saloum",30,6,0.634062462463658,FALSE,0.762724410327932,0.125,40
"Gambia","child_iron","Maccarthy Island","Niamina Dankunku",30,6,0.764705882352941,FALSE,0.772410993298001,0.15,40
"Gambia","child_iron","Maccarthy Island","Niamina East",30,6,0.714285714285714,FALSE,0.784951152102457,0.525,40
"Gambia","child_iron","Maccarthy Island","Niani",30,6,0.671920634424059,FALSE,0.803966354335848,0.8,40
"Gambia","child_iron","Maccarthy Island","Nianija",30,6,0.590402153182099,FALSE,0.836916690298887,1,40
"Gambia","child_iron","Maccarthy Island","Sami",30,6,0.944444444444444,TRUE,0.78597915344912,0.625,40
"Gambia","child_iron","Maccarthy Island","Upper Saloum",30,6,0.888888888888889,TRUE,0.833283119186132,1,40
"Gambia","child_iron","North Bank","Central Baddibu",30,6,0.642857142857143,FALSE,0.708663064234731,0,40
"Gambia","child_iron","North Bank","Jokadu",30,6,0.785714285714286,TRUE,0.651354703539741,0,40
"Gambia","child_iron","North Bank","Lower Baddibu",30,6,0.666666666666667,FALSE,0.649455361469654,0,40
"Gambia","child_iron","North Bank","Lower Nuimi",30,6,0.574655145648432,FALSE,0.576520416794335,0,40
"Gambia","child_iron","North Bank","Upper Baddibu",30,6,0.707440350601493,FALSE,0.683834297174822,0,40
"Gambia","child_iron","North Bank","Upper Nuimi",30,6,0.444444444444444,FALSE,0.625033065395144,0,40
"Gambia","child_iron","Upper River","Fulladu East",30,6,0.608320856214532,FALSE,0.723820022765792,0,40
"Gambia","child_iron","Upper River","Kantora",30,6,0.866666666666667,TRUE,0.736647887412853,0.05,40
"Gambia","child_iron","Upper River","Sandu",30,6,0.4375,FALSE,0.818418987716567,0.95,40
"Gambia","child_iron","Upper River","Wuli",30,6,0.777777777777778,TRUE,0.790893143340482,0.575,40
"Gambia","child_iron","Western","Foni Bintang Karanai",30,6,0.470588235294118,FALSE,0.57036047271739,0,40
"Gambia","child_iron","Western","Foni Brefet",30,6,0.636363636363636,FALSE,0.464776199537437,0,40
"Gambia","child_iron","Western","Kombo Central",30,6,0.330018248151879,FALSE,0.393752569366469,0,40
"Gambia","child_iron","Western","Kombo East",30,6,0.6,FALSE,0.452263333590761,0,40
"Gambia","child_iron","Western","Kombo Saint Mary",30,6,0.634709256775542,FALSE,0.312003922510912,0,40
"Gambia","child_iron","Western","Kombo South",30,6,0.473684210526316,FALSE,0.390420283950308,0,40
"Gambia","women_iron","Banjul","Banjul",30,6,0.34413119665356,FALSE,0.234075191732568,0,40
"Gambia","women_iron","Banjul","Kanifing",30,6,0.300794478115473,FALSE,0.2366232881042,0,40
"Gambia","women_iron","Lower River","Jarra East",30,6,0.651585939619729,FALSE,0.592682533733686,0,40
"Gambia","women_iron","Lower River","Jarra West",30,6,0.437857706397502,FALSE,0.502932723863652,0,40
"Gambia","women_iron","Lower River","Kiang Central",30,6,0.5,FALSE,0.530549679655096,0,40
"Gambia","women_iron","Lower River","Kiang East",30,6,0.80952380952381,TRUE,0.510985830805053,0,40
"Gambia","women_iron","Maccarthy Island","Fulladu West",30,6,0.496143900023372,FALSE,0.663857800503241,0.35,40
"Gambia","women_iron","Maccarthy Island","Lower Saloum",30,6,0.550593280436593,FALSE,0.631943122149463,0,40
"Gambia","women_iron","Maccarthy Island","Niamina Dankunku",30,6,0.75,TRUE,0.609107341104592,0,40
"Gambia","women_iron","Maccarthy Island","Niamina East",30,6,0.652173913043478,FALSE,0.650395672208472,0.05,40
"Gambia","women_iron","Maccarthy Island","Niani",30,6,0.60276989598107,FALSE,0.695112964006529,0.95,40
"Gambia","women_iron","Maccarthy Island","Nianija",30,6,0.476674958461976,FALSE,0.705189818182779,0.925,40
"Gambia","women_iron","Maccarthy Island","Sami",30,6,0.736842105263158,TRUE,0.726402172901987,0.975,40
"Gambia","women_iron","Maccarthy Island","Upper Saloum",30,6,0.714285714285714,TRUE,0.727868736906688,1,40
"Gambia","women_iron","North Bank","Central Baddibu",30,6,0.454545454545455,FALSE,0.544598247452631,0,40
"Gambia","women_iron","North Bank","Jokadu",30,6,0.583333333333333,FALSE,0.48485212739577,0,40
"Gambia","women_iron","North Bank","Lower Baddibu",30,6,0.363636363636364,FALSE,0.497523815545475,0,40
"Gambia","women_iron","North Bank","Lower Nuimi",30,6,0.341670558544721,FALSE,0.440620218793007,0,40
"Gambia","women_iron","North Bank","Upper Baddibu",30,6,0.534998037732374,FALSE,0.518813241943012,0,40
"Gambia","women_iron","North Bank","Upper Nuimi",30,6,0.294117647058824,FALSE,0.462425775582359,0,40
"Gambia","women_iron","Upper River","Fulladu East",30,6,0.471649059364638,FALSE,0.613840655131849,0,40
"Gambia","women_iron","Upper River","Kantora",30,6,0.823529411764706,TRUE,0.645815916384333,0,40
"Gambia","women_iron","Upper River","Sandu",30,6,0.666666666666667,FALSE,0.694003710259601,0.825,40
"Gambia","women_iron","Upper River","Wuli",30,6,0.727272727272727,TRUE,0.704144273505222,0.925,40
"Gambia","women_iron","Western","Foni Bintang Karanai",30,6,0.35,FALSE,0.419734229412331,0,40
"Gambia","women_iron","Western","Foni Brefet",30,6,0.294117647058824,FALSE,0.37524879188372,0,40
"Gambia","women_iron","Western","Kombo Central",30,6,0.367154654744198,FALSE,0.299840392447333,0,40
"Gambia","women_iron","Western","Kombo East",30,6,0.428571428571429,FALSE,0.331778926108575,0,40
"Gambia","women_iron","Western","Kombo Saint Mary",30,6,0.367386107828314,FALSE,0.245353495191532,0,40
"Gambia","women_iron","Western","Kombo South",30,6,0.344827586206897,FALSE,0.295761721386695,0,40
"Ghana","child_vitA","Ahafo","Asunafo North",75,15,0.157894736842105,FALSE,0.106816286620729,0,40
"Ghana","child_vitA","Ahafo","Tano North",75,15,0.224148692697136,FALSE,0.0862586931796525,0,40
"Ghana","child_vitA","Ashanti","Adansi Asokwa",75,15,0.0625,FALSE,0.0776713756548445,0,40
"Ghana","child_vitA","Ashanti","Asante-Akim South",75,15,0.230769230769231,FALSE,0.105634523860755,0,40
"Ghana","child_vitA","Ashanti","Asokore-Mampong",75,15,0.277777777777778,FALSE,0.0554353769319895,0,40
"Ghana","child_vitA","Ashanti","Asokwa",75,15,0.4,TRUE,0.0507692352211682,0,40
"Ghana","child_vitA","Ashanti","Atwima-Mponua",75,15,0.375,FALSE,0.0708852603054219,0,40
"Ghana","child_vitA","Ashanti","Atwima-Nwabiagya South",75,15,0.0909090909090909,FALSE,0.08065717225878,0,40
"Ghana","child_vitA","Ashanti","Bekwai",75,15,0.375,FALSE,0.070779886600638,0,40
"Ghana","child_vitA","Ashanti","Kumasi",75,15,0.203507009234008,FALSE,0.0468537949373045,0,40
"Ghana","child_vitA","Ashanti","Kwadaso",75,15,0,FALSE,0.0806011330843236,0,40
"Ghana","child_vitA","Ashanti","Obuasi",75,15,0.176470588235294,FALSE,0.0521042248414891,0,40
"Ghana","child_vitA","Ashanti","Sekyere Kumawu",75,15,0.333333333333333,FALSE,0.0941495439644208,0,40
"Ghana","child_vitA","Ashanti","Sekyere South",75,15,0.214285714285714,FALSE,0.0790126511706954,0,40
"Ghana","child_vitA","Bono","Dormaa West",75,15,0.125,FALSE,0.110601921628581,0,40
"Ghana","child_vitA","Bono","Sunyani West",75,15,0.166666666666667,FALSE,0.101137140625298,0,40
"Ghana","child_vitA","Bono","Wenchi",75,15,0.0909090909090909,FALSE,0.178751809777342,0,40
"Ghana","child_vitA","Bono East","Kintampo North",75,15,0.263157894736842,FALSE,0.348685409059716,0,40
"Ghana","child_vitA","Bono East","Sene West",75,15,0.142857142857143,FALSE,0.307871332091988,0,40
"Ghana","child_vitA","Bono East","Techiman",75,15,0.153846153846154,FALSE,0.0902029490931486,0,40
"Ghana","child_vitA","Central","Agona West",75,15,0.476190476190476,TRUE,0.064987754668731,0,40
"Ghana","child_vitA","Central","Asikuma-Odoben-Brakwa",75,15,0.210526315789474,FALSE,0.0605754723385297,0,40
"Ghana","child_vitA","Central","Awutu Senya West",75,15,0.166666666666667,FALSE,0.0722363688067776,0,40
"Ghana","child_vitA","Central","Mfantseman",75,15,0.333333333333333,FALSE,0.0555732954193073,0,40
"Ghana","child_vitA","Central","Twifo-Atti-Morkwa",75,15,0.25,FALSE,0.0754760343602033,0,40
"Ghana","child_vitA","Central","Twifo-Hemang-Lower Denkyira",75,15,0.166666666666667,FALSE,0.0654898420875414,0,40
"Ghana","child_vitA","Eastern","Abuakwa South",75,15,0.222222222222222,FALSE,0.0636832415169572,0,40
"Ghana","child_vitA","Eastern","Akwapem North",75,15,0.21591190100746,FALSE,0.0412916443357074,0,40
"Ghana","child_vitA","Eastern","Atiwa East",75,15,0.1,FALSE,0.113457482711484,0,40
"Ghana","child_vitA","Eastern","Denkyembour",75,15,0.5,TRUE,0.072016109920069,0,40
"Ghana","child_vitA","Eastern","Kwahu Afram Plains North",75,15,0.237950476403701,FALSE,0.239947253134787,0,40
"Ghana","child_vitA","Greater Accra","Ablekuma Central",75,15,0,FALSE,0.0335353186833381,0,40
"Ghana","child_vitA","Greater Accra","Ablekuma North",75,15,0.411645422943221,TRUE,0.0185548450575659,0,40
"Ghana","child_vitA","Greater Accra","Ashaiman",75,15,0,FALSE,0.0451535693976084,0,40
"Ghana","child_vitA","Greater Accra","Ayawaso West",75,15,0,FALSE,0.0439693244221831,0,40
"Ghana","child_vitA","Greater Accra","Ga East",75,15,0,FALSE,0.0461841758724994,0,40
"Ghana","child_vitA","Greater Accra","La-Dade-Kotopon",75,15,0.153846153846154,FALSE,0.0337448771984864,0,40
"Ghana","child_vitA","Greater Accra","Tema West",75,15,0.2,FALSE,0.0461631975749612,0,40
"Ghana","child_vitA","Greater Accra","Weija Gbawe",75,15,0.248278700955435,FALSE,0.0466113751430064,0,40
"Ghana","child_vitA","North East","Chereponi",75,15,0.333333333333333,FALSE,0.822779684789562,1,40
"Ghana","child_vitA","North East","West Mamprusi",75,15,0.521739130434783,TRUE,0.785705473222471,1,40
"Ghana","child_vitA","North East","Yunyoo-Nasuan",75,15,0.2,FALSE,0.791141872524838,1,40
"Ghana","child_vitA","Northern","Gushegu",75,15,0.7,TRUE,0.836234686190317,1,40
"Ghana","child_vitA","Northern","Kpandai",75,15,0.333333333333333,FALSE,0.536159211587408,0.025,40
"Ghana","child_vitA","Northern","Nanumba South",75,15,0.0909090909090909,FALSE,0.662711689242999,0.65,40
"Ghana","child_vitA","Northern","Sagnerigu",75,15,0.507085742791694,TRUE,0.510384364736696,0,40
"Ghana","child_vitA","Northern","Savelugu",75,15,0.470588235294118,TRUE,0.75117297367979,0.975,40
"Ghana","child_vitA","Northern","Tamale",75,15,0.48,TRUE,0.667723110847243,0.725,40
"Ghana","child_vitA","Northern","Tatale Sanguli",75,15,0.32,FALSE,0.623620943095261,0.25,40
"Ghana","child_vitA","Northern","Tolon",75,15,0.59375,TRUE,0.736601600000889,1,40
"Ghana","child_vitA","Oti","Nkwanta South",75,15,0.142857142857143,FALSE,0.304297732588981,0,40
"Ghana","child_vitA","Savannah","Bole",75,15,1,TRUE,0.359949175964624,0,40
"Ghana","child_vitA","Savannah","Central Gonja",75,15,0.255184301246354,FALSE,0.608341387499691,0.375,40
"Ghana","child_vitA","Savannah","North East Gonja",75,15,0.181818181818182,FALSE,0.569872472580908,0.125,40
"Ghana","child_vitA","Savannah","Sawla-Tuna-Kalba",75,15,0.333333333333333,FALSE,0.511221645413929,0,40
"Ghana","child_vitA","Upper East","Bawku West",75,15,0.333333333333333,FALSE,0.782646718656783,1,40
"Ghana","child_vitA","Upper East","Binduri",75,15,0.502529510961214,TRUE,0.842112693337656,1,40
"Ghana","child_vitA","Upper East","Builsa South",75,15,0.571428571428571,TRUE,0.686691311879752,0.95,40
"Ghana","child_vitA","Upper East","Kasena Nankana East",75,15,0.379617540895477,FALSE,0.627048746436435,0.325,40
"Ghana","child_vitA","Upper East","Talensi",75,15,0.384615384615385,TRUE,0.784594236451129,1,40
"Ghana","child_vitA","Upper West","Jirapa",75,15,0.111111111111111,FALSE,0.693853903443939,0.85,40
"Ghana","child_vitA","Upper West","Lambussie-Karni",75,15,0.142857142857143,FALSE,0.679822998716687,0.8,40
"Ghana","child_vitA","Upper West","Sissala East",75,15,0.470588235294118,TRUE,0.63304756820269,0.475,40
"Ghana","child_vitA","Upper West","Wa East",75,15,0.0714285714285714,FALSE,0.628314723141053,0.475,40
"Ghana","child_vitA","Upper West","Wa Municipal",75,15,0.350422832980972,FALSE,0.453055868745764,0,40
"Ghana","child_vitA","Volta","Afadzato South",75,15,0.173913043478261,FALSE,0.0987460639269659,0,40
"Ghana","child_vitA","Volta","Akatsi South",75,15,0.375,FALSE,0.086518582752461,0,40
"Ghana","child_vitA","Volta","Ho Municipal",75,15,0,FALSE,0.0838964097489287,0,40
"Ghana","child_vitA","Volta","South Tongu",75,15,0,FALSE,0.142402221925129,0,40
"Ghana","child_vitA","Western","Effia Kwesimintsim",75,15,0.285714285714286,FALSE,0.0309882053205753,0,40
"Ghana","child_vitA","Western","Ellembelle",75,15,0.277777777777778,FALSE,0.0952574320006842,0,40
