"source","target","method","jw"
"Ashanti","Ashanti","exact",NA
"Brong Ahafo","Brong Ahafo","exact",NA
"Central","Central","exact",NA
"Eastern","Eastern","exact",NA
"Greater Accra","Greater Accra","exact",NA
"Northern","Northern","exact",NA
"Upper East","Upper East","exact",NA
"Upper West","Upper West","exact",NA
"Volta","Volta","exact",NA
"Western","Western","exact",NA
