"source","target","method","jw"
"Banjul","Banjul","exact",NA
"Basse","Basse","exact",NA
"Brikama","Brikama","exact",NA
"Kanifing","Kanifing","exact",NA
"Kerewan","Kerewan","exact",NA
"Kuntaur","Kuntaur","exact",NA
"Mansakonko","Mansakonko","exact",NA
"Janjanbureh","Janjabureh","fuzzy",0.018
