"source","target","method","jw"
"Banjul","banjul","exact",NA
"Basse","basse","exact",NA
"Brikama","brikama","exact",NA
"Janjanbureh","janjanbureh","exact",NA
"Kanifing","kanifing","exact",NA
"Kerewan","kerewan","exact",NA
"Kuntaur","kuntaur","exact",NA
"Mansakonko","mansakonko","exact",NA
