"source","target","method","jw"
"BO","Bo","exact",NA
"BOMBALI","Bombali","exact",NA
"BONTHE","Bonthe","exact",NA
"KAILAHUN","Kailahun","exact",NA
"KAMBIA","Kambia","exact",NA
"KENEMA","Kenema","exact",NA
"KOINADUGU","Koinadugu","exact",NA
"KONO","Kono","exact",NA
"MOYAMBA","Moyamba","exact",NA
"PORT LOKO","Port Loko","exact",NA
"PUJEHUN","Pujehun","exact",NA
"TONKOLILI","Tonkolili","exact",NA
"WESTERN AREA RURAL","Western Rural","fuzzy",0.075
"WESTERN AREA URBAN","Western Urban","fuzzy",0.075
