"pcode","pcode_name","gid_2","Admin1","Admin2","share_of_cod_unit","n_gadm_polys","country","cod_level"
"GM0101","Banjul Central","GMB.1.1_1","Banjul","Banjul",0.995,1,"Gambia",2
"GM0102","Banjul North","GMB.1.1_1","Banjul","Banjul",0.669,2,"Gambia",2
"GM0103","Banjul South","GMB.1.1_1","Banjul","Banjul",0.997,1,"Gambia",2
"GM0201","Basse","GMB.5.1_1","Upper River","Fulladu East",0.966,3,"Gambia",2
"GM0202","Kantora","GMB.5.2_1","Upper River","Kantora",0.966,3,"Gambia",2
"GM0203","Sandu","GMB.5.3_1","Upper River","Sandu",0.992,4,"Gambia",2
"GM0204","Jimara","GMB.5.1_1","Upper River","Fulladu East",0.935,3,"Gambia",2
"GM0205","Tumana","GMB.5.1_1","Upper River","Fulladu East",0.957,3,"Gambia",2
"GM0206","Wuli West","GMB.5.4_1","Upper River","Wuli",0.979,3,"Gambia",2
"GM0207","Wuli East","GMB.5.4_1","Upper River","Wuli",0.981,2,"Gambia",2
"GM0301","Foni Bintang Karenai","GMB.6.1_1","Western","Foni Bintang Karanai",0.95,4,"Gambia",2
"GM0302","Foni Bondali","GMB.6.2_1","Western","Foni Bondali",0.825,4,"Gambia",2
"GM0303","Foni Brefet","GMB.6.3_1","Western","Foni Brefet",0.98,2,"Gambia",2
"GM0304","Foni Jarrol","GMB.6.4_1","Western","Foni Jarrol",0.832,3,"Gambia",2
"GM0305","Foni Kansala","GMB.6.5_1","Western","Foni Kansala",0.743,4,"Gambia",2
"GM0306","Kombo Central","GMB.6.6_1","Western","Kombo Central",0.97,4,"Gambia",2
"GM0307","Kombo East","GMB.6.7_1","Western","Kombo East",0.841,4,"Gambia",2
"GM0308","Kombo North/St Marie","GMB.6.8_1","Western","Kombo Saint Mary",0.867,4,"Gambia",2
"GM0309","Kombo South","GMB.6.9_1","Western","Kombo South",0.962,3,"Gambia",2
"GM0401","Lower Fuladu West","GMB.3.1_1","Maccarthy Island","Fulladu West",0.919,4,"Gambia",2
"GM0402","Janjanbureh","GMB.3.2_1","Maccarthy Island","Janjanbureh",0.843,2,"Gambia",2
"GM0403","Niamina Dankunku","GMB.3.4_1","Maccarthy Island","Niamina Dankunku",0.869,5,"Gambia",2
"GM0404","Niamina East","GMB.3.5_1","Maccarthy Island","Niamina East",0.817,7,"Gambia",2
"GM0405","Niamina West","GMB.3.6_1","Maccarthy Island","Niamina West",0.829,6,"Gambia",2
"GM0406","Upper Fuladu West","GMB.3.1_1","Maccarthy Island","Fulladu West",0.945,5,"Gambia",2
"GM0501","Bakau","GMB.1.2_1","Banjul","Kanifing",0.998,1,"Gambia",2
"GM0502","Jeshwang","GMB.1.2_1","Banjul","Kanifing",0.998,1,"Gambia",2
"GM0503","Mangrove","GMB.1.2_1","Banjul","Kanifing",0.484,3,"Gambia",2
"GM0504","Sere Kunda Central","GMB.1.2_1","Banjul","Kanifing",0.877,2,"Gambia",2
"GM0505","Sere Kunda East","GMB.6.8_1","Western","Kombo Saint Mary",0.633,2,"Gambia",2
"GM0506","Sere Kunda West","GMB.1.2_1","Banjul","Kanifing",0.847,2,"Gambia",2
"GM0601","Central Baddibu","GMB.4.1_1","North Bank","Central Baddibu",0.967,3,"Gambia",2
"GM0602","Jokadu","GMB.4.2_1","North Bank","Jokadu",0.745,3,"Gambia",2
"GM0603","Lower Baddibu","GMB.4.3_1","North Bank","Lower Baddibu",0.894,2,"Gambia",2
"GM0604","Lower Niumi","GMB.4.4_1","North Bank","Lower Nuimi",0.981,3,"Gambia",2
"GM0605","Illiassa","GMB.4.5_1","North Bank","Upper Baddibu",0.94,2,"Gambia",2
"GM0606","Upper Niumi","GMB.4.6_1","North Bank","Upper Nuimi",0.884,3,"Gambia",2
"GM0607","Sabach - Sanjal","GMB.4.5_1","North Bank","Upper Baddibu",0.996,2,"Gambia",2
"GM0701","Lower Saloum","GMB.3.3_1","Maccarthy Island","Lower Saloum",0.971,3,"Gambia",2
"GM0702","Niani","GMB.3.7_1","Maccarthy Island","Niani",0.99,5,"Gambia",2
"GM0703","Nianija","GMB.3.8_1","Maccarthy Island","Nianija",0.919,3,"Gambia",2
"GM0704","Sami","GMB.3.9_1","Maccarthy Island","Sami",0.979,3,"Gambia",2
"GM0705","Upper Saloum","GMB.3.10_1","Maccarthy Island","Upper Saloum",0.952,4,"Gambia",2
