"source","target","method","jw"
"Ashanti","ashanti","exact",NA
"Brong Ahafo","brong ahafo","exact",NA
"Central","central","exact",NA
"Eastern","eastern","exact",NA
"Greater Accra","greater accra","exact",NA
"Northern","northern","exact",NA
"Upper East","upper east","exact",NA
"Upper West","upper west","exact",NA
"Volta","volta","exact",NA
"Western","western","exact",NA
