"source","target","method","jw"
"ASHANTI","Ashanti","exact",NA
"BRONG AHAFO","Brong Ahafo","exact",NA
"CENTRAL","Central","exact",NA
"EASTERN","Eastern","exact",NA
"GREATER ACCRA","Greater Accra","exact",NA
"NORTHERN","Northern","exact",NA
"UPPER EAST","Upper East","exact",NA
"UPPER WEST","Upper West","exact",NA
"VOLTA","Volta","exact",NA
"WESTERN","Western","exact",NA
