country,outcome,level,n_units,obs_national_pct,pred_national_pct,abs_error_pp,signed_error_pp,rank_spearman
Gambia,child_vitA,cluster,70,17.253485247621725,30.033524005693955,12.780038758072232,12.780038758072232,0.0992414711352541
Gambia,child_vitA,admin1,6,17.253485247621725,15.90086645625668,1.3526187913650456,-1.3526187913650456,0.08571428571428572
Gambia,child_vitA,admin2,30,17.253485247621725,17.552967964905985,0.2994827172842607,0.2994827172842607,-0.5582417140867721
Gambia,women_vitA,cluster,70,1.6993543673616078,14.6266396248058,12.927285257444193,12.927285257444193,0.32163490331927425
Gambia,women_vitA,admin1,6,1.6993543673616078,2.1217228962247923,0.4223685288631842,0.4223685288631842,0.08571428571428572
Gambia,women_vitA,admin2,30,1.6993543673616078,1.8328534446804192,0.1334990773188112,0.1334990773188112,-0.374044444773337
Gambia,child_iron,cluster,70,37.52573659396891,48.83652226378841,11.310785669819506,11.310785669819506,-0.19153218434277763
Gambia,child_iron,admin1,6,37.52573659396891,39.2951209896022,1.7693843956332889,1.7693843956332889,0.31428571428571433
Gambia,child_iron,admin2,30,37.52573659396891,33.53511088969355,3.9906257042753577,-3.9906257042753577,-0.11181651680045346
Gambia,women_iron,cluster,70,28.182978923167262,37.11091238398412,8.927933460816861,8.927933460816861,0.6067474312058428
Gambia,women_iron,admin1,6,28.182978923167262,24.5436582438601,3.639320679307162,-3.639320679307162,0.7714285714285715
Gambia,women_iron,admin2,30,28.182978923167262,23.85023618130329,4.332742741863971,-4.332742741863971,0.2963218067960341
Ghana,child_vitA,cluster,90,13.17866851916981,15.824785132911268,2.6461166137414587,2.6461166137414587,0.282160438509655
Ghana,child_vitA,admin1,16,13.17866851916981,15.860713599922654,2.6820450807528458,2.6820450807528458,-0.4441176470588235
Ghana,child_vitA,admin2,75,13.17866851916981,15.241267500209466,2.0625989810396566,2.0625989810396566,0.2594813665252578
Ghana,women_vitA,cluster,90,1.15287147640389,1.1921350331198133,0.03926355671592316,0.03926355671592316,0.043845244400733736
Ghana,women_vitA,admin1,16,1.15287147640389,1.0248452470629756,0.1280262293409145,-0.1280262293409145,0.2394847410096739
Ghana,women_vitA,admin2,75,1.15287147640389,1.1900106268163275,0.03713915041243746,0.03713915041243746,0.044160335553481186
Ghana,child_iron,cluster,90,20.196325284094108,17.133276880338972,3.063048403755136,-3.063048403755136,0.08817201699113487
Ghana,child_iron,admin1,16,20.196325284094105,22.430697544796196,2.2343722607020915,2.2343722607020915,0.351729307878893
Ghana,child_iron,admin2,75,20.196325284094108,22.24173394423347,2.0454086601393637,2.0454086601393637,0.5222706334306135
Ghana,women_iron,cluster,90,7.5741650564979395,10.88675459647412,3.312589539976181,3.312589539976181,0.15371864337965024
Ghana,women_iron,admin1,16,7.5741650564979395,7.142256823808892,0.4319082326890475,-0.4319082326890475,-0.31935255150510367
Ghana,women_iron,admin2,75,7.5741650564979395,6.158989495351998,1.4151755611459413,-1.4151755611459413,-0.2325030445048466
Ghana,women_folate,cluster,90,54.58601808320227,51.870835998056805,2.715182085145462,-2.715182085145462,0.14188357737404067
Ghana,women_folate,admin1,16,54.58601808320227,57.10208512664039,2.5160670434381194,2.5160670434381194,-0.11176470588235293
Ghana,women_folate,admin2,75,54.58601808320227,52.64773961774327,1.938278465458998,-1.938278465458998,0.060056593472272345
Ghana,women_b12,cluster,90,7.0083149077539835,9.086197800988014,2.0778828932340314,2.0778828932340314,0.06433202854679088
Ghana,women_b12,admin1,16,7.0083149077539835,6.332319496252155,0.6759954115018285,-0.6759954115018285,-0.32766100459352904
Ghana,women_b12,admin2,75,7.0083149077539835,7.474502387764942,0.4661874800109586,0.4661874800109586,0.2923505131196447
Sierra Leone,child_vitA,cluster,60,12.01283044325294,24.57563645418065,12.56280601092771,12.56280601092771,0.06810075490054328
Sierra Leone,child_vitA,admin1,4,12.012830443252938,10.00759434800085,2.005236095252087,-2.005236095252087,-0.8
Sierra Leone,child_vitA,admin2,14,12.01283044325294,18.807396210841585,6.7945657675886455,6.7945657675886455,-0.0334862307813211
Sierra Leone,women_vitA,cluster,60,1.4246561138413145,3.913265775184426,2.4886096613431117,2.4886096613431117,0.11734578374173343
Sierra Leone,women_vitA,admin1,4,1.4246561138413145,1.0561341467146088,0.36852196712670576,-0.36852196712670576,-0.8
Sierra Leone,women_vitA,admin2,14,1.4246561138413145,1.93157466991755,0.5069185560762355,0.5069185560762355,0.1838133587651387
Sierra Leone,child_iron,cluster,60,5.148373995781412,4.646281243193665,0.5020927525877468,-0.5020927525877468,-0.018459752716259527
Sierra Leone,child_iron,admin1,4,5.148373995781412,5.305548007507048,0.15717401172563664,0.15717401172563664,-1
Sierra Leone,child_iron,admin2,14,5.148373995781412,5.782959342336459,0.6345853465550465,0.6345853465550465,-0.07151842500282787
Sierra Leone,women_iron,cluster,60,9.606178111162942,7.7592591297078695,1.8469189814550728,-1.8469189814550728,-0.049895418703920495
Sierra Leone,women_iron,admin1,4,9.606178111162944,9.601513785950361,0.004664325212581921,-0.004664325212581921,-1
Sierra Leone,women_iron,admin2,14,9.606178111162944,9.495932903604084,0.11024520755885947,-0.11024520755885947,0.053039483530543684
Sierra Leone,women_folate,cluster,59,79.15613905514678,72.67310364806282,6.483035407083959,-6.483035407083959,-0.15991396932851176
Sierra Leone,women_folate,admin1,4,79.15613905514678,70.99867953961623,8.15745951553054,-8.15745951553054,0.2
Sierra Leone,women_folate,admin2,14,79.15613905514678,79.47625284033872,0.32011378519193334,0.32011378519193334,-0.4509479078551241
Sierra Leone,women_b12,cluster,59,0.5231754723792985,0.5523403551173713,0.029164882738072842,0.029164882738072842,-0.03045011824613345
Sierra Leone,women_b12,admin1,4,0.5231754723792986,1.4175871333770118,0.8944116609977133,0.8944116609977133,-0.4
Sierra Leone,women_b12,admin2,14,0.5231754723792985,17.16298312278438,16.639807650405082,16.639807650405082,0.4257959814674328
Malawi,child_vitA,cluster,103,10.168993412708867,10.61749184102123,0.4484984283123647,0.4484984283123647,0.06072340009963081
