outcome,held_out,metric,v1_current,v2_hygiene,delta,lower_better,v2_better,scheme
women_iron,Gambia,mae_pp,41.37,41.76,0.39000000000000057,TRUE,FALSE,ws2b_2026-08
women_iron,Gambia,abs_nat_bias_pp,41.37,41.76,0.39000000000000057,TRUE,FALSE,ws2b_2026-08
women_iron,Gambia,n_selected,2,4,2,FALSE,TRUE,ws2b_2026-08
women_iron,Ghana,pearson_r,0.303,0.338,0.03500000000000003,FALSE,TRUE,ws2b_2026-08
women_iron,Ghana,spearman_r,0.265,0.271,0.006000000000000005,FALSE,TRUE,ws2b_2026-08
women_iron,Ghana,rmse_pp,19.08,16.05,-3.0299999999999976,TRUE,TRUE,ws2b_2026-08
women_iron,Ghana,mae_pp,16,13.63,-2.369999999999999,TRUE,TRUE,ws2b_2026-08
women_iron,Ghana,abs_nat_bias_pp,14.45,10.69,-3.76,TRUE,TRUE,ws2b_2026-08
women_iron,Ghana,n_selected,16,13,-3,FALSE,FALSE,ws2b_2026-08
women_iron,SierraLeone,pearson_r,-0.161,-0.092,0.069,FALSE,TRUE,ws2b_2026-08
women_iron,SierraLeone,spearman_r,-0.332,-0.376,-0.043999999999999984,FALSE,FALSE,ws2b_2026-08
women_iron,SierraLeone,rmse_pp,18.33,15.99,-2.339999999999998,TRUE,TRUE,ws2b_2026-08
women_iron,SierraLeone,mae_pp,14.84,13.61,-1.2300000000000004,TRUE,TRUE,ws2b_2026-08
women_iron,SierraLeone,abs_nat_bias_pp,3.66,7.98,4.32,TRUE,FALSE,ws2b_2026-08
women_iron,SierraLeone,n_selected,12,12,0,FALSE,FALSE,ws2b_2026-08
women_iron,Malawi,pearson_r,-0.02,-0.04,-0.02,FALSE,FALSE,ws2b_2026-08
women_iron,Malawi,spearman_r,0.058,0.047,-0.011000000000000003,FALSE,FALSE,ws2b_2026-08
women_iron,Malawi,rmse_pp,19.65,18.54,-1.1099999999999994,TRUE,TRUE,ws2b_2026-08
women_iron,Malawi,mae_pp,15.01,13.66,-1.3499999999999996,TRUE,TRUE,ws2b_2026-08
women_iron,Malawi,abs_nat_bias_pp,4,4.32,0.3200000000000003,TRUE,FALSE,ws2b_2026-08
women_iron,Malawi,n_selected,16,13,-3,FALSE,FALSE,ws2b_2026-08
