outcome,held_out,n_train,n_test,n_pred,n_selected,pearson_r,pearson_ci_lo,pearson_ci_hi,pearson_perm_p,spearman_r,rmse_pp,mae_pp,nat_bias_pp,calib_slope,n_boot,variant,n_predictors,scheme
child_vitA,Gambia,176,30,30,9,-0.235,NA,NA,NA,-0.255,16.77,12.86,-9.76,-2.3,0,v1_current,149,ws2b_2026-08
child_vitA,Ghana,131,75,30,7,0.226,NA,NA,NA,0.176,11.88,9.67,-3.92,1.79,0,v1_current,149,ws2b_2026-08
child_vitA,SierraLeone,192,14,30,10,0.098,NA,NA,NA,-0.024,8.81,6.63,-5.81,0.13,0,v1_current,149,ws2b_2026-08
child_vitA,Malawi,119,87,30,15,0.133,NA,NA,NA,0.121,14.66,13.05,9.61,0.42,0,v1_current,149,ws2b_2026-08
child_vitA,Gambia,176,30,30,5,-0.231,NA,NA,NA,-0.297,16.88,12.91,-9.94,-2.24,0,v2_hygiene,87,ws2b_2026-08
child_vitA,Ghana,131,75,30,9,0.265,NA,NA,NA,0.193,11.14,9.25,-1.16,1.4,0,v2_hygiene,87,ws2b_2026-08
child_vitA,SierraLeone,192,14,30,12,0.102,NA,NA,NA,0.037,9.15,7.44,-4.05,0.09,0,v2_hygiene,87,ws2b_2026-08
child_vitA,Malawi,119,87,30,10,-0.01,NA,NA,NA,-0.032,12.06,9.94,4.09,-0.04,0,v2_hygiene,87,ws2b_2026-08
women_vitA,Gambia,176,30,30,0,NA,NA,NA,NA,NA,5.49,3.43,-2.61,NA,0,v1_current,149,ws2b_2026-08
women_vitA,Ghana,131,75,30,3,0.064,NA,NA,NA,0.144,4.15,2.41,-0.43,2.39,0,v1_current,149,ws2b_2026-08
women_vitA,SierraLeone,192,14,30,17,-0.121,NA,NA,NA,-0.21,1.88,1.24,-1.07,-1.23,0,v1_current,149,ws2b_2026-08
women_vitA,Malawi,119,87,30,9,0.034,NA,NA,NA,0.079,4.66,2.05,-1,0.81,0,v1_current,149,ws2b_2026-08
women_vitA,Gambia,176,30,30,1,-0.024,NA,NA,NA,-0.052,5.48,3.44,-2.59,-5.41,0,v2_hygiene,87,ws2b_2026-08
women_vitA,Ghana,131,75,30,10,0.252,NA,NA,NA,0.254,4.08,3.1,0.76,1.44,0,v2_hygiene,87,ws2b_2026-08
women_vitA,SierraLeone,192,14,30,11,-0.005,NA,NA,NA,-0.32,1.84,1.22,-1.03,-0.05,0,v2_hygiene,87,ws2b_2026-08
women_vitA,Malawi,119,87,30,10,0.022,NA,NA,NA,0.037,4.63,2.17,-0.84,0.59,0,v2_hygiene,87,ws2b_2026-08
child_iron,Gambia,176,30,30,7,0.509,NA,NA,NA,0.51,47.96,46.08,-46.08,1.33,0,v1_current,149,ws2b_2026-08
child_iron,Ghana,131,75,30,10,0.444,NA,NA,NA,0.398,16.8,13.13,-0.52,0.73,0,v1_current,149,ws2b_2026-08
child_iron,SierraLeone,192,14,30,16,-0.159,NA,NA,NA,0.046,13.14,8.28,5,-0.07,0,v1_current,149,ws2b_2026-08
child_iron,Malawi,119,87,30,18,0.016,NA,NA,NA,-0.009,30.61,26.83,24.74,0.02,0,v1_current,149,ws2b_2026-08
child_iron,Gambia,176,30,30,7,0.498,NA,NA,NA,0.472,47.14,45.19,-45.19,1.37,0,v2_hygiene,87,ws2b_2026-08
child_iron,Ghana,131,75,30,10,0.424,NA,NA,NA,0.396,17.04,13.26,-0.14,0.69,0,v2_hygiene,87,ws2b_2026-08
child_iron,SierraLeone,192,14,30,10,-0.141,NA,NA,NA,0.121,11.35,7.38,4.51,-0.08,0,v2_hygiene,87,ws2b_2026-08
child_iron,Malawi,119,87,30,14,-0.021,NA,NA,NA,-0.047,17.22,13.92,5.83,-0.06,0,v2_hygiene,87,ws2b_2026-08
women_iron,Gambia,176,30,30,2,-0.704,NA,NA,NA,-0.695,44.48,41.37,-41.37,-93.94,0,v1_current,149,ws2b_2026-08
women_iron,Ghana,131,75,30,16,0.303,NA,NA,NA,0.265,19.08,16,14.45,0.39,0,v1_current,149,ws2b_2026-08
women_iron,SierraLeone,192,14,30,12,-0.161,NA,NA,NA,-0.332,18.33,14.84,-3.66,-0.07,0,v1_current,149,ws2b_2026-08
women_iron,Malawi,119,87,30,16,-0.02,NA,NA,NA,0.058,19.65,15.01,4,-0.04,0,v1_current,149,ws2b_2026-08
women_iron,Gambia,176,30,30,4,-0.695,NA,NA,NA,-0.671,44.86,41.76,-41.76,-65.19,0,v2_hygiene,87,ws2b_2026-08
women_iron,Ghana,131,75,30,13,0.338,NA,NA,NA,0.271,16.05,13.63,10.69,0.46,0,v2_hygiene,87,ws2b_2026-08
women_iron,SierraLeone,192,14,30,12,-0.092,NA,NA,NA,-0.376,15.99,13.61,-7.98,-0.05,0,v2_hygiene,87,ws2b_2026-08
women_iron,Malawi,119,87,30,13,-0.04,NA,NA,NA,0.047,18.54,13.66,-4.32,-0.12,0,v2_hygiene,87,ws2b_2026-08
