country,outcome,model_type,auc_patched,brier_patched,rmse_patched,mae_patched,r2_patched,r_patched,auc_baseline,brier_baseline,rmse_baseline,mae_baseline,r2_baseline,r_baseline,auc_delta,brier_delta,rmse_delta,mae_delta,r2_delta,r_delta
Ghana,women_iron,continuous,NA,NA,0.7573767693362341,0.6099623516115811,0.15675268650964347,0.40062874794536935,NA,NA,0.7587486140867824,0.6112499068919853,0.1536951539486321,0.3971595868197237,NA,NA,-0.0013718447505483011,-0.0012875552804042512,0.003057532561011378,0.003469161125645659
Ghana,women_iron,binary,0.7425604422142915,0.07260346772464152,NA,NA,NA,NA,0.719711809375587,0.07337089285037757,NA,NA,NA,NA,0.02284863283870453,-7.674251257360487e-4,NA,NA,NA,NA
