country,outcome,model_type,auc_patched,brier_patched,rmse_patched,mae_patched,r2_patched,r_patched,auc_baseline,brier_baseline,rmse_baseline,mae_baseline,r2_baseline,r_baseline,auc_delta,brier_delta,rmse_delta,mae_delta,r2_delta,r_delta
Ghana,women_iron,continuous,NA,NA,0.7573767693362341,0.6099623516115811,0.15675268650964347,0.40062874794536935,NA,NA,0.7587486140867824,0.6112499068919853,0.1536951539486321,0.3971595868197237,NA,NA,-0.0013718447505483011,-0.0012875552804042512,0.003057532561011378,0.003469161125645659
Ghana,women_iron,binary,0.7425604422142915,0.07260346772464152,NA,NA,NA,NA,0.719711809375587,0.07337089285037757,NA,NA,NA,NA,0.02284863283870453,-7.674251257360487e-4,NA,NA,NA,NA
Malawi,women_iron,continuous,NA,NA,38.15467272233508,22.621922259478946,0,NA,NA,NA,38.15467272233508,22.621922259478943,0,NA,NA,NA,0,3.552713678800501e-15,0,NA
Malawi,women_iron,binary,0.7964900741449414,0.07746039165831964,NA,NA,NA,NA,0.7953539823008849,0.07731566291937372,NA,NA,NA,NA,0.001136091844056497,1.447287389459151e-4,NA,NA,NA,NA
Ghana,women_b12,continuous,NA,NA,215.28953037082013,168.38859600448293,0.24296196843997375,0.5024946287743318,NA,NA,216.95935612898765,169.88275745954843,0.23117296983594615,0.4921607328395284,NA,NA,-1.6698257581675193,-1.4941614550654947,0.0117889986040276,0.010333895934803439
Ghana,women_b12,binary,0.851039260969977,0.06485754858099703,NA,NA,NA,NA,0.8553695150115473,0.0646892312016628,NA,NA,NA,NA,-0.004330254041570392,1.6831737933423185e-4,NA,NA,NA,NA
