country,outcome,model_type,auc_patched,brier_patched,rmse_patched,mae_patched,r2_patched,r_patched,auc_baseline,brier_baseline,rmse_baseline,mae_baseline,r2_baseline,r_baseline,auc_delta,brier_delta,rmse_delta,mae_delta,r2_delta,r_delta
Ghana,women_b12,continuous,NA,NA,215.28953037082013,168.38859600448293,0.24296196843997375,0.5024946287743318,NA,NA,216.95935612898765,169.88275745954843,0.23117296983594615,0.4921607328395284,NA,NA,-1.6698257581675193,-1.4941614550654947,0.0117889986040276,0.010333895934803439
Ghana,women_b12,binary,0.851039260969977,0.06485754858099703,NA,NA,NA,NA,0.8553695150115473,0.0646892312016628,NA,NA,NA,NA,-0.004330254041570392,1.6831737933423185e-4,NA,NA,NA,NA
