"name","label"
"cdzlbl002","Now I will ask you questions about ${nm1}'s diet. Please answer only for ${nm1}."
"cdzcl008","Sometimes babies are fed breast milk in different ways, for example by spoon, cu"
"cdzcba","NULL"
"cdzcgm","29. Now I would like to ask you about some medicines and vitamins that are somet"
"cdzcors","30. Was ${nm1} given ORS yesterday during the day or at night?"
"cegenerated_table_list_label_78","NULL"
"celbl003","31. Next I would like to ask you about some liquids that ${nm1} may have had yes"
"cel009","Did ${nm1} have any (item from the list)?: <span style=""color:gray"">Read the lis"
"cepwt","A. Plain water?"
"cecinf","B. Infant formula such as Lactogen, SMA gold/progressive/white, Nan 1 or 2, or B"
"cecmlk","C. Milk (such as tinned, powdered, or fresh animal milk) or Yogurt?"
"cecjdk","D. Juice or juice drinks?"
"cecbth","E. Clear broth?"
"cectpg","F. Thin porridge (e.g. koko)?"
"cecliq","G. Liquids such as sweet tea, herbal tea, or soda (e.g. coca cola, fanta), drink"
"cecol","H. Any other liquids?"
"cinfn","B1. How many times yesterday during the day or at night did ${nm1} drink infant"
"cmlkn","C1. How many times yesterday during the day or at night did ${nm1} drink milk?"
"coln","Specify any other liquids that ${nm1} had yesterday during the day or at night."
"cglbl004","32. Now I will ask you questions about ${nm1}'s diet. Please answer only for ${n"
"cglbl006","Did ${nm1} have anything to eat or drink when you woke? If yes, what? Anything e"
"cglbl007","Did ${nm1} have anything to eat or drink later in the morning? If yes, what? Any"
"cglbl008","Did ${nm1} eat or drink anything at mid-day? If yes, what? Anything else?"
"cglbl009","Did ${nm1} have anything to eat or drink during the afternoon? If yes, what? Any"
"cglbl010","Did ${nm1} have anything to eat in the evening? If yes, what? Anything else?"
"cglbl011","Did ${nm1} have anything else to eat or drink in the evening before going to bed"
"cglbl012","<span style=""color:gray"">If yes, </span>what? Anything else?"
"cglbl013","<span style=""color:gray"">As the respondent recalls foods, select ""yes"" in the co"
"cglbl014","<span style=""color:gray"">While the respondent recalls foods only yes can be tick"
"cfdggenerated_table_list_label_1","NULL"
"cfdgchg1","A. Foods made from grains"
"cfdgchg2","B. Vitamin A-rich vegetables, roots and tubers"
"cfdgchg3","C. White roots and tubers and plantains"
"cfdgchg4","D. Dark green leafy vegetables"
"cfdgchg5","E. Vitamin A-rich fruits"
"cfdgchg6","F. Any other fruits or vegetables"
"cfdgchg7","G. Organ meats"
"cfdgchg8","H. Meat and poultry"
"cfdgchg9","I. Eggs"
"cfdgchg10","J. Fish and seafood?"
"cfdgchg11","K. Pulses (beans, peas, nuts and lentils)"
"cfdgchg12","L. Milk and milk products"
"cfdgchg13","M. Any oil, fats, or butter, or foods made with any of these?"
"cfdgchg14","N. Sweets"
"cfdgchg15","O. Condiments and seasonings"
"cfdgchg16","P. Insects and other small protein food"
"cfdgchg17","Q. Red palm oil"
"cfdgchg18","R. Other foods"
"ofds","Specify other foods"
"fsc","NULL"
"csf","33. Did ${nm1} eat solid, semi-solid, or soft foods yesterday during the day or"
"l015","Please go back to question 32 and probe again"
"ssfn","34. How many times did ${nm1} eat solid, semi-solid, or soft foods yesterday, du"
"dnp","35. Yesterday, during the day or night, did ${nm1} drink anything from a bottle"
"cil016","Now I would like to ask you about some particular foods ${nm1} may have eaten. I"
"ciiff","36. Yesterday, during the day or night, did ${nm1} consume any iron-fortified co"
"cirutf","37. Yesterday, during the day or night, did ${nm1} consume any Ready-to-use Ther"
"ciifi","38. Yesterday, during the day or night, did ${nm1} consume any infant formula co"
"cimnp","39. Yesterday, during the day or night, did ${nm1} consume micronutrient powders"
"ciits","40. During the last six months was ${nm1} given any iron tablets or syrup such a"
"cti","41. Is ${nm1} still taking iron tablets or syrup?"
"stts","42. When did ${nm1} stop taking iron tablets or syrup?"
"itf","43. For how long has ${nm1} taken iron tablets or syrup?"
"cjlbl005","Now I would like to ask you about some additional medicines ${nm1} may have rece"
"cjvta","44. During the last six months was ${nm1} given a vitamin A capsule?"
"cjvta_dt","Specify date ${nm1} was given vitamin A capsule"
"cjmvt","45. During the last six months was ${nm1} given any multi-vitamins, such as Abed"
"cjdiw","46. During the last six month, was ${nm1} given any drug for intestinal worms, s"
"ccom","Comments about data collection with this child:"
"metainstanceID","NULL"
"metainstanceName","NULL"
"hhln","NULL"
"hhln2","NULL"
"cnum","Cluster number"
"indivID","NULL"
"sx","NULL"
"age_days","#days old, calculated as interview date - birth date"
"age_months","#months old, calculated as (interview date - birth date)/30.42"
"iAME","Indivual AME for each person"
"hOilLiterAMEDay","Quantity of vegetable oil in Liters consumed per AME in household per day"
"cREOil_day","Retinol Equiv (RE) consumer per day from vegetable oil"
"cRE_RNI","RNI for vitamin A of children women 0-6 years"
"cPctRNI_REOil","Percent of RNI of RE from Oil"
"Team_Number","NULL"
"Region","NULL"
"Strata","NULL"
"Number_of_households_LISTED_in__","NULL"
"Number_of_Women_Biological_Forms","NULL"
"Number_of_Child_Biological_forms","NULL"
"Number_of_household_based_on_201","NULL"
"Actual_probablity_of_section_usi","NULL"
"Corrected_probability_of_selecti","NULL"
"PSU_weight","NULL"
"Number_of_households_selected","NULL"
"Check_1","NULL"
"PSUStrat_weight","NULL"
"Check_2_","NULL"
"cttp","NULL"
"res","Residence: Urban(1) Rural(2)"
"region","c(Western = 1, Central = 2, `Greater Accra` = 3, Volta = 4, Eastern = 5, Ashanti = 6, `Brong Ahafo` = 7, Northern = 8, `Upper East` = 9, `Upper West` = 10)"
"strata","Survey Strata 1-South 2-Middle 3-North"
"headlanguage","Language of Household head"
"hDrinkWaterSafeYN","Household drinking water safe 0-Unsafe 1-Safe"
"hSanitation","Household sanitation (toilet) facility quality 0-Unimproved 1-Improved"
"pctopendef","% of hhs in cluster that do not have toilet facility and go in bush or field"
"hHandwashingH2OYN","Water available at handwashing site"
"hAnySoap","NULL"
"hVegoilRetinol","Concentration of vitamin A in Veg oil mg RE/kg or ppm"
"hVegoilAdeqYN","Adequately fortified Veg oil 0=No 1=Yes"
"hWealthquintile","Household wealth quintile"
"cln","Child label number"
"bccn","1. Cluster number"
"bchnc","2. HH ID from cluster control form"
"bclnr","4. Child´s line number from HH roster"
"bam1","5. Child's age in months"
"bcic","6. Written informed consent given for anthropometry and phlebotomy?"
"bcgln","7. Caregiver line number from HH roster"
"bmrdr","8. Child selected for MRDR test?"
"mcn","9. Anthorpometrist’s code number"
"cwt","10. Child’s weight (kg)"
"cd","11. Was the child mostly undressed (i.e. wearing only light under clothes)"
"cht","12. Child’s length or height (cm)"
"ecrmm","Reason why height/length measurement missing"
"echcm","13. How was the child actually measured; lying down or standing up?"
"ecepf","14. Edema present in both feet?"
"cres","15. Result of weight and length/height measurements"
"res_o","Specify other reason"
"cpcn","16. Phlebotomist’sID number:"
"fl022","<span style=""color:gray"">Note current time and add 4-5 hours, note expected retu"
"fctm","Current time"
"fatm","Anticipated time"
"gcl023","Collect blood sample from child's heel"
"gcl024","Collect blood sample from child's finger"
"gpcln","19. Child label number"
"gchb","20. Hemoglobin concentration (g/dL)"
"gcmst","21. Malaria RDT result"
"gctbf","22. Tube filling"
"hcanref","23. Child referred to health center for anemia?"
"hcmalref","24. Child referred to health center for malaria?"
"hcsamref","25. Child referred to health center for SAM?"
"cl025","${cnm}'s hb is below 7g/dL. Please refer ${cnm} to the nearest health center."
"cl026","${cnm} tested positive for malaria. Please refer ${cnm} to the nearest health ce"
"cmob","Measurer's observations"
"fer","NULL"
"sTFR","NULL"
"bis","NULL"
"rbp","NULL"
"crp","NULL"
"agp","NULL"
"sickle_genotype","NULL"
"thal_genotype","NULL"
"momID","NULL"
"wPreg","Women is pregnant 0=No 1=Yes"
"wCurrLact","Woman currently lactating"
"wAgeYears","Age in years"
"wAgeYearsCat","Age categories"
"wAgeYearsCatPreg","Age groups for pregnant women"
"wEducCat","Education categories"
"wRead","Woman's literacy status"
"wMarital","Women's marital status"
"wJobtemp","NULL"
"wJob","Woman's occupation category"
"wFoodGrp1","NULL"
"wFoodGrp2","NULL"
"wFoodGrp3","NULL"
"wFoodGrp4","NULL"
"wFoodGrp5","NULL"
"wFoodGrp6","NULL"
"wFoodGrp7","NULL"
"wFoodGrp8","NULL"
"wFoodGrp9","NULL"
"wFoodGrp10","NULL"
"wFoodGrpScore","NULL"
