country,outcome,prev,ceiling_vc,mean_clusters_per_unit,infill,infill_jk,transport,nutrient,pop,keep,headroom
Gambia,child_iron,0.6014908504871668,0.6971,2.33,0.411479421579533,0.142041238732795,0.420689655172414,iron,children,True,0.5902731625011232
Gambia,child_vitA,0.18597948568841266,0.6004,2.33,0.69392658509455,0.529357252071725,0.612903225806452,vitA,children,True,1.1557737926291638
Gambia,women_iron,0.453590196630317,0.7432,2.33,0.678620689655172,0.47114260666798,0.590656284760845,iron,women,True,0.9131064177276265
Gambia,women_vitA,0.02565588358198404,0.7568,2.33,0.69503893214683,0.477084350413045,0.769076751946607,vitA,women,True,0.9183918236612447
Ghana,child_iron,0.22598498395698513,0.745,1.2,0.529337126600284,0.35554553965547,0.553684210526316,iron,children,True,0.7105196330205155
Ghana,child_vitA,0.2756891525937988,0.335,1.2,0.276981507823613,0.40962831663837,0.366543385490754,vitA,children,True,0.8268104711152627
Ghana,women_b12,0.0847201202454448,0.6032,1.2,0.56572119487909,0.486460786332197,0.594196301564722,b12,women,True,0.9378667023857593
Ghana,women_folate,0.5456540704390043,0.6337,1.2,0.382614509246088,0.394828388943136,-0.0689900426742532,folate,women,True,0.6037786164527189
Ghana,women_iron,0.1344328790586909,0.5018,1.2,0.402241820768137,0.371318679818913,0.348364153627311,iron,women,True,0.8015978891353867
Ghana,women_vitA,0.030516858609741383,0.4093,1.2,0.46728307254623,0.331680030355027,0.307596017069701,vitA,women,True,1.1416639935163206
Malawi,child_iron,0.208499285240558,0.4468,1.18,0.351749653714369,0.40612056738406,-0.064008165050667,iron,children,True,0.78726422048874
Malawi,child_vitA,0.0036106309151124846,0.5471,1.18,0.21564299774003,0.031838163134576,0.261190493548152,vitA,children,False,0.3941564572108024
Malawi,child_zinc,0.5805754058373164,,,-0.105216155135963,-0.06912917318355,,zinc,children,False,
Malawi,women_b12,0.10926812813120002,0.6896,1.18,0.695979441568856,0.577744810108721,0.449168914485675,b12,women,True,1.0092509303492692
Malawi,women_folate,0.20443527351551205,0.6597,1.18,0.411310782241015,0.361320018722982,0.0842020850040096,folate,women,True,0.6234815556177279
Malawi,women_iron,0.17507832402575668,0.4758,1.18,0.243697601516366,0.117428299885379,0.218834293212802,iron,women,True,0.5121849548473434
Malawi,women_vitA,0.002458176662084731,0.0,1.18,0.294710942625939,0.107611612195153,0.240796092440038,vitA,women,False,inf
Malawi,women_zinc,0.6259021290990068,,,-0.0267514762703215,0.148934672912407,,zinc,women,False,
SierraLeone,child_iron,0.05304640373782515,0.6228,4.29,,,0.221978021978022,iron,children,True,
SierraLeone,child_vitA,0.06690203992422558,0.0,4.29,,,0.0417582417582418,vitA,children,False,
SierraLeone,women_b12,0.005956630651641674,0.0,4.21,,,0.56043956043956,b12,women,False,
SierraLeone,women_folate,0.7983847861835753,0.6222,4.21,,,0.195604395604396,folate,women,True,
SierraLeone,women_iron,0.18012904223641166,,,,,-0.032967032967033,iron,women,False,
SierraLeone,women_vitA,0.010409075995973472,0.0,4.29,,,-0.0241758241758242,vitA,women,False,
