"country","outcome","n","p","n_bin_pos","n_bin_tot","prev"
"Gambia","women_iron",1402,1250,437,1402,0.312
"Gambia","child_vitA",1020,1250,266,1020,0.261
"Gambia","child_iron",1013,1250,425,1013,0.42
"Gambia","women_vitA",1413,1250,42,1413,0.03
"Ghana","women_iron",981,1742,83,981,0.085
"Ghana","child_vitA",1165,1742,240,1165,0.206
"Ghana","child_iron",1165,1742,278,1165,0.239
"Ghana","women_vitA",992,1742,13,992,0.013
"Ghana","women_b12",473,1742,40,473,0.085
"Ghana","women_folate",475,1742,260,475,0.547
"SierraLeone","women_iron",774,1045,73,774,0.094
"SierraLeone","child_vitA",486,1045,89,486,0.183
"SierraLeone","child_iron",486,1045,28,486,0.058
"SierraLeone","women_vitA",774,1045,18,774,0.023
"SierraLeone","women_b12",768,1045,4,768,0.005
"SierraLeone","women_folate",766,1045,608,766,0.794
"Malawi","women_iron",752,1037,74,752,0.098
"Malawi","child_vitA",1102,1037,219,1102,0.199
"Malawi","child_iron",1102,1037,107,1102,0.097
"Malawi","women_vitA",807,1037,17,807,0.021
"Malawi","women_b12",809,1037,23,809,0.028
"Malawi","women_folate",799,1037,1,799,0.001
