country,outcome,anchor_prevalence,anchor_year,survey_year,year_gap,anchor_type,population_label,indicator,source,source_url,source_note,license,usable_as_anchor
Gambia,child_vitA,0.473,1999,2018,19,single_nutrient,Preschool-age children,Retinol (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Ghana,child_any_deficiency,0.5731101632118225,2017,2017,0,composite,Preschool-age children,any micronutrient deficiency (composite),Stevens et al. 2022,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00367-9/fulltext,Composite across nutrients; cannot anchor a single-nutrient map.,See the publication's terms.,FALSE
Ghana,women_any_deficiency,0.8111246824264526,2017,2017,0,composite,Non-pregnant women,any micronutrient deficiency (composite),Stevens et al. 2022,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00367-9/fulltext,Composite across nutrients; cannot anchor a single-nutrient map.,See the publication's terms.,FALSE
Ghana,women_b12,0.069,2017,2017,0,single_nutrient,Non-pregnant women (NPW),Vitamin B12,WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Ghana,women_folate,0.5379999999999999,2017,2017,0,single_nutrient,Non-pregnant women (NPW),Folate (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Malawi,child_any_deficiency,0.7402424812316895,2015,2016,1,composite,Preschool-age children,any micronutrient deficiency (composite),Stevens et al. 2022,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00367-9/fulltext,Composite across nutrients; cannot anchor a single-nutrient map.,See the publication's terms.,FALSE
Malawi,child_vitA,0.597,2001,2016,15,single_nutrient,Preschool-age children,Retinol (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Malawi,child_zinc,0.5670000000000001,2015,2016,1,single_nutrient,Preschool-age children,Zinc (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Malawi,women_any_deficiency,0.7249600887298584,2015,2016,1,composite,Non-pregnant women,any micronutrient deficiency (composite),Stevens et al. 2022,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00367-9/fulltext,Composite across nutrients; cannot anchor a single-nutrient map.,See the publication's terms.,FALSE
Malawi,women_b12,0.129,2015,2016,1,single_nutrient,Non-pregnant women (NPW),Vitamin B12,WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Malawi,women_vitA,0.557,2001,2016,15,single_nutrient,Women of reproductive age,Retinol (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Malawi,women_zinc,0.618,2015,2016,1,single_nutrient,Non-pregnant women (NPW),Zinc (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Sierra Leone,women_b12,0,2013,2013,0,single_nutrient,Non-pregnant women (NPW),Vitamin B12,WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
Sierra Leone,women_folate,0.8420000000000001,2013,2013,0,single_nutrient,Non-pregnant women (NPW),Folate (plasma or serum),WHO VMNIS,https://www.who.int/data/nutrition/nlis/info/vitamin-and-mineral-nutrition-information-system,Derived by scripts/pull_vmnis_validation.R from a local WHO long-format extract outside this repository; no machine endpoint was used.,WHO VMNIS terms of use apply; see the WHO nutrition data platform.,TRUE
