"domain","n_vars","n_perm_valid","baseline_auc","solo_auc","recovery_auc","solo_auc_lo","solo_auc_hi","baseline_brier","solo_brier"
"Adult Health",1,50,0.77507229232387,0.517304659063334,0.0629094952353821,0.489088661732589,0.550469836912562,0.124754603423739,0.175684780199394
"Adult Nutrition",2,50,0.77507229232387,0.512124231578096,0.0440765279398657,0.49059801676373,0.542840532233277,0.124754603423739,0.174657039159387
"Child Health",23,50,0.77507229232387,0.520506046267087,0.0745478437462669,0.488670579551889,0.557630947686646,0.124754603423739,0.171503510259294
"Child Nutrition",7,50,0.77507229232387,0.51681362735582,0.0611243946592174,0.492004873412602,0.542197294851573,0.124754603423739,0.174641138512724
"Climate",11,50,0.77507229232387,0.56636046064871,0.241247346608713,0.543241868377417,0.60235013245167,0.124754603423739,0.15699697611157
"Education",12,50,0.77507229232387,0.519794093262153,0.0719596041278039,0.478516541292566,0.564764822454097,0.124754603423739,0.171632026992007
"Employment",4,50,0.77507229232387,0.515497553182884,0.0563399281401908,0.498350294224703,0.542546307530535,0.124754603423739,0.175262285643694
"Environment",6,50,0.77507229232387,0.516396252932136,0.0596070683587109,0.481991122704845,0.547981186301868,0.124754603423739,0.171355359612754
"Family Planning",9,50,0.77507229232387,0.532793264175362,0.11921689348759,0.483318672652269,0.570793837964086,0.124754603423739,0.167944766510933
"Fertility",5,50,0.77507229232387,0.515198121410661,0.0552513714931584,0.489506554335517,0.550326895272183,0.124754603423739,0.17558493552295
"Food Security",19,50,0.77507229232387,0.535245793901157,0.128132839565165,0.500698783669012,0.571901351310362,0.124754603423739,0.161437605261002
"Health and Development",11,50,0.77507229232387,0.518262102644989,0.0663901932495887,0.489898537976219,0.548201728443743,0.124754603423739,0.171832169640266
"HIV/AIDS",21,50,0.77507229232387,0.520970638194613,0.0762368249359052,0.490484586063253,0.550889941256168,0.124754603423739,0.172148727084059
"Household Characteristics",56,50,0.77507229232387,0.523769311655747,0.0864111447028663,0.491638419578581,0.556132209010758,0.124754603423739,0.167352556833708
"Infant and Child Mortality",2,50,0.77507229232387,0.51766359297905,0.0642143664482692,0.488287695644261,0.551178036277602,0.124754603423739,0.174710693044124
"Infectious Disease",6,50,0.77507229232387,0.514239666747553,0.0517669977853946,0.49204841310766,0.547496625515651,0.124754603423739,0.169300829183303
"Infrastructure",2,50,0.77507229232387,0.517535033972337,0.0637470020124422,0.487991701548977,0.552920382391005,0.124754603423739,0.171853405277734
"Malaria",16,50,0.77507229232387,0.515363534336326,0.0558527149591537,0.492519071523902,0.544416618640298,0.124754603423739,0.174594293083736
"Marriage",3,50,0.77507229232387,0.514229808703389,0.0517311597732099,0.486669396586589,0.555485496036561,0.124754603423739,0.17422692612135
"Missingness Indicators",9,50,0.77507229232387,0.516935260454582,0.061566580594176,0.48718921883847,0.552167442671682,0.124754603423739,0.17457247480016
"Reproductive Health",10,50,0.77507229232387,0.51981628650004,0.0720402856013893,0.483894293961822,0.558129284457656,0.124754603423739,0.171515068491615
"Sexual Activity",6,50,0.77507229232387,0.514262871066893,0.0518513549525377,0.490674227028229,0.537401735521314,0.124754603423739,0.175454321094108
"Survey Characteristics",17,50,0.77507229232387,0.519130621612877,0.0695476140154196,0.483670149842271,0.549072838307854,0.124754603423739,0.17313344464922
"Survey Indicators",2,50,0.77507229232387,0.511397415675807,0.0414342556261086,0.484766288522203,0.54247041322899,0.124754603423739,0.174697158811628
"Unknown",6,50,0.77507229232387,0.531883846962711,0.115910790917361,0.491975109702338,0.570324001051525,0.124754603423739,0.16708614397047
"Water and Sanitation",33,50,0.77507229232387,0.526810796327752,0.0974681822776436,0.476966174269999,0.570228959394969,0.124754603423739,0.167039145713204
"Women's Empowerment",3,50,0.77507229232387,0.510304841057996,0.0374623011679518,0.483256617528108,0.550421368195422,0.124754603423739,0.175617538521812
