"domain","n_vars","n_perm_valid","baseline_auc","perm_auc","auc_drop","auc_drop_lo","auc_drop_hi","baseline_brier","perm_brier","brier_increase"
"Adult Health",1,50,0.77507229232387,0.775427131359702,-0.000354839035832666,-0.00106239383644735,0.000291191458383966,0.124754603423739,0.124747170101107,-7.43332263158925e-06
"Adult Nutrition",2,50,0.77507229232387,0.775547601714794,-0.00047530939092455,-0.00117140105556901,0.000220731719647316,0.124754603423739,0.124762899626927,8.29620318819335e-06
"Child Health",23,50,0.77507229232387,0.77334056256572,0.00173172975814939,-0.00142069582625581,0.0043928329491224,0.124754603423739,0.125214501242208,0.000459897818469154
"Child Nutrition",7,50,0.77507229232387,0.774322019331877,0.000750272991992262,-0.000340671256976455,0.00202469060907551,0.124754603423739,0.124869936671083,0.000115333247344168
"Climate",11,50,0.77507229232387,0.762505712610208,0.0125665797136618,0.00513300776510561,0.0203425164806277,0.124754603423739,0.127334080666174,0.002579477242435
"Education",12,50,0.77507229232387,0.773904594354121,0.00116769796974847,-0.0018537546509747,0.00384703854242507,0.124754603423739,0.125229808206231,0.000475204782492009
"Employment",4,50,0.77507229232387,0.775269048774569,-0.000196756450699609,-0.00100236087519212,0.000536947443986135,0.124754603423739,0.124764523152491,9.91972875145908e-06
"Environment",6,50,0.77507229232387,0.770928678314325,0.00414361400954466,0.000926276995874886,0.00799209334303974,0.124754603423739,0.125114852165057,0.000360248741317501
"Family Planning",9,50,0.77507229232387,0.772869651379115,0.00220264094475453,-0.00128243043759591,0.00771935412116809,0.124754603423739,0.125525011680816,0.000770408257077179
"Fertility",5,50,0.77507229232387,0.775267835476826,-0.000195543152956335,-0.00142417141874951,0.000673696210466868,0.124754603423739,0.12476800755604,1.34041323009426e-05
"Food Security",19,50,0.77507229232387,0.753483883361644,0.021588408962226,0.014059719526005,0.0291587675928173,0.124754603423739,0.12864732544214,0.00389272201840131
"Health and Development",11,50,0.77507229232387,0.770263133948071,0.00480915837579876,0.00146682641753626,0.00806868276308337,0.124754603423739,0.125226273614477,0.000471670190738169
"HIV/AIDS",21,50,0.77507229232387,0.773379691417941,0.00169260090592904,-0.00124078652026205,0.00428471042627199,0.124754603423739,0.125130920453293,0.000376317029553805
"Household Characteristics",56,50,0.77507229232387,0.771397415675807,0.00367487664806276,-0.000379724278087745,0.00749767451265881,0.124754603423739,0.125870470233251,0.00111586680951196
"Infant and Child Mortality",2,50,0.77507229232387,0.774670741324921,0.000401550998948452,-0.000556221184178529,0.00153697019331889,0.124754603423739,0.12482312360716,6.85201834205867e-05
"Infectious Disease",6,50,0.77507229232387,0.771425422632047,0.00364686969182237,0.000626807308096833,0.0074315750626871,0.124754603423739,0.125679701813522,0.000925098389783011
"Infrastructure",2,50,0.77507229232387,0.772156788400874,0.00291550392299611,0.000716224824071854,0.00529705573080963,0.124754603423739,0.125012332793124,0.000257729369384604
"Malaria",16,50,0.77507229232387,0.77423001091968,0.00084228140418996,-0.000631420367224855,0.00225224712852878,0.124754603423739,0.124962082583771,0.000207479160031498
"Marriage",3,50,0.77507229232387,0.775513224945402,-0.000440932621531998,-0.00110618630186854,0.000222058764054123,0.124754603423739,0.124735841190772,-1.87622329668874e-05
"Missingness Indicators",9,50,0.77507229232387,0.772197888861927,0.0028744034619429,0.000962802313354438,0.00487094809107835,0.124754603423739,0.124864359468062,0.000109756044322437
"Reproductive Health",10,50,0.77507229232387,0.77438880126183,0.00068349106204002,-0.00264391480627679,0.0030614914462509,0.124754603423739,0.125122138601118,0.000367535177379266
"Sexual Activity",6,50,0.77507229232387,0.775276581331392,-0.000204289007522451,-0.00135112078379029,0.000564562606163554,0.124754603423739,0.124777082854939,2.24794312002896e-05
"Survey Characteristics",17,50,0.77507229232387,0.775549168891046,-0.00047687656717621,-0.00181331139286578,0.000608355071584632,0.124754603423739,0.124827094868837,7.24914450983827e-05
"Survey Indicators",2,50,0.77507229232387,0.77388538380652,0.00118690851735015,0.000206260616355314,0.00206709283749895,0.124754603423739,0.124944157577605,0.000189554153865693
"Unknown",6,50,0.77507229232387,0.771138882148346,0.00393341017552373,-0.00040923521798919,0.00749476765348223,0.124754603423739,0.126000873698464,0.00124627027472508
"Water and Sanitation",33,50,0.77507229232387,0.771086103696514,0.00398618862735589,-0.000639129863301835,0.00799885495025487,0.124754603423739,0.125830683470871,0.00107608004713232
"Women's Empowerment",3,50,0.77507229232387,0.774836963115749,0.000235329208121082,-0.000493534134109797,0.00120729444714074,0.124754603423739,0.124756138685294,1.53526155448336e-06
