"country","outcome","Admin1","Admin2","surveyed","y_prev","n_psu","pred_fit","pred_med","pred_lo","pred_hi","p_ge20","p_ge10","refits"
"Malawi","women_iron","Dedza","Dedza Boma",FALSE,NA,NA,0.0369238054251931,0.0476081015538586,0.0116090571377592,0.187533830728313,0.045,0.17,200
"Malawi","women_iron","Dedza","SC Chauma",FALSE,NA,NA,0.0114325959550719,0.0181270249583149,0.00775995333801412,0.0479760480070666,0,0.005,200
"Malawi","women_iron","Dedza","SC Chilikumwendo",FALSE,NA,NA,0.00384571044424852,0.00837604567694868,0.00272349087452344,0.0347697485621516,0,0,200
"Malawi","women_iron","Dedza","SC Kamenya Gwaza",FALSE,NA,NA,0.0120272323409879,0.0186601613126371,0.00654012724183765,0.0656381666506209,0,0.01,200
"Malawi","women_iron","Dedza","TA Kachindamoto",FALSE,NA,NA,0.0296950289129722,0.0380074733137694,0.011420147659963,0.153833787793682,0.02,0.165,200
"Malawi","women_iron","Dedza","TA Kaphuka",TRUE,0.166666666666667,1,0.00596516415083169,0.0118136253504366,0.00446693984280466,0.0333650829607095,0,0,200
"Malawi","women_iron","Dedza","TA Kasumbu",FALSE,NA,NA,0.00882268880696765,0.0141724252919138,0.00513964490227892,0.0466924338879419,0,0,200
"Malawi","women_iron","Dedza","TA Pemba",TRUE,0,1,0.00298552031357179,0.00670661618083125,0.00229701551015747,0.024053472127819,0,0,200
"Malawi","women_iron","Dedza","TA Tambala",TRUE,0.1,1,0.00575327217769809,0.0103950875311261,0.00363901806798353,0.0291484179094368,0,0,200
"Malawi","women_iron","Dowa","Dowa Boma",FALSE,NA,NA,0.0323749464259448,0.0359918893697037,0.0122610101476268,0.134438032566314,0.005,0.095,200
"Malawi","women_iron","Dowa","Mponela Urban",FALSE,NA,NA,0.0780417361118718,0.0694020441680053,0.0148263510750312,0.40854494497476,0.155,0.39,200
"Malawi","women_iron","Dowa","SC Chakhaza",FALSE,NA,NA,0.0100875391569173,0.0149620012756429,0.00498487692644303,0.0764211323165241,0.005,0.015,200
"Malawi","women_iron","Dowa","SC Kayembe",TRUE,0,1,0.00475655028355752,0.00884652201343603,0.00262256884431166,0.0504938803103864,0,0.005,200
"Malawi","women_iron","Dowa","SC Mkukula",TRUE,0.181818181818182,1,0.014185349525425,0.0204440325965551,0.00863707883036496,0.0506402472830556,0,0.005,200
"Malawi","women_iron","Dowa","SC Mponela",TRUE,0.222222222222222,1,0.015926254908701,0.0230344118237402,0.00732971263561148,0.0981442508892335,0.005,0.045,200
"Malawi","women_iron","Dowa","TA Chiwere",FALSE,NA,NA,0.0116002258717454,0.0167948607374695,0.0076605967374275,0.0423792564522864,0,0.005,200
"Malawi","women_iron","Dowa","TA Dzoole",TRUE,0.25,1,0.0130700794224523,0.0193854527593411,0.00578717489190877,0.0987262487404357,0.005,0.05,200
"Malawi","women_iron","Dowa","TA Msakambewa",FALSE,NA,NA,0.0130380663936921,0.0180959832482397,0.00808336808963631,0.0547506948763406,0,0,200
"Malawi","women_iron","Karonga","Karonga Town",TRUE,0.166666666666667,1,0.915523757272402,0.765918923665335,0.362811325567473,0.937266723829,1,1,200
