"country","Admin1","Admin2","y_prev","n_psu","n_raw","n_eff","urbanicity","pred","pred_lo","pred_hi"
"Gambia","Banjul","Banjul",0.34413119665356,13,225,181.02021831005,0.959459459459459,0.256751852023096,0.238973260907788,0.267965808289228
"Gambia","Banjul","Kanifing",0.300794478115473,8,139,114.332895310604,0.993243243243243,0.227128825243136,0.21412108543527,0.25992753940081
"Gambia","Lower River","Jarra East",0.651585939619729,2,43,39.0682484155993,0.462837837837838,0.603513871054024,0.57514626168902,0.627059163774989
"Gambia","Lower River","Jarra West",0.437857706397502,3,61,54.8870423547633,0.810810810810811,0.524713437227447,0.511417149946702,0.541111611589831
"Gambia","Lower River","Kiang Central",0.5,1,20,18.5709053315467,0.266891891891892,0.542510817928146,0.505279810533337,0.567787234910444
"Gambia","Lower River","Kiang East",0.80952380952381,1,21,19.4263922990141,0.293918918918919,0.523609202630126,0.509526013849733,0.547501424357711
"Gambia","Maccarthy Island","Fulladu West",0.496143900023372,5,147,72.1319569337262,0.540540540540541,0.660021721707075,0.642668908210905,0.679134663763994
"Gambia","Maccarthy Island","Lower Saloum",0.550593280436593,2,29,23.03684268149,0.570945945945946,0.659479600234136,0.644782114376694,0.672107895541377
"Gambia","Maccarthy Island","Niamina Dankunku",0.75,1,20,18.5709053315467,0.199324324324324,0.611078699064104,0.582067716506673,0.632578592078657
"Gambia","Maccarthy Island","Niamina East",0.652173913043478,1,23,21.1182778292834,0.361486486486487,0.651073326062286,0.629700326460855,0.671950900195276
"Gambia","Maccarthy Island","Niani",0.60276989598107,3,45,33.7526041431139,0.199324324324324,0.726249760945582,0.698191295695899,0.746975111168357
"Gambia","Maccarthy Island","Nianija",0.476674958461976,2,21,20.2218286725708,0.212837837837838,0.711427207194464,0.672420171847257,0.736001333494372
"Gambia","Maccarthy Island","Sami",0.736842105263158,1,19,17.7089594849267,0.202702702702703,0.720158094136583,0.660703068845756,0.754901549993774
"Gambia","Maccarthy Island","Upper Saloum",0.714285714285714,1,14,13.2997376936052,0.266891891891892,0.704213911438361,0.675363630496913,0.730701622654455
"Gambia","North Bank","Central Baddibu",0.454545454545455,1,33,29.2137320764495,0.449324324324324,0.485954721796442,0.465240814874124,0.519838642495421
"Gambia","North Bank","Jokadu",0.583333333333333,1,12,11.4881788873089,0.425675675675676,0.446863759992012,0.422482486083026,0.461597465289842
"Gambia","North Bank","Lower Baddibu",0.363636363636364,1,22,20.2754927144985,0.581081081081081,0.474067080224776,0.455506366746433,0.515972461103404
"Gambia","North Bank","Lower Nuimi",0.341670558544721,2,29,25.6878844249062,0.763513513513513,0.437564008499544,0.411154451388749,0.474987441419939
"Gambia","North Bank","Upper Baddibu",0.534998037732374,2,37,32.9706857187757,0.662162162162162,0.514448416175234,0.489240266442623,0.545085567038345
"Gambia","North Bank","Upper Nuimi",0.294117647058824,1,17,15.9653963433465,0.402027027027027,0.465811114108047,0.439564206807377,0.481553979852045
"Gambia","Upper River","Fulladu East",0.471649059364638,5,152,112.90334749622,0.777027027027027,0.61922233492056,0.549011143424811,0.638712517890734
"Gambia","Upper River","Kantora",0.823529411764706,1,17,15.9653963433465,0.577702702702703,0.623923023456656,0.585864248864407,0.644916870325419
"Gambia","Upper River","Sandu",0.666666666666667,1,15,14.1951019528571,0.206081081081081,0.699497311267649,0.664049021715463,0.724980119368627
"Gambia","Upper River","Wuli",0.727272727272727,1,11,10.5718221754043,0.364864864864865,0.683520140209805,0.628454379343156,0.723859826121486
"Gambia","Western","Foni Bintang Karanai",0.35,1,20,18.5709053315467,0.337837837837838,0.386285970970148,0.370166739902258,0.423173427284214
"Gambia","Western","Foni Brefet",0.294117647058824,1,17,15.9653963433465,0.611486486486487,0.363479461732824,0.336258154985794,0.381820885246031
"Gambia","Western","Kombo Central",0.367154654744198,2,41,37.9636327727848,0.918918918918919,0.324078384704954,0.300151820923491,0.344820958203492
"Gambia","Western","Kombo East",0.428571428571429,1,28,25.2398948502126,0.810810810810811,0.332593745161127,0.302582394560882,0.365288411817676
"Gambia","Western","Kombo Saint Mary",0.367386107828314,4,95,69.1067528199503,0.966216216216216,0.267795235093344,0.253250963361103,0.278741357362577
"Gambia","Western","Kombo South",0.344827586206897,1,29,26.0462266447378,0.891891891891892,0.3043394509492,0.288424194641391,0.320951531415435
"Ghana","Ahafo","Asunafo North",0.0714285714285714,1,14,10.350051611675,0.335576923076923,0.00510358840168987,0.00229745609613401,0.00821198192364388
"Ghana","Ahafo","Tano North",0.0467951238694455,2,28,18.3454431025516,0.475961538461538,0.014027905626441,0.00671211564249308,0.0210130141037228
"Ghana","Ashanti","Adansi Asokwa",0.0625,1,16,11.3724876340976,0.3625,0.00799280416406977,0.00657230988710481,0.00985791223792468
"Ghana","Ashanti","Asante-Akim South",0.136363636363636,1,22,14.0157222913744,0.401923076923077,0.00653784072724289,0.00537479530377977,0.00805421226280771
"Ghana","Ashanti","Asokore-Mampong",0.214285714285714,1,14,10.350051611675,0.932692307692308,0.0546579522139077,0.0191744523067609,0.0821101213639451
"Ghana","Ashanti","Asokwa",0,1,12,9.24216999091902,0.933653846153846,0.138415795961934,0.0632479228434683,0.289159527855168
"Ghana","Ashanti","Atwima-Mponua",0.0562944396132795,2,36,24.6202997679035,0.308653846153846,0.00777192403830613,0.00596268873015477,0.0102294998855003
"Ghana","Ashanti","Atwima-Nwabiagya South",0.142857142857143,1,14,10.350051611675,0.826923076923077,0.0283390169480685,0.0143501708594256,0.0385238285603484
"Ghana","Ashanti","Bekwai",0.142857142857143,1,14,10.350051611675,0.7,0.0178300808510832,0.00891795323689226,0.0377282151383157
"Ghana","Ashanti","Kumasi",0.220256494574153,2,27,19.8983053293762,0.971153846153846,0.0717297189953328,0.0310287741679278,0.176390227905465
"Ghana","Ashanti","Kwadaso",0.2,1,15,10.8713203628531,0.944230769230769,0.0683558842921489,0.0216039187900883,0.216187902003873
"Ghana","Ashanti","Obuasi",0,1,6,5.28338903294626,0.85,0.0612659238763858,0.0304606391010792,0.120627922385825
"Ghana","Ashanti","Sekyere Kumawu",0.142857142857143,1,14,10.350051611675,0.346153846153846,0.0185968709838936,0.0133463419174501,0.029882240914542
"Ghana","Ashanti","Sekyere South",0,1,13,9.80744724527219,0.675,0.0226834105033235,0.014280412763713,0.0403205919401703
"Ghana","Bono","Dormaa West",0.111111111111111,1,9,7.39513972634037,0.339423076923077,0.00690487335067922,0.00398900695093223,0.00868372206434603
"Ghana","Bono","Sunyani West",0,1,7,6.02015034638621,0.535576923076923,0.0187264662487024,0.0101716780123895,0.0311588002635735
"Ghana","Bono","Wenchi",0,1,16,11.3724876340976,0.400961538461538,0.0228845646274629,0.0120882528961371,0.0361699857813392
"Ghana","Bono East","Kintampo North",0.133333333333333,1,15,10.8713203628531,0.0951923076923077,0.0301119944201078,0.0100267742051255,0.0514944642518438
"Ghana","Bono East","Sene West",0.0833333333333333,1,12,9.24216999091902,0.0586538461538462,0.0158770105483722,0.00707769102996335,0.0288095919556184
"Ghana","Bono East","Techiman",0.0769230769230769,1,13,9.80744724527219,0.719230769230769,0.0155894373503585,0.0115706130361566,0.0210612996831379
"Ghana","Central","Agona West",0.181818181818182,1,11,8.65276843448061,0.729807692307692,0.0182917234929641,0.011684384883184,0.0269565926664027
"Ghana","Central","Asikuma-Odoben-Brakwa",0.15,1,20,13.1977317605579,0.475,0.00955333007200829,0.00681127644687628,0.0136193666670901
"Ghana","Central","Awutu Senya West",0.0909090909090909,1,11,8.65276843448061,0.756730769230769,0.0726503177605745,0.0369797144619511,0.118084007678914
"Ghana","Central","Mfantseman",0,1,5,4.51056828412347,0.795192307692308,0.0625061892684741,0.0428994075775185,0.092455671303575
"Ghana","Central","Twifo-Atti-Morkwa",0.111111111111111,1,9,7.39513972634036,0.321153846153846,0.00883975495221062,0.00551562841523266,0.0165959786694773
"Ghana","Central","Twifo-Hemang-Lower Denkyira",0.333333333333333,1,3,2.84561436248971,0.365384615384615,0.0084291507665023,0.00559888370917669,0.0144187237902225
"Ghana","Eastern","Abuakwa South",0.2,1,10,8.0376645768723,0.669230769230769,0.0153085862136062,0.00882921328630558,0.0318369796426932
"Ghana","Eastern","Akwapem North",0.179102919403212,2,20,15.2161445623766,0.719230769230769,0.0410767320173809,0.015394085331281,0.0912867690713256
"Ghana","Eastern","Atiwa East",0.0714285714285714,1,14,10.350051611675,0.458653846153846,0.0138712442930182,0.00927818530338539,0.0216810910818842
"Ghana","Eastern","Denkyembour",0.266666666666667,1,15,10.8713203628531,0.603846153846154,0.017018388993164,0.0126678723640608,0.0212664990372225
"Ghana","Eastern","Kwahu Afram Plains North",0.14000487588725,3,32,18.8958026465946,0.121153846153846,0.0976013234689346,0.0655207357720951,0.136022771199908
