"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Atwima-Mponua",-1.16923815561502,-4.11177096662841
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Atwima-Nwabiagya South",-0.705065892900024,-2.47945164470052
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Bekwai",-1.2285761311018,-4.32044031568564
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Kumasi",0.0820393971746551,0.288501713532442
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Kwadaso",-0.288352500788594,-1.01402732642914
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Obuasi",-1.11375428122414,-3.91665504200613
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sekyere Kumawu",-0.390517596376346,-1.37330355413621
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sekyere South",-1.36238338941802,-4.79099013244165
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Dormaa West",-0.159751382713581,-0.561785547423346
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sunyani West",-0.597760126042478,-2.10209760899975
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Wenchi",-0.169523848569265,-0.596151635448103
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Kintampo North",0.768302158979812,2.70182981603902
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sene West",0.421928888748565,1.48376525894812
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Techiman",-0.486062185086725,-1.70929794842721
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Agona West",-0.218649517041404,-0.768908140502202
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Asikuma-Odoben-Brakwa",-0.781318172372694,-2.7476022411973
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Awutu Senya West",0.308512608435494,1.08492284494139
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Mfantseman",-0.0337494787629295,-0.118684227203707
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Twifo-Atti-Morkwa",-0.768302158979812,-2.70182981603902
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Twifo-Hemang-Lower Denkyira",-0.268308922916213,-0.943541599319372
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Abuakwa South",-2.52595391726094,-8.88283018319029
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Akwapem North",-0.380133723279389,-1.33678737672943
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Atiwa East",-1.95996398454005,-6.89245639869677
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Denkyembour",-1.79234997264647,-6.30302094074969
