variable,na_frac,sd_value,constant_in_some_country,has_inf,range_min,range_max
Admin1,1,NA,TRUE,FALSE,NA,NA
Admin2,1,NA,TRUE,FALSE,NA,NA
gee_accessibility_2019,0,17.80052065968435,FALSE,FALSE,0.2407655119895935,138.2834014892578
gee_ccnl_2013,0,10.663100654042793,FALSE,FALSE,-0.009812493808567524,64.50798797607422
gee_elevation_2000,0,434.79652932628034,FALSE,FALSE,0.75752192735672,1965.60302734375
gee_esa_worldcereal_2021_annual_mean,0,5.28523198108523,FALSE,FALSE,0,20.983958774142796
gee_esa_worldcereal_2021_annual_sd,0,10.256482597450931,FALSE,FALSE,0,40.185849780783975
gee_esa_worldcereal_2021_annual_min,0,0.003196903348891744,TRUE,FALSE,0,0.04425131157040596
gee_esa_worldcereal_2021_annual_max,0,27.75075598329903,FALSE,FALSE,0,93.24308013916016
gee_esa_worldcereal_2021_annual_range,0,27.750702543498576,FALSE,FALSE,0,93.24308013916016
gee_ghsl_smod_2015,0,4.543450663299221,FALSE,FALSE,9.825396537780762,30.000001907348633
gee_globalhumanmodification_2016,0,0.1823918655764213,FALSE,FALSE,0.026992568746209145,0.9422310590744019
gee_gpw_demographic_2010_annual_mean,0,141.42268478293644,FALSE,FALSE,0.20276888713313193,920.413827400703
gee_gpw_demographic_2010_annual_sd,0,254.8812822671422,FALSE,FALSE,0.306722736521578,1677.9261614581098
gee_gpw_demographic_2010_annual_min,0,2.8951653124121295,FALSE,FALSE,0.005398042965680361,30.816211700439453
gee_gpw_demographic_2010_annual_max,0,1494.2831548582124,FALSE,FALSE,1.9386838674545288,9777.994140625
gee_gpw_demographic_2010_annual_range,0,1491.56835378475,FALSE,FALSE,1.9271915471181273,9761.293865203857
gee_ndvi_2010,0,495.1399578243325,FALSE,FALSE,154.5116424560547,3667.906982421875
gee_ndvi_2011,0,507.0569047227573,FALSE,FALSE,-85.17646789550781,3499.170166015625
gee_ndvi_2012,0,487.20589305748473,FALSE,FALSE,192.02940368652344,3525.38720703125
gee_ndvi_2013,0,541.5607460579783,FALSE,FALSE,127.27777862548828,3442.817138671875
gee_ndvi_2014,0,507.6891924995038,FALSE,FALSE,170.72413635253906,3310.720703125
gee_ndvi_2015,0,516.7083854472255,FALSE,FALSE,-220.6923065185547,3259.659423828125
gee_ndvi_2016,0,513.3664506655891,FALSE,FALSE,-109.97058868408203,3422.17822265625
gee_ndvi_2017,0,551.7800006111545,FALSE,FALSE,-120.02777862548828,3542.39306640625
gee_ndvi_2018,0,620.7175400115511,FALSE,FALSE,60.74193572998047,3903.38232421875
gee_ndvi_2019,0,743.5466009693487,FALSE,FALSE,312.6956481933594,4305.89501953125
gee_ndvi_2020,0,863.5238950899329,FALSE,FALSE,14.477243423461914,5222.0478515625
gee_ndvi_2021,0.01263537906137184,1403.0327066521904,FALSE,FALSE,-999,8587.265625
gee_ndvi_2022,1,NA,TRUE,FALSE,NA,NA
gee_popdensity_2010,0,1767.5249806689285,FALSE,FALSE,1.4435559511184692,11258.494140625
gee_popdensity_2011,0,1767.5249806689285,FALSE,FALSE,1.4435559511184692,11258.494140625
gee_popdensity_2012,0,1767.5249806689285,FALSE,FALSE,1.4435559511184692,11258.494140625
gee_popdensity_2013,0,2105.987427275761,FALSE,FALSE,1.423491358757019,13090.3408203125
gee_popdensity_2014,0,2105.987427275761,FALSE,FALSE,1.423491358757019,13090.3408203125
gee_popdensity_2015,0,2105.987427275761,FALSE,FALSE,1.423491358757019,13090.3408203125
gee_popdensity_2016,0,2105.987427275761,FALSE,FALSE,1.423491358757019,13090.3408203125
gee_popdensity_2017,0,2105.987427275761,FALSE,FALSE,1.423491358757019,13090.3408203125
gee_popdensity_2018,0,2477.0246802575193,FALSE,FALSE,1.4437038898468018,14939.6865234375
gee_popdensity_2019,0,2477.0246802575193,FALSE,FALSE,1.4437038898468018,14939.6865234375
gee_popdensity_2020,0,2477.0246802575193,FALSE,FALSE,1.4437038898468018,14939.6865234375
gee_popdensity_2021,0,2477.0246802575193,FALSE,FALSE,1.4437038898468018,14939.6865234375
gee_popdensity_2022,0,2477.0246802575193,FALSE,FALSE,1.4437038898468018,14939.6865234375
gee_popdensity_2023,0,2477.0246802575193,FALSE,FALSE,1.4437038898468018,14939.6865234375
gee_soilaluminium_mean_0_20,0,43.694892089353345,FALSE,FALSE,45.34851837158203,328.613037109375
gee_soilaluminium_mean_20_50,0,33.778078365107206,FALSE,FALSE,53.195430755615234,278.5323486328125
gee_soilaluminium_stdev_0_20,0,0.5013635462906195,FALSE,FALSE,0.6504562497138977,4.664241313934326
gee_soilaluminium_stdev_20_50,0,0.4059020298718159,FALSE,FALSE,0.6591443419456482,3.385667085647583
gee_soilaluminium_annual_mean,0,18.614850008178276,FALSE,FALSE,26.109143137931824,152.30975776910782
gee_soilaluminium_annual_sd,0,21.991969153876802,FALSE,FALSE,27.001532978692595,175.85595546694952
gee_soilaluminium_annual_min,0,0.4050310911834185,FALSE,FALSE,0.6504562497138977,3.385667085647583
gee_soilaluminium_annual_max,0,41.083742754762184,FALSE,FALSE,53.195430755615234,328.613037109375
gee_soilaluminium_annual_range,0,41.30033416303262,FALSE,FALSE,50.622114419937134,327.6417053937912
gee_soilcalcium_mean_0_20,0,216.8931433571921,FALSE,FALSE,179.08863830566406,1684.13427734375
gee_soilcalcium_mean_20_50,0,249.54088264984318,FALSE,FALSE,103.99060821533203,1723.921630859375
gee_soilcalcium_stdev_0_20,0,0.11563742292369354,FALSE,FALSE,0.11574595421552658,0.852596640586853
