outcome,held_out,target,n_test,pearson_r,spearman_r
women_vitA,Gambia,continuous_mean,30,0.49,0.371
women_vitA,Ghana,continuous_mean,75,0.217,0.275
women_vitA,SierraLeone,continuous_mean,14,-0.006,-0.305
women_vitA,Malawi,continuous_mean,97,-0.031,0.152
child_vitA,Gambia,continuous_mean,30,0.49,0.371
child_vitA,Ghana,continuous_mean,75,0.217,0.275
child_vitA,SierraLeone,continuous_mean,14,-0.006,-0.305
child_vitA,Malawi,continuous_mean,97,-0.031,0.152
women_b12,Ghana,continuous_mean,75,0.124,0.46
women_b12,SierraLeone,continuous_mean,14,-0.588,-0.596
women_b12,Malawi,continuous_mean,97,0.161,0.307
women_folate,Ghana,continuous_mean,75,-0.003,-0.149
women_folate,SierraLeone,continuous_mean,14,-0.389,-0.653
women_folate,Malawi,continuous_mean,97,0.064,0.063
