method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
shared_top6,child_vitA,Gambia,176,30,0.563,0.567,9.45,12.03,-2.18
shared_top6,child_vitA,Ghana,131,75,0.078,0.138,12.09,15.09,4.23
shared_top6,child_vitA,SierraLeone,192,14,0.049,-0.033,8.26,10.35,-4.12
shared_top6,child_vitA,Malawi,119,87,0.009,0.02,13.96,16.98,5.27
shared_top6,women_vitA,Gambia,176,30,0.39,0.374,3.84,5.95,-2.14
shared_top6,women_vitA,Ghana,131,75,0.104,0.154,3.09,3.84,1.42
shared_top6,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
shared_top6,women_vitA,Malawi,119,87,0.059,0.031,4.22,5.57,0.49
shared_top6,child_iron,Gambia,176,30,0.408,0.453,38.3,40.91,-38.3
shared_top6,child_iron,Ghana,131,75,0.436,0.412,14.5,18.99,3.94
shared_top6,child_iron,SierraLeone,192,14,-0.043,0.128,8.19,13.34,1.89
shared_top6,child_iron,Malawi,119,87,-0.011,-0.07,20.75,25.52,15.18
shared_top6,women_iron,Gambia,176,30,-0.08,-0.004,34.23,38.1,-34.23
shared_top6,women_iron,Ghana,131,75,0.225,0.222,16.8,20.67,14.24
shared_top6,women_iron,SierraLeone,192,14,0.038,-0.107,15.69,17.6,-15.69
shared_top6,women_iron,Malawi,119,87,-0.025,-0.027,17.16,20.28,9.45
shared_top10,child_vitA,Gambia,176,30,0.493,0.434,9.39,11.87,-0.29
shared_top10,child_vitA,Ghana,131,75,0.038,0.088,14.81,18.2,8.31
shared_top10,child_vitA,SierraLeone,192,14,0.053,0.011,8.68,11.32,-6.25
shared_top10,child_vitA,Malawi,119,87,0.01,-0.036,15.36,19.22,8.62
shared_top10,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
shared_top10,women_vitA,Ghana,131,75,0.048,0.078,4.09,4.51,2.65
shared_top10,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
shared_top10,women_vitA,Malawi,119,87,0.043,0.027,4.19,5.57,0.44
shared_top10,child_iron,Gambia,176,30,0.563,0.532,39.66,41.86,-39.66
shared_top10,child_iron,Ghana,131,75,0.396,0.355,19.58,23.78,14.73
shared_top10,child_iron,SierraLeone,192,14,-0.046,0.111,8.35,14.67,3.72
shared_top10,child_iron,Malawi,119,87,-0.013,-0.051,20.03,24.26,14.92
shared_top10,women_iron,Gambia,176,30,0.187,0.27,34.82,38.23,-34.82
shared_top10,women_iron,Ghana,131,75,0.159,0.111,21.37,25.6,20.13
shared_top10,women_iron,SierraLeone,192,14,-0.009,-0.107,15.52,17.48,-15.14
shared_top10,women_iron,Malawi,119,87,-0.032,-0.042,16.94,20.07,8.65
shared_top15,child_vitA,Gambia,176,30,0.571,0.549,9.47,11.98,-1.05
shared_top15,child_vitA,Ghana,131,75,0.276,0.335,14.13,16.65,9.93
shared_top15,child_vitA,SierraLeone,192,14,0.085,0.015,8.59,10.94,-7.16
shared_top15,child_vitA,Malawi,119,87,-0.016,-0.048,15.38,19.61,8.15
shared_top15,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
shared_top15,women_vitA,Ghana,131,75,0.055,0.118,3.77,4.23,2.24
shared_top15,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
shared_top15,women_vitA,Malawi,119,87,0.042,0.029,4.2,5.57,0.44
shared_top15,child_iron,Gambia,176,30,0.562,0.532,39.71,41.9,-39.71
shared_top15,child_iron,Ghana,131,75,0.463,0.426,18.4,22.24,14.16
shared_top15,child_iron,SierraLeone,192,14,-0.081,0.014,8.24,11.17,0.67
shared_top15,child_iron,Malawi,119,87,-0.043,-0.128,19.06,23.43,10.57
shared_top15,women_iron,Gambia,176,30,0.187,0.27,34.84,38.26,-34.84
shared_top15,women_iron,Ghana,131,75,0.249,0.231,22.13,25.3,21.35
shared_top15,women_iron,SierraLeone,192,14,-0.252,-0.341,15.8,18.55,-7.48
shared_top15,women_iron,Malawi,119,87,-0.03,-0.045,16.93,20.02,8.78
