method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
mixed,child_vitA,Gambia,176,30,-0.168,-0.094,11.72,14.25,-2.17
mixed,child_vitA,Ghana,131,75,0.097,0.126,14.77,17.92,5.2
mixed,child_vitA,SierraLeone,192,14,0.201,0.226,9.51,11.25,-8.16
mixed,child_vitA,Malawi,119,87,-0.003,-0.034,16.57,21.04,9.45
mixed,women_vitA,Gambia,176,30,0.363,0.472,3.78,5.54,-1.23
mixed,women_vitA,Ghana,131,75,-0.167,-0.132,2.65,3.97,0.53
mixed,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
mixed,women_vitA,Malawi,119,87,0.041,0.133,5.02,5.9,1.79
mixed,child_iron,Gambia,176,30,0.481,0.433,38.43,40.83,-38.43
mixed,child_iron,Ghana,131,75,0.347,0.292,22.09,25.26,18.42
mixed,child_iron,SierraLeone,192,14,0.293,0.108,16.75,18.29,16.75
mixed,child_iron,Malawi,119,87,0.016,0.046,23.03,26.28,19.82
mixed,women_iron,Gambia,176,30,-0.272,-0.301,33.84,38.31,-33.84
mixed,women_iron,Ghana,131,75,0.259,0.24,17.95,21.15,16.61
mixed,women_iron,SierraLeone,192,14,-0.254,-0.279,12.47,14.55,-6.36
mixed,women_iron,Malawi,119,87,0.009,0.033,23.13,26.27,19.92
gam,child_vitA,Gambia,176,30,-0.129,-0.102,11.31,14.2,-5.04
gam,child_vitA,Ghana,131,75,0.092,0.12,13.08,15.98,0.23
gam,child_vitA,SierraLeone,192,14,0.161,-0.002,8.51,9.93,-6.22
gam,child_vitA,Malawi,119,87,0.001,-0.041,15.13,19.6,6.37
gam,women_vitA,Gambia,176,30,0.388,0.463,3.74,5.49,-1.12
gam,women_vitA,Ghana,131,75,-0.046,0.043,2.7,3.9,0.74
gam,women_vitA,SierraLeone,192,14,-0.244,-0.155,1.87,2.37,0.67
gam,women_vitA,Malawi,119,87,0.073,0.041,4.7,5.79,1.35
gam,child_iron,Gambia,176,30,0.509,0.447,44.7,46.65,-44.7
gam,child_iron,Ghana,131,75,-0.186,-0.169,17.48,22.55,-4.91
gam,child_iron,SierraLeone,192,14,NA,NA,5.94,7.53,-5.94
gam,child_iron,Malawi,119,87,0.07,0.083,15.78,18.61,9.04
gam,women_iron,Gambia,176,30,0.044,0.174,31.97,35.86,-31.97
gam,women_iron,Ghana,131,75,0.256,0.245,9.5,11.73,1.28
gam,women_iron,SierraLeone,192,14,-0.315,-0.458,24.34,27.85,2.95
gam,women_iron,Malawi,119,87,0.183,0.204,18.45,21.28,13.06
forward,child_vitA,Gambia,176,30,0.103,0.084,10.99,13.72,-5.16
forward,child_vitA,Ghana,131,75,0.313,0.253,10.98,13.55,2.76
forward,child_vitA,SierraLeone,192,14,-0.063,-0.2,8.86,11.24,-7.01
forward,child_vitA,Malawi,119,87,0.005,0.03,13.55,17.33,1.05
forward,women_vitA,Gambia,176,30,-0.154,-0.296,3.94,6.04,-2.17
forward,women_vitA,Ghana,131,75,0.135,0.212,3.68,4.11,2.17
forward,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
forward,women_vitA,Malawi,119,87,-0.047,-0.051,2.42,6.05,-2.42
forward,child_iron,Gambia,176,30,0.381,0.373,42.09,44.5,-42.09
forward,child_iron,Ghana,131,75,0.335,0.31,24.56,27.9,21.83
forward,child_iron,SierraLeone,192,14,-0.058,0.2,13.39,15.8,13.39
forward,child_iron,Malawi,119,87,0.058,0.029,25.65,28.79,21.69
forward,women_iron,Gambia,176,30,0.387,0.326,34.55,37.98,-34.55
forward,women_iron,Ghana,131,75,0.084,0.051,21.09,25.08,16.73
forward,women_iron,SierraLeone,192,14,-0.298,-0.473,24.66,33.73,21.54
forward,women_iron,Malawi,119,87,0.131,0.157,23.52,26.41,20.36
quasibinomial,child_vitA,Gambia,176,30,-0.166,-0.095,11.99,14.56,-2.03
quasibinomial,child_vitA,Ghana,131,75,0.117,0.134,13.81,16.85,5.89
quasibinomial,child_vitA,SierraLeone,192,14,0.205,0.275,8.15,9.6,-5.82
quasibinomial,child_vitA,Malawi,119,87,-0.019,-0.02,16.96,21.9,9.08
quasibinomial,women_vitA,Gambia,176,30,0.253,0.342,3.87,5.51,-0.66
quasibinomial,women_vitA,Ghana,131,75,-0.158,-0.136,2.53,3.85,0.39
quasibinomial,women_vitA,SierraLeone,192,14,-0.347,-0.312,1.6,2.32,-1.59
quasibinomial,women_vitA,Malawi,119,87,-0.033,0.076,5.36,7.87,2.12
quasibinomial,child_iron,Gambia,176,30,0.446,0.37,39.99,42.32,-39.99
quasibinomial,child_iron,Ghana,131,75,0.425,0.425,13.42,17.44,-2.44
quasibinomial,child_iron,SierraLeone,192,14,0.476,0.349,3.07,4.29,-1.07
quasibinomial,child_iron,Malawi,119,87,-0.039,-0.075,18.98,23.69,12.19
quasibinomial,women_iron,Gambia,176,30,-0.053,0.107,34.52,38.35,-34.52
quasibinomial,women_iron,Ghana,131,75,0.237,0.173,11.52,14.14,6.43
quasibinomial,women_iron,SierraLeone,192,14,-0.2,-0.266,11.54,13.91,-7.76
quasibinomial,women_iron,Malawi,119,87,0.087,0.068,17.79,21.28,12.38
