method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
knn_on_h6_K5_unif,child_vitA,Gambia,176,30,0.394,0.365,9.67,12.05,-2.74
knn_on_h6_K5_unif,child_vitA,Ghana,131,75,-0.168,-0.134,15.38,18.7,2.35
knn_on_h6_K5_unif,child_vitA,SierraLeone,192,14,0.133,0.104,8.17,10.39,-1.76
knn_on_h6_K5_unif,child_vitA,Malawi,119,87,0.017,0.024,14.57,18.09,3.81
knn_on_h6_K5_unif,women_vitA,Gambia,176,30,0.501,0.68,3.43,5.88,-3.05
knn_on_h6_K5_unif,women_vitA,Ghana,131,75,0.049,-0.021,3.14,4.15,1.37
knn_on_h6_K5_unif,women_vitA,SierraLeone,192,14,0.319,0.258,1.35,1.71,-0.28
knn_on_h6_K5_unif,women_vitA,Malawi,119,87,-0.074,-0.059,3.98,5.85,-0.11
knn_on_h6_K5_unif,child_iron,Gambia,176,30,0.36,0.327,38.44,41.24,-38.44
knn_on_h6_K5_unif,child_iron,Ghana,131,75,0.466,0.374,13.11,16.31,-0.31
knn_on_h6_K5_unif,child_iron,SierraLeone,192,14,-0.108,-0.029,9.4,12.94,6.77
knn_on_h6_K5_unif,child_iron,Malawi,119,87,0.02,0.048,31.47,35.1,28.64
knn_on_h6_K5_unif,women_iron,Gambia,176,30,0.643,0.729,30.57,33.19,-30.57
knn_on_h6_K5_unif,women_iron,Ghana,131,75,0.225,0.197,12.49,14.96,8.03
knn_on_h6_K5_unif,women_iron,SierraLeone,192,14,0.077,0.249,6.75,8.47,-2.74
knn_on_h6_K5_unif,women_iron,Malawi,119,87,0.082,0.11,20.36,24.73,15.34
knn_on_h6_K8_inv,child_vitA,Gambia,176,30,0.508,0.466,8.99,11.3,-2.08
knn_on_h6_K8_inv,child_vitA,Ghana,131,75,-0.174,-0.169,14.18,16.94,2.22
knn_on_h6_K8_inv,child_vitA,SierraLeone,192,14,0.192,0.262,7.4,9.04,-2.02
knn_on_h6_K8_inv,child_vitA,Malawi,119,87,-0.004,0.014,14.23,17.66,3.32
knn_on_h6_K8_inv,women_vitA,Gambia,176,30,0.534,0.52,3.58,5.97,-3.11
knn_on_h6_K8_inv,women_vitA,Ghana,131,75,-0.088,-0.094,3.28,4.07,1.42
knn_on_h6_K8_inv,women_vitA,SierraLeone,192,14,0.415,0.294,1.25,1.56,-0.07
knn_on_h6_K8_inv,women_vitA,Malawi,119,87,-0.059,-0.067,3.9,5.77,-0.19
knn_on_h6_K8_inv,child_iron,Gambia,176,30,0.365,0.3,37.86,40.66,-37.86
knn_on_h6_K8_inv,child_iron,Ghana,131,75,0.503,0.415,13,15.96,0.77
knn_on_h6_K8_inv,child_iron,SierraLeone,192,14,-0.108,-0.09,9.04,11.66,6.81
knn_on_h6_K8_inv,child_iron,Malawi,119,87,0.009,0.098,30.96,34.19,27.96
knn_on_h6_K8_inv,women_iron,Gambia,176,30,0.572,0.672,31.69,34.43,-31.69
knn_on_h6_K8_inv,women_iron,Ghana,131,75,0.376,0.282,11.69,13.68,7.83
knn_on_h6_K8_inv,women_iron,SierraLeone,192,14,0.108,0.02,7.04,8.47,-3.75
knn_on_h6_K8_inv,women_iron,Malawi,119,87,0.05,0.071,20.79,25.12,15.84
knn_on_h6_K12_gauss,child_vitA,Gambia,176,30,0.564,0.534,8.99,11.06,-2.25
knn_on_h6_K12_gauss,child_vitA,Ghana,131,75,-0.136,-0.125,12.72,15.6,3.27
knn_on_h6_K12_gauss,child_vitA,SierraLeone,192,14,0.122,0.086,7.22,8.45,-2.37
knn_on_h6_K12_gauss,child_vitA,Malawi,119,87,-0.053,-0.036,14.16,17.62,2.98
knn_on_h6_K12_gauss,women_vitA,Gambia,176,30,0.563,0.469,3.62,6.02,-2.99
knn_on_h6_K12_gauss,women_vitA,Ghana,131,75,0.018,-0.038,3.54,4.04,1.85
knn_on_h6_K12_gauss,women_vitA,SierraLeone,192,14,0.083,-0.038,1.5,1.79,-0.23
knn_on_h6_K12_gauss,women_vitA,Malawi,119,87,-0.058,-0.04,3.95,5.75,-0.1
knn_on_h6_K12_gauss,child_iron,Gambia,176,30,0.453,0.443,37.81,40.27,-37.81
knn_on_h6_K12_gauss,child_iron,Ghana,131,75,0.542,0.498,12.8,15.61,1.94
knn_on_h6_K12_gauss,child_iron,SierraLeone,192,14,-0.129,0.015,9.45,11.66,7.86
knn_on_h6_K12_gauss,child_iron,Malawi,119,87,0.06,0.146,30.56,33.66,27.97
knn_on_h6_K12_gauss,women_iron,Gambia,176,30,0.544,0.584,32,34.87,-32
knn_on_h6_K12_gauss,women_iron,Ghana,131,75,0.484,0.346,11.05,13.13,7.87
knn_on_h6_K12_gauss,women_iron,SierraLeone,192,14,0.087,0.033,7.26,8.8,-5.03
knn_on_h6_K12_gauss,women_iron,Malawi,119,87,0.071,0.092,21.08,25.13,16.41
