method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_plus_linear_OLS,child_vitA,Gambia,186,30,0.43,0.432,9.29,11.7,-0.56
spatial_plus_linear_OLS,child_vitA,Ghana,141,75,0.379,0.33,19,21.94,17.18
spatial_plus_linear_OLS,child_vitA,SierraLeone,202,14,0.34,0.38,6.02,7.5,-1.54
spatial_plus_linear_OLS,child_vitA,Malawi,119,97,0,0.019,15.37,19.25,4.25
spatial_plus_linear_OLS,women_vitA,Gambia,186,30,0.582,0.666,3.54,6.15,-3.21
spatial_plus_linear_OLS,women_vitA,Ghana,141,75,0.181,0.134,4.6,5.26,3.53
spatial_plus_linear_OLS,women_vitA,SierraLeone,202,14,0.144,0.151,1.5,1.8,0.14
spatial_plus_linear_OLS,women_vitA,Malawi,119,97,0.154,0.21,3.02,5.38,-0.8
spatial_plus_linear_OLS,child_iron,Gambia,186,30,0.502,0.443,50.44,52.28,-50.44
spatial_plus_linear_OLS,child_iron,Ghana,141,75,0.585,0.531,16.12,20.13,11.62
spatial_plus_linear_OLS,child_iron,SierraLeone,202,14,0.296,0.332,12.84,14.94,12.71
spatial_plus_linear_OLS,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_plus_linear_OLS,women_iron,Gambia,186,30,0.663,0.722,21.55,25.95,-21.55
spatial_plus_linear_OLS,women_iron,Ghana,141,75,0.31,0.233,36.23,39.38,36.2
spatial_plus_linear_OLS,women_iron,SierraLeone,202,14,0.054,0.007,6.97,8.75,-2.85
spatial_plus_linear_OLS,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_plus_ranger,child_vitA,Gambia,186,30,0.565,0.564,9.03,11.04,-0.7
spatial_plus_ranger,child_vitA,Ghana,141,75,0.384,0.29,11.07,13.71,4.55
spatial_plus_ranger,child_vitA,SierraLeone,202,14,0.068,-0.033,7.65,8.87,-2.62
spatial_plus_ranger,child_vitA,Malawi,119,97,0.034,-0.032,13.41,16.33,-5.67
spatial_plus_ranger,women_vitA,Gambia,186,30,0.269,0.345,3.92,5.5,-0.76
spatial_plus_ranger,women_vitA,Ghana,141,75,0.179,0.098,4.06,4.84,2.8
spatial_plus_ranger,women_vitA,SierraLeone,202,14,-0.038,0.083,1.33,1.92,-0.17
spatial_plus_ranger,women_vitA,Malawi,119,97,-0.071,-0.116,3.88,5.54,0.11
spatial_plus_ranger,child_iron,Gambia,186,30,0.479,0.436,40.92,43.13,-40.92
spatial_plus_ranger,child_iron,Ghana,141,75,0.559,0.506,12.55,16.26,4.38
spatial_plus_ranger,child_iron,SierraLeone,202,14,0.13,0.13,25.33,25.88,25.33
spatial_plus_ranger,child_iron,Malawi,119,97,0.186,0.085,13.53,15.84,5.49
spatial_plus_ranger,women_iron,Gambia,186,30,0.195,0.082,30.36,34.11,-30.36
spatial_plus_ranger,women_iron,Ghana,141,75,0.307,0.237,15.57,19.55,13.85
spatial_plus_ranger,women_iron,SierraLeone,202,14,0.094,0.108,6.1,7.3,3.03
spatial_plus_ranger,women_iron,Malawi,119,97,0.078,-0.119,12.65,16.58,-2.87
spatial_plus_xgb,child_vitA,Gambia,186,30,0.604,0.545,8.47,10.55,-1.62
spatial_plus_xgb,child_vitA,Ghana,141,75,0.346,0.261,11.65,14.13,4.32
spatial_plus_xgb,child_vitA,SierraLeone,202,14,0.086,0.086,7.79,9.09,-2.05
spatial_plus_xgb,child_vitA,Malawi,119,97,-0.031,-0.11,15.24,18.95,-10.52
spatial_plus_xgb,women_vitA,Gambia,186,30,-0.276,-0.131,4.87,6.24,0.43
spatial_plus_xgb,women_vitA,Ghana,141,75,0.198,0.127,5.96,8.07,5.2
spatial_plus_xgb,women_vitA,SierraLeone,202,14,-0.215,-0.153,1.53,2.14,-0.51
spatial_plus_xgb,women_vitA,Malawi,119,97,0.038,0.037,3.62,5.51,-0.11
spatial_plus_xgb,child_iron,Gambia,186,30,0.401,0.281,42.95,45.3,-42.95
spatial_plus_xgb,child_iron,Ghana,141,75,0.499,0.452,13.35,16.74,0.84
spatial_plus_xgb,child_iron,SierraLeone,202,14,-0.033,-0.073,15.25,16.7,15.21
spatial_plus_xgb,child_iron,Malawi,119,97,0.041,0.014,11.55,15.71,-1.79
spatial_plus_xgb,women_iron,Gambia,186,30,0.17,0.045,28.04,32.22,-28.04
spatial_plus_xgb,women_iron,Ghana,141,75,0.318,0.222,18.79,25.2,15.71
spatial_plus_xgb,women_iron,SierraLeone,202,14,0.158,0.182,6.21,7.66,3.69
spatial_plus_xgb,women_iron,Malawi,119,97,0.03,-0.101,13.38,17.69,-6.05
spatial_plus_SL,child_vitA,Gambia,186,30,0.601,0.582,9.9,12.47,-3.23
spatial_plus_SL,child_vitA,Ghana,141,75,0.351,0.329,11.58,14.11,4.84
spatial_plus_SL,child_vitA,SierraLeone,202,14,0.196,0.2,7.16,8.68,-4.08
spatial_plus_SL,child_vitA,Malawi,119,97,-0.012,-0.028,13.4,16.94,-7.81
spatial_plus_SL,women_vitA,Gambia,186,30,0.551,0.561,3.87,5.99,-2.2
spatial_plus_SL,women_vitA,Ghana,141,75,NA,NA,3.13,3.7,1.34
spatial_plus_SL,women_vitA,SierraLeone,202,14,NA,NA,1.46,1.77,0.54
spatial_plus_SL,women_vitA,Malawi,119,97,-0.098,-0.155,3.57,5.54,-0.36
spatial_plus_SL,child_iron,Gambia,186,30,0.381,0.294,38.89,41.54,-38.89
spatial_plus_SL,child_iron,Ghana,141,75,0.563,0.507,12.67,16.45,3.77
spatial_plus_SL,child_iron,SierraLeone,202,14,-0.066,-0.103,25.96,26.54,25.96
spatial_plus_SL,child_iron,Malawi,119,97,0.183,0.107,12.36,15.36,2.51
spatial_plus_SL,women_iron,Gambia,186,30,0.387,0.301,30.95,34.27,-30.95
spatial_plus_SL,women_iron,Ghana,141,75,0.309,0.23,15.81,19.94,13.84
spatial_plus_SL,women_iron,SierraLeone,202,14,0.028,0.033,6.1,7.38,3.01
