method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
transferable_k8_a75,child_vitA,Gambia,176,30,-0.083,0.036,10.83,13.6,-3.86
transferable_k8_a75,child_vitA,Ghana,131,75,-0.136,-0.109,17.84,22.47,10.97
transferable_k8_a75,child_vitA,SierraLeone,192,14,-0.071,0.002,7.49,8.95,-3.73
transferable_k8_a75,child_vitA,Malawi,119,87,-0.015,-0.024,15.94,19,8.37
transferable_k8_a75,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
transferable_k8_a75,women_vitA,Ghana,131,75,0.033,0.013,3.74,4.31,2.17
transferable_k8_a75,women_vitA,SierraLeone,192,14,-0.271,-0.39,1.68,2.32,-1.41
transferable_k8_a75,women_vitA,Malawi,119,87,-0.094,-0.095,2.46,6.05,-2.37
transferable_k8_a75,child_iron,Gambia,176,30,0.345,0.306,46.49,48.72,-46.49
transferable_k8_a75,child_iron,Ghana,131,75,0.476,0.477,17.84,22.7,10.22
transferable_k8_a75,child_iron,SierraLeone,192,14,-0.227,-0.095,21.72,31.57,21.5
transferable_k8_a75,child_iron,Malawi,119,87,-0.029,-0.112,21.76,24.87,18.47
transferable_k8_a75,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
transferable_k8_a75,women_iron,Ghana,131,75,0.238,0.282,19.71,23.44,16.27
transferable_k8_a75,women_iron,SierraLeone,192,14,-0.052,-0.121,17.4,18.96,-10.8
transferable_k8_a75,women_iron,Malawi,119,87,-0.031,-0.01,20.2,24.38,14.26
transferable_k5_a100,child_vitA,Gambia,176,30,-0.388,-0.531,11.92,14.74,-3.61
transferable_k5_a100,child_vitA,Ghana,131,75,0.295,0.282,11.19,13.78,3.69
transferable_k5_a100,child_vitA,SierraLeone,192,14,-0.072,0.002,7.52,8.99,-3.83
transferable_k5_a100,child_vitA,Malawi,119,87,-0.004,-0.027,15.87,19.09,8.4
transferable_k5_a100,women_vitA,Gambia,176,30,0.551,0.565,3.83,5.92,-2.12
transferable_k5_a100,women_vitA,Ghana,131,75,0.086,0.078,3.32,3.94,1.67
transferable_k5_a100,women_vitA,SierraLeone,192,14,-0.307,-0.336,1.73,2.31,-1.21
transferable_k5_a100,women_vitA,Malawi,119,87,-0.078,-0.103,2.44,6.05,-2.41
transferable_k5_a100,child_iron,Gambia,176,30,0.439,0.401,43.67,45.98,-43.67
transferable_k5_a100,child_iron,Ghana,131,75,0.459,0.482,17.6,22.42,10.12
transferable_k5_a100,child_iron,SierraLeone,192,14,-0.19,-0.002,10.39,14.42,7.8
transferable_k5_a100,child_iron,Malawi,119,87,0.037,0.048,27.07,31.12,24.78
transferable_k5_a100,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
transferable_k5_a100,women_iron,Ghana,131,75,NA,NA,18.89,21.09,17.52
transferable_k5_a100,women_iron,SierraLeone,192,14,-0.047,-0.121,16.96,18.59,-11.63
transferable_k5_a100,women_iron,Malawi,119,87,-0.022,-0.012,15.76,20.38,6.91
transferable_k12_a50,child_vitA,Gambia,176,30,-0.044,0.11,10.62,13.28,-1.66
transferable_k12_a50,child_vitA,Ghana,131,75,0.294,0.287,11.19,13.79,3.69
transferable_k12_a50,child_vitA,SierraLeone,192,14,-0.069,0.002,7.41,8.86,-3.52
transferable_k12_a50,child_vitA,Malawi,119,87,-0.003,-0.027,15.44,18.56,7.82
transferable_k12_a50,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
transferable_k12_a50,women_vitA,Ghana,131,75,0.024,0.009,3.97,4.57,2.48
transferable_k12_a50,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
transferable_k12_a50,women_vitA,Malawi,119,87,0.034,0.121,2.7,5.89,-1.92
transferable_k12_a50,child_iron,Gambia,176,30,0.285,0.229,48.41,50.65,-48.41
transferable_k12_a50,child_iron,Ghana,131,75,0.481,0.444,17.11,21.89,9.15
transferable_k12_a50,child_iron,SierraLeone,192,14,-0.245,-0.262,26.91,37.71,23.66
transferable_k12_a50,child_iron,Malawi,119,87,-0.104,-0.104,24.02,27.86,20.12
transferable_k12_a50,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
transferable_k12_a50,women_iron,Ghana,131,75,0.211,0.269,18.56,22.2,15.06
transferable_k12_a50,women_iron,SierraLeone,192,14,-0.015,-0.121,17.13,18.79,-11.76
transferable_k12_a50,women_iron,Malawi,119,87,-0.003,-0.009,22.09,26.28,17.37
