variable,n_splits,mean_r,median_r,wins,losses,mean_mae
gee_soilaluminium_annual_min,16,0.274,0.222,11,0,14.49
gee_soilaluminium_stdev_20_50,16,0.273,0.212,11,0,14.53
gee_soilcalcium_stdev_0_20,16,0.273,0.23,13,1,16.31
gee_soilaluminium_stdev_0_20,16,0.272,0.217,11,0,14.32
gee_soilmagnesium_stdev_0_20,16,0.262,0.208,14,0,15.81
gee_soilcalcium_stdev_20_50,16,0.242,0.208,12,1,16.25
gee_soiltotalcarbon_mean_0_20,16,0.237,0.198,13,0,13.45
gee_soilzinc_mean_20_50,16,0.231,0.164,9,2,13.8
gee_soilaluminium_mean_20_50,16,0.23,0.249,12,0,14.53
gee_soiltotalcarbon_mean_20_50,16,0.228,0.188,13,1,13.11
gee_soilzinc_annual_sd,16,0.225,0.165,9,2,13.81
gee_soilzinc_annual_mean,16,0.223,0.163,9,2,13.87
gee_soilzinc_annual_range,16,0.221,0.166,9,3,13.83
gee_soilzinc_annual_max,16,0.22,0.164,9,3,13.85
gee_soilzinc_mean_0_20,16,0.22,0.164,9,3,13.85
gee_soilcalcium_annual_min,16,0.214,0.187,12,2,16.77
gee_esa_worldcereal_2021_annual_sd,16,0.178,0.152,10,1,17.34
gee_soilmagnesium_stdev_20_50,16,0.178,0.148,12,1,15.65
gee_soilnitrogen_stdev_20_50,16,0.169,0.159,10,2,15.75
gee_soilnitrogen_annual_min,16,0.164,0.145,9,2,15.76
gee_soilmagnesium_annual_min,16,0.158,0.159,12,2,15.99
gee_trmm_2019,16,0.155,0.142,10,2,19.98
gee_esa_worldcereal_2021_annual_mean,16,0.151,0.103,8,2,15.02
gee_soilnitrogen_mean_20_50,16,0.149,0.104,8,2,15.45
gee_soilaluminium_annual_sd,16,0.141,0.124,10,1,14.48
gee_soilaluminium_annual_mean,16,0.14,0.128,10,1,14.49
gee_trmm_2010,16,0.138,0.112,9,2,15.21
gee_soilnitrogen_stdev_0_20,16,0.137,0.089,7,0,15.67
gee_esa_worldcereal_2021_annual_range,16,0.136,0.12,8,2,18.2
gee_esa_worldcereal_2021_annual_max,16,0.135,0.12,8,2,18.2
gee_soilcalcium_mean_20_50,16,0.124,0.106,8,1,17.5
gee_soilzinc_stdev_0_20,16,0.123,0.075,7,1,15.22
gee_soilphosphorus_stdev_0_20,16,0.114,0.095,8,4,16.13
gee_trmm_2014,16,0.114,0.122,10,2,20.5
gee_soiliron_mean_20_50,16,0.111,0.107,8,2,13.56
gee_soiltotalcarbon_annual_min,16,0.111,0.152,10,2,16.75
gee_soilcec_mean_20_50,16,0.11,0.086,7,4,16.1
gee_soilcalcium_annual_sd,16,0.108,0.074,7,1,17.48
gee_soilcalcium_annual_mean,16,0.106,0.074,7,1,17.49
gee_trmm_2016,16,0.106,0.084,8,4,20.38
gee_trmm_2017,16,0.103,0.092,8,3,16.4
gee_soilcec_annual_range,16,0.101,0.054,6,4,16.16
gee_soilaluminium_annual_range,16,0.098,0.121,9,3,14.57
gee_soilcec_annual_max,16,0.098,0.052,6,4,16.17
gee_soilaluminium_annual_max,16,0.094,0.122,9,4,14.59
gee_soilcec_annual_sd,16,0.091,0.035,6,4,16.08
gee_soilzinc_annual_min,16,0.086,0.072,4,1,15.46
gee_trmm_2015,16,0.086,0.108,8,4,19.04
gee_soilcec_annual_mean,16,0.083,0.032,6,4,16.1
gee_soilmagnesium_mean_20_50,16,0.08,0.069,6,3,16.25
gee_soilmagnesium_annual_mean,16,0.07,0.064,6,3,16.37
gee_soilmagnesium_annual_sd,16,0.07,0.064,6,3,16.38
gee_trmm_2013,16,0.068,0.092,8,3,21.54
gee_soilmagnesium_annual_max,16,0.061,0.062,6,3,16.38
gee_soilmagnesium_annual_range,16,0.061,0.062,6,3,16.38
gee_soilnitrogen_annual_mean,16,0.061,0.05,6,3,26.4
gee_soilmagnesium_mean_0_20,16,0.059,0.058,5,4,16.45
gee_soilnitrogen_annual_max,16,0.058,0.051,6,3,27.47
gee_soilnitrogen_annual_range,16,0.058,0.051,6,3,27.47
gee_soilnitrogen_mean_0_20,16,0.058,0.051,6,3,27.47
gee_soilcec_mean_0_20,16,0.057,-0.004,5,6,16.09
gee_soilnitrogen_annual_sd,16,0.057,0.051,6,3,27.8
gee_trmm_2011,16,0.054,0.078,7,4,14.27
gee_soilcalcium_annual_max,16,0.051,0.061,6,2,17.33
