method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_then_resid_en_top10,child_vitA,SierraLeone,202,14,0.189,0.253,6.05,7.83,0.49
spatial_then_resid_en_top10,child_vitA,Malawi,119,97,-0.051,-0.03,17.31,21.57,-14.98
spatial_then_resid_en_top10,women_vitA,Gambia,186,30,0.628,0.62,3.92,6.07,-2.31
spatial_then_resid_en_top10,women_vitA,Ghana,141,75,0.205,0.139,6.58,6.84,5.94
spatial_then_resid_en_top10,women_vitA,SierraLeone,202,14,-0.035,-0.124,1.51,1.87,-0.34
spatial_then_resid_en_top10,women_vitA,Malawi,119,97,-0.289,-0.317,3.58,5.74,-0.59
spatial_then_resid_en_top10,child_iron,Gambia,186,30,0.569,0.503,44.95,47.25,-44.95
spatial_then_resid_en_top10,child_iron,Ghana,141,75,0.601,0.586,16.02,19.47,12.57
spatial_then_resid_en_top10,child_iron,SierraLeone,202,14,0.311,0.358,9.04,10.91,8.35
spatial_then_resid_en_top10,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_then_resid_en_top10,women_iron,Gambia,186,30,0.701,0.723,26.31,30.54,-26.31
spatial_then_resid_en_top10,women_iron,Ghana,141,75,0.276,0.223,30.29,33.31,30.19
spatial_then_resid_en_top10,women_iron,SierraLeone,202,14,0.203,0.134,6.65,8.27,-3.68
spatial_then_resid_en_top10,women_iron,Malawi,119,97,0.076,0.026,13.27,17.62,-4.67
spatial_then_resid_en_top20,child_vitA,Gambia,186,30,0.57,0.593,10.35,12.71,2.26
spatial_then_resid_en_top20,child_vitA,Ghana,141,75,0.344,0.291,15.31,17.8,12.04
spatial_then_resid_en_top20,child_vitA,SierraLeone,202,14,0.189,0.226,6.1,8.01,1.73
spatial_then_resid_en_top20,child_vitA,Malawi,119,97,-0.051,-0.03,17.31,21.57,-14.98
spatial_then_resid_en_top20,women_vitA,Gambia,186,30,0.628,0.62,3.92,6.07,-2.31
spatial_then_resid_en_top20,women_vitA,Ghana,141,75,0.205,0.139,6.58,6.84,5.94
spatial_then_resid_en_top20,women_vitA,SierraLeone,202,14,-0.035,-0.124,1.51,1.87,-0.34
spatial_then_resid_en_top20,women_vitA,Malawi,119,97,-0.289,-0.317,3.58,5.74,-0.59
spatial_then_resid_en_top20,child_iron,Gambia,186,30,0.56,0.497,45.6,47.9,-45.6
spatial_then_resid_en_top20,child_iron,Ghana,141,75,0.601,0.586,16.02,19.47,12.57
spatial_then_resid_en_top20,child_iron,SierraLeone,202,14,0.306,0.371,9.65,11.49,9.22
spatial_then_resid_en_top20,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_then_resid_en_top20,women_iron,Gambia,186,30,0.701,0.723,26.31,30.54,-26.31
spatial_then_resid_en_top20,women_iron,Ghana,141,75,0.272,0.226,30.27,33.2,30.19
spatial_then_resid_en_top20,women_iron,SierraLeone,202,14,0.176,0.196,6.06,7.69,-2.26
spatial_then_resid_en_top20,women_iron,Malawi,119,97,0.076,0.026,13.27,17.62,-4.67
