outcome,held_out,n_test,r_point,r_lo_80,r_hi_80,r_lo_95,r_hi_95,B
child_vitA,Gambia,30,0.564,0.396,0.715,0.266,0.765,500
child_vitA,Ghana,75,0.108,-0.021,0.256,-0.089,0.336,500
child_vitA,SierraLeone,14,0.132,-0.086,0.36,-0.237,0.514,500
child_vitA,Malawi,87,-0.005,-0.121,0.093,-0.191,0.147,500
women_vitA,Gambia,30,0.551,0.424,0.684,0.304,0.73,500
women_vitA,Ghana,75,0.162,0.019,0.285,-0.058,0.365,500
women_vitA,SierraLeone,14,0.081,-0.246,0.317,-0.435,0.545,500
women_vitA,Malawi,87,0.038,-0.142,0.216,-0.197,0.304,500
child_iron,Gambia,30,0.539,0.387,0.659,0.297,0.7,500
child_iron,Ghana,75,0.627,0.55,0.7,0.511,0.735,500
child_iron,SierraLeone,14,0.04,-0.29,0.345,-0.482,0.5,500
child_iron,Malawi,87,-0.08,-0.226,0.069,-0.308,0.135,500
women_iron,Gambia,30,NA,NA,NA,NA,NA,500
women_iron,Ghana,75,0.215,0.056,0.36,-0.05,0.437,500
women_iron,SierraLeone,14,0.121,-0.104,0.356,-0.226,0.475,500
women_iron,Malawi,87,0.006,-0.133,0.146,-0.183,0.215,500
